Image,Area µm^2
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C1.tif,363833.4
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C2.tif,312627.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C3.tif,370857.3
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_D1.tif,344278.6
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_D2.tif,362032.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_D3.tif,394398.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C1.tif,183323.1
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C2.tif,179969.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C3.tif,262465
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_D1.tif,357023.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_D2.tif,334798.9
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_D3.tif,352296
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C1.tif,306267.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C2.tif,390423.3
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C3.tif,335208.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_D1.tif,374390.4
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_D2.tif,290577.2
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_D3.tif,371075.2
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C1.tif,246276.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C2.tif,279432
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C3.tif,264952.3
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_D1.tif,202026.1
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_D2.tif,215348.7
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_D3.tif,302873.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C1.tif,309118.6
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C2.tif,311681.1
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C3.tif,268823.6
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_D1.tif,347401.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_D2.tif,361125.1
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_D3.tif,285265.9
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C1.tif,351360
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C2.tif,367520.8
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C3.tif,312606
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_D1.tif,306419.6
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_D2.tif,281726.2
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_D3.tif,245847.5
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C1.tif,327838.4
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C2.tif,334720.6
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C3.tif,323146.8
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_D1.tif,256192.8
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_D2.tif,247290
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_D3.tif,201157
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C1.tif,174045
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C2.tif,147917.3
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C3.tif,310842
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_D1.tif,310219.8
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_D2.tif,295119.4
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_D3.tif,350973.9
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-2_C1.tif,314416.7
