Image,Area µm^2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_A1.tif,385419.8
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_A2.tif,440698.3
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_A3.tif,273494.4
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B1.tif,408740.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B2.tif,447444.9
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B3.tif,372579.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_A1.tif,334538.8
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_A2.tif,474622
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_A3.tif,431652.8
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B1.tif,368716.5
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B2.tif,427827.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B3.tif,466087.5
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_A1.tif,417200.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_A2.tif,488753.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_A3.tif,380818.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B1.tif,389270.3
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B2.tif,409934.9
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B3.tif,393613.5
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_A1.tif,343559.9
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_A2.tif,418256.5
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_A3.tif,386025.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B1.tif,437648.8
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B2.tif,432781.9
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B3.tif,415927.2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_A1.tif,380305.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_A2.tif,393278.3
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_A3.tif,440439.3
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B1.tif,397015.5
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B2.tif,429929
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B3.tif,393783.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_A1.tif,387975.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_A2.tif,382370.8
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_A3.tif,360522.3
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B1.tif,304120.7
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B2.tif,393045.6
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B3.tif,396203.3
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_A1.tif,335804
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_A2.tif,384162.7
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_A3.tif,300152.4
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B1.tif,366680.7
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B2.tif,312032.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B3.tif,292943
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_A1.tif,258269.1
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_A2.tif,379032.2
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_A3.tif,457492.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B1.tif,332173.4
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B2.tif,290616.3
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B3.tif,261104.8
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_A1.tif,414860.6
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_A2.tif,498180.2
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_A3.tif,325611.7
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B1.tif,402981.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B2.tif,404533.2
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B3.tif,446910.1
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_A1.tif,343353.7
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_A2.tif,373039.3
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_A3.tif,346711
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B1.tif,400531.3
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B2.tif,419012.8
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B3.tif,436638
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_A1.tif,375327.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_A2.tif,386605.3
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_A3.tif,420336.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B1.tif,467068.8
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B2.tif,369653.1
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B3.tif,373174.4
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_A1.tif,382866.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_A2.tif,391501.6
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_A3.tif,257299
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B1.tif,388911.7
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B2.tif,393324.5
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B3.tif,347016.8
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_A1.tif,391444.7
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_A2.tif,443516.2
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_A3.tif,410888.2
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B1.tif,427307.1
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B2.tif,454917.4
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B3.tif,448134.2
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_A1.tif,316985.7
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_A2.tif,459686.2
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_A3.tif,521849
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B1.tif,376139.7
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B2.tif,380694.1
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B3.tif,416775.5
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_A1.tif,492022.7
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_A2.tif,552568.3
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_A3.tif,424467.3
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B1.tif,454887.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B2.tif,494575
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B3.tif,520893.6
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_A1.tif,459227.6
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_A2.tif,479122.1
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_A3.tif,461614.8
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B1.tif,422168.5
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B2.tif,451678.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B3.tif,505863.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_A1.tif,400858.4
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_A2.tif,438238
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_A3.tif,455107.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B1.tif,435255.5
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B2.tif,421159.8
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B3.tif,434718.6
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_A1.tif,482290
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_A2.tif,445423.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_A3.tif,371308.9
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B1.tif,384479.1
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B2.tif,408957.6
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B3.tif,398492
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_A1.tif,296557.9
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_A2.tif,216974.6
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_A3.tif,249872.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B1.tif,200187.4
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B2.tif,148076.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B3.tif,195014.8
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_A1.tif,255202.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_A2.tif,311134.5
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_A3.tif,415516.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B1.tif,271462.8
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B2.tif,360754.9
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B3.tif,274156.7
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_A1.tif,381574.4
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_A2.tif,254332.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_A3.tif,211896.4
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B1.tif,257384.3
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B2.tif,346918.7
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B3.tif,133614.4
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_A1.tif,397360.9
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_A2.tif,269525.1
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_A3.tif,251603.2
