Image,Area µm^2
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C4.tif,438114.5
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C5.tif,474355.3
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C6.tif,543165.3
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_D4.tif,474571.7
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_D5.tif,573421.8
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_D6.tif,490394.3
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C4.tif,412648.6
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C5.tif,457437.7
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C6.tif,503142.5
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_D4.tif,468452.9
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_D5.tif,501698
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_D6.tif,540432.2
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C4.tif,523872.1
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C5.tif,547067.6
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C6.tif,534136.5
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_D4.tif,570534.3
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_D5.tif,574246.7
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_D6.tif,568392.4
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C4.tif,482554.6
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C5.tif,481627.7
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C6.tif,539378.2
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_D4.tif,449635.1
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_D5.tif,438132.8
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_D6.tif,502275
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C4.tif,465060
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C5.tif,464699.4
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C6.tif,423263.1
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_D4.tif,503516.8
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_D5.tif,576962.5
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_D6.tif,489680.7
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C4.tif,471579.6
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C5.tif,432882.5
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C6.tif,501724.4
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_D4.tif,525123.1
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_D5.tif,497464
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_D6.tif,562720.5
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C4.tif,424866.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C5.tif,490976.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C6.tif,349729
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_D4.tif,292177.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_D5.tif,361408.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_D6.tif,351431.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C4.tif,476217.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C5.tif,503331.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C6.tif,496623.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_D4.tif,299937
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_D5.tif,371658.8
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_D6.tif,344419.8
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C4.tif,490477.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C5.tif,547220.5
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C6.tif,465060.5
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_D4.tif,267097.7
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_D5.tif,558556.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_D6.tif,326315.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C4.tif,521295.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C5.tif,516857.2
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C6.tif,488540.9
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_D4.tif,379598.6
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_D5.tif,399073.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_D6.tif,319414.6
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C4.tif,487241.7
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C5.tif,502255.7
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C6.tif,503380.7
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_D4.tif,534091.8
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_D5.tif,571476.5
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_D6.tif,415692.6
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C4.tif,493763.3
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C5.tif,500475.4
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C6.tif,532773.3
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_D4.tif,483481.1
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_D5.tif,500020.3
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_D6.tif,315146.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C4.tif,590167.8
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C5.tif,620369
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C6.tif,615004.9
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_D4.tif,551847.6
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_D5.tif,598817.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_D6.tif,579573.7
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_C4.tif,549914.4
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_C5.tif,515297.9
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_C6.tif,560379.5
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_D4.tif,517534.8
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_D5.tif,545567.2
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_D6.tif,499912.2
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_C4.tif,622449.9
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_C5.tif,627865.3
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_C6.tif,616534.7
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_D4.tif,583783.3
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_D5.tif,618261.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-2_D6.tif,602409.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_C4.tif,582647.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_C5.tif,564257.5
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_C6.tif,579046.5
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_D4.tif,550199.9
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_D5.tif,597610.8
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-3_D6.tif,560776.2
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_C4.tif,590048.9
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_C5.tif,607856.5
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_C6.tif,593732.3
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_D4.tif,625350.1
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_D5.tif,626226.8
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-4_D6.tif,593843.6
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_C4.tif,567404
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_C5.tif,600828.4
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_C6.tif,618810.2
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_D4.tif,597399.5
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_D5.tif,594584.6
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-5_D6.tif,544882
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_C4.tif,385418.8
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_C5.tif,246871.5
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_C6.tif,341511
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_D4.tif,414246.5
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_D5.tif,284367.4
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-0_D6.tif,370778.6
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_C4.tif,341473.4
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_C5.tif,268549.9
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_C6.tif,478154
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_D4.tif,471335.3
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_D5.tif,477742.6
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-1_D6.tif,521912
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-2_C4.tif,507218.5
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-2_C5.tif,303170.9
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-2_C6.tif,376073.1
A2780cis_20and30_IC50treatedF_Day13_25_FITC_Tile-2_D4.tif,553738
