Image,Area µm^2
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A4.tif,464554.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A5.tif,409219.7
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A6.tif,487909.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_B4.tif,492692.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_B5.tif,503175.5
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_B6.tif,538272.5
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A4.tif,409640.8
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A5.tif,485655.5
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A6.tif,492147.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_B4.tif,511196
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_B5.tif,499091.4
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_B6.tif,572976.4
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A4.tif,500196.6
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A5.tif,544115.6
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A6.tif,560076.8
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_B4.tif,481627.7
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_B5.tif,537580.7
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_B6.tif,581539.3
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A4.tif,444478.2
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A5.tif,479059.7
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A6.tif,457191.9
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_B4.tif,517924.4
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_B5.tif,525850.9
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_B6.tif,608963.2
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A4.tif,497457.9
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A5.tif,521084.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A6.tif,518353.6
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_B4.tif,518818.8
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_B5.tif,559126
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_B6.tif,591409.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A4.tif,465683.2
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A5.tif,471227.1
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A6.tif,405746.6
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_B4.tif,473807.3
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_B5.tif,552022.8
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_B6.tif,581705.4
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A4.tif,416898.9
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A5.tif,334611.4
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A6.tif,267298.4
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_B4.tif,299321.9
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_B5.tif,280334
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_B6.tif,228041
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A4.tif,450322.3
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A5.tif,359702
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A6.tif,426624
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_B4.tif,402966.8
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_B5.tif,273929.7
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_B6.tif,237607.1
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A4.tif,327743.4
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A5.tif,412206.8
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A6.tif,450728.6
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_B4.tif,353970.1
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_B5.tif,381523.6
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_B6.tif,236216.4
