Image,Area µm^2
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A3.tif,496286.1
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A6.tif,535480
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B3.tif,446402.2
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B6.tif,360647.7
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C3.tif,387306.7
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C6.tif,368855.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A3.tif,352684.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A6.tif,569460.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B3.tif,382137.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B6.tif,369314.3
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C3.tif,348277.9
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C6.tif,348325.2
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A3.tif,527549.9
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A6.tif,606907.7
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B3.tif,516767.3
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B6.tif,519909.3
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C3.tif,504337.1
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C6.tif,486930.3
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A3.tif,384669.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A6.tif,580059.2
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B3.tif,445621.5
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B6.tif,467983
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C3.tif,331957.1
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C6.tif,465411.5
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A3.tif,594827.4
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A6.tif,566701.6
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B3.tif,415909.5
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B6.tif,529314.9
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C3.tif,410149.7
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C6.tif,563333.1
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A3.tif,419311
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A6.tif,523702.4
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B3.tif,326481.7
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B6.tif,463093.3
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C3.tif,338016
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C6.tif,452055.3
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A3.tif,593244.7
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A6.tif,632741.3
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B3.tif,581488.5
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B6.tif,571065.6
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C3.tif,554085.4
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C6.tif,572510.6
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A3.tif,493350.4
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A6.tif,623904.1
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_B3.tif,516524.6
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_B6.tif,565636
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_C3.tif,458775
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_C6.tif,514778.8
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_A3.tif,589725.9
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_A6.tif,633280.2
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_B3.tif,598350.3
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_B6.tif,618531.3
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_C3.tif,597708.8
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_C6.tif,620120.6
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_A3.tif,492362.5
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_A6.tif,520221.7
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_B3.tif,509322.8
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_B6.tif,564414.9
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_C3.tif,455263.8
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-3_C6.tif,539492
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-4_A3.tif,621013.5
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-4_A6.tif,567646.8
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-4_B3.tif,497215.6
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-4_B6.tif,597310.1
