Image,Area µm^2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A1.tif,222359.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A4.tif,340855.8
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B1.tif,295716.8
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B4.tif,371335.8
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C1.tif,291409.6
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C4.tif,313068.7
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A1.tif,308960.2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A4.tif,358359.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B1.tif,172783.3
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B4.tif,331285.6
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C1.tif,289967.7
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C4.tif,369270.1
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A1.tif,187277.7
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A4.tif,441321.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B1.tif,184910.3
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B4.tif,480020.1
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C1.tif,261378.1
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C4.tif,320405.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A1.tif,277065.1
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A4.tif,297104.4
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B1.tif,239040.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B4.tif,384639.1
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C1.tif,129644
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C4.tif,243935.2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A1.tif,369253.3
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A4.tif,518212.4
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B1.tif,196152.5
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B4.tif,377443
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C1.tif,260615.2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C4.tif,396273.4
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A1.tif,277758.4
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A4.tif,480483.9
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B1.tif,158214.3
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B4.tif,324624.8
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C1.tif,285678.8
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C4.tif,245531.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A1.tif,250432
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A4.tif,326896.2
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B1.tif,335425.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B4.tif,391555.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C1.tif,281751.6
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C4.tif,337975.4
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A1.tif,342203.3
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A4.tif,335890.4
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B1.tif,196832.6
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B4.tif,322449.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C1.tif,260224.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C4.tif,345658.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A1.tif,204826.2
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A4.tif,349541.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B1.tif,186255.3
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B4.tif,499004
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C1.tif,210160.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C4.tif,351598.2
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A1.tif,257839.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A4.tif,235139.7
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B1.tif,243893.6
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B4.tif,348594.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C1.tif,111921.8
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C4.tif,262939.9
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A1.tif,267364.4
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A4.tif,414698.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B1.tif,182329.1
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B4.tif,285992.7
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_C1.tif,158577.9
