Image,Area µm^2
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_C1.tif,50303
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_C2.tif,62068.3
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_C3.tif,45688.6
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_D1.tif,47924.4
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_D2.tif,83523.7
A2780_20and30_IC75reated_Day1_250_TXR_Tile-0_D3.tif,102848.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_C1.tif,47265.6
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_C2.tif,44744.3
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_C3.tif,28142.6
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_D1.tif,42021.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_D2.tif,68753.5
A2780_20and30_IC75reated_Day1_250_TXR_Tile-1_D3.tif,67049
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_C1.tif,51783
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_C2.tif,62972.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_C3.tif,44349.7
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_D1.tif,95084.4
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_D2.tif,59797.4
A2780_20and30_IC75reated_Day1_250_TXR_Tile-2_D3.tif,84374.5
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_C1.tif,51402.1
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_C2.tif,42371.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_C3.tif,36572
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_D1.tif,61732.1
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_D2.tif,57692.6
A2780_20and30_IC75reated_Day1_250_TXR_Tile-3_D3.tif,72997.7
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_C1.tif,49918.5
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_C2.tif,52103.5
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_C3.tif,31628.4
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_D1.tif,94219.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_D2.tif,102267.3
A2780_20and30_IC75reated_Day1_250_TXR_Tile-4_D3.tif,67303.9
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_C1.tif,33459
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_C2.tif,27128.8
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_C3.tif,29149.3
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_D1.tif,82237.7
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_D2.tif,68861.2
A2780_20and30_IC75reated_Day1_250_TXR_Tile-5_D3.tif,56754
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_C1.tif,291095.7
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_C2.tif,445337.6
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_C3.tif,295703
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_D1.tif,336620.7
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_D2.tif,363457.5
A2780_20and30_IC75treated_Day10_250_TXR_Tile-0_D3.tif,446234.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_C1.tif,357348.8
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_C2.tif,341715.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_C3.tif,320844.4
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_D1.tif,390970.3
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_D2.tif,431638.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-1_D3.tif,459417
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_C1.tif,401113.9
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_C2.tif,412720.3
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_C3.tif,417790.8
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_D1.tif,366080.4
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_D2.tif,415017.6
A2780_20and30_IC75treated_Day10_250_TXR_Tile-2_D3.tif,392272.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_C1.tif,436312.4
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_C2.tif,366285.6
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_C3.tif,240349.4
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_D1.tif,300445.5
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_D2.tif,316482.9
A2780_20and30_IC75treated_Day10_250_TXR_Tile-3_D3.tif,381365.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_C1.tif,463148.7
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_C2.tif,330607
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_C3.tif,406985.9
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_D1.tif,462195.3
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_D2.tif,456242.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-4_D3.tif,481631.7
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_C1.tif,394902.6
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_C2.tif,404202
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_C3.tif,249955.1
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_D1.tif,383092.5
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_D2.tif,404092.8
A2780_20and30_IC75treated_Day10_250_TXR_Tile-5_D3.tif,363478.3
A2780_20and30_IC75treated_Day11_250_TXR_Tile-0_C1.tif,397591
A2780_20and30_IC75treated_Day11_250_TXR_Tile-0_C2.tif,528271.1
A2780_20and30_IC75treated_Day11_250_TXR_Tile-0_C3.tif,366398.3
