Image,Area µm^2
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A1.tif,232006.8
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A2.tif,219892
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A3.tif,209943.5
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B1.tif,271960
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B2.tif,273989.6
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B3.tif,205173.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A1.tif,182689.7
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A2.tif,185219.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A3.tif,213906.2
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B1.tif,247661.3
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B2.tif,295834.6
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B3.tif,226921.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A1.tif,317699.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A2.tif,292028.8
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A3.tif,190031.7
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B1.tif,252138.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B2.tif,191572.7
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B3.tif,244721.5
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A1.tif,173537.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A2.tif,231084.5
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A3.tif,131928.6
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B1.tif,319074.3
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B2.tif,218018.8
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B3.tif,199766.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_A1.tif,313275.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_A2.tif,314967.8
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_A3.tif,144491.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B1.tif,302813.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B2.tif,331400.4
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B3.tif,296042.8
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_A1.tif,182537.9
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_A2.tif,277263.2
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_A3.tif,135091.4
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B1.tif,229662.3
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B2.tif,169429.1
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B3.tif,300503.4
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_A1.tif,222021.7
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_A2.tif,236226.1
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_A3.tif,229454.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B1.tif,298141.5
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B2.tif,293024.8
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B3.tif,214073.3
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_A1.tif,196721.4
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_A2.tif,197292.8
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_A3.tif,263502.2
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B1.tif,268262.9
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B2.tif,283490.2
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B3.tif,225826
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_A1.tif,276803
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_A2.tif,297280.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_A3.tif,209370.5
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B1.tif,279064.2
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B2.tif,191797.7
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B3.tif,244049.5
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_A1.tif,209462
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_A2.tif,247524.2
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_A3.tif,152492.1
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B1.tif,360915.9
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B2.tif,208700.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B3.tif,207064.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_A1.tif,303437.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_A2.tif,288293.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_A3.tif,157133.4
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_B1.tif,315062.8
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_B2.tif,280434.1
A2780_20and30_IC50treated_Day11_250_TXR_Tile-4_B3.tif,305868.5
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_A1.tif,226567.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_A2.tif,298245.7
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_A3.tif,156748.9
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_B1.tif,206969.6
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_B2.tif,201059
A2780_20and30_IC50treated_Day11_250_TXR_Tile-5_B3.tif,274168.4
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_A1.tif,175167.5
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_A2.tif,205947.2
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_A3.tif,195691.9
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_B1.tif,167566
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_B2.tif,255744.3
A2780_20and30_IC50treated_Day12_250_TXR_Tile-0_B3.tif,208529.4
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_A1.tif,215871.9
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_A2.tif,133192.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_A3.tif,277209.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_B1.tif,194002.5
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_B2.tif,268044
A2780_20and30_IC50treated_Day12_250_TXR_Tile-1_B3.tif,260446.1
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_A1.tif,269927.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_A2.tif,169796.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_A3.tif,208928.2
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_B1.tif,225493.3
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_B2.tif,160185.5
A2780_20and30_IC50treated_Day12_250_TXR_Tile-2_B3.tif,233311.2
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_A1.tif,190070.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_A2.tif,218553.7
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_A3.tif,124267.7
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_B1.tif,267667.1
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_B2.tif,252799.9
A2780_20and30_IC50treated_Day12_250_TXR_Tile-3_B3.tif,250717.4
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_A1.tif,263811.5
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_A2.tif,299297.1
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_A3.tif,202077.4
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_B1.tif,329131.5
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_B2.tif,239885.6
A2780_20and30_IC50treated_Day12_250_TXR_Tile-4_B3.tif,210072
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_A1.tif,256000.8
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_A2.tif,276045.2
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_A3.tif,208547.7
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_B1.tif,264427.6
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_B2.tif,237038.3
A2780_20and30_IC50treated_Day12_250_TXR_Tile-5_B3.tif,290317.6
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_A1.tif,280083.6
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_A2.tif,249888
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_A3.tif,266308.4
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_B1.tif,253631.9
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_B2.tif,276348.9
A2780_20and30_IC50treated_Day13_250_TXR_Tile-0_B3.tif,217509.9
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_A1.tif,208825
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_A2.tif,295091
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_A3.tif,355056.1
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_B1.tif,283724.4
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_B2.tif,216051.7
A2780_20and30_IC50treated_Day13_250_TXR_Tile-1_B3.tif,332738.7
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_A1.tif,337889.5
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_A2.tif,330548.6
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_A3.tif,317945.7
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_B1.tif,347580
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_B2.tif,276513.5
A2780_20and30_IC50treated_Day13_250_TXR_Tile-2_B3.tif,273792.6
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_A1.tif,225715.8
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_A2.tif,249854.5
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_A3.tif,180194.8
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_B1.tif,279992.2
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_B2.tif,274665.7
A2780_20and30_IC50treated_Day13_250_TXR_Tile-3_B3.tif,301433.4
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_A1.tif,301615.2
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_A2.tif,389361.7
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_A3.tif,315834.3
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_B1.tif,348698
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_B2.tif,274117.6
A2780_20and30_IC50treated_Day13_250_TXR_Tile-4_B3.tif,233629.1
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_A1.tif,268268
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_A2.tif,378520.3
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_A3.tif,262095.8
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_B1.tif,256423.4
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_B2.tif,195162.1
A2780_20and30_IC50treated_Day13_250_TXR_Tile-5_B3.tif,203778.4
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_A1.tif,242308.4
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_A2.tif,186184.7
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_A3.tif,289757.4
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_B1.tif,231412.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_B2.tif,306477
A2780_20and30_IC50treated_Day14_250_TXR_Tile-0_B3.tif,415845.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_A1.tif,212097
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_A2.tif,224319.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_A3.tif,413897.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_B1.tif,289659.9
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_B2.tif,234420.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-1_B3.tif,348790.4
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_A1.tif,422671.9
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_A2.tif,402376
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_A3.tif,487499.7
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_B1.tif,414617.8
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_B2.tif,344556.9
A2780_20and30_IC50treated_Day14_250_TXR_Tile-2_B3.tif,379681.3
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_A1.tif,312748.7
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_A2.tif,340645.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_A3.tif,386514.3
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_B1.tif,441773.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_B2.tif,297247.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-3_B3.tif,505896.4
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_A1.tif,367787.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_A2.tif,340494.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_A3.tif,569717.1
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_B1.tif,392495.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_B2.tif,406255.5
A2780_20and30_IC50treated_Day14_250_TXR_Tile-4_B3.tif,398724.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_A1.tif,331227.7
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_A2.tif,392652
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_A3.tif,415594.6
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_B1.tif,497979
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_B2.tif,291744.9
A2780_20and30_IC50treated_Day14_250_TXR_Tile-5_B3.tif,338806.3
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_A1.tif,30083.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_A2.tif,26525.9
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_A3.tif,32508.1
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_B1.tif,47752.2
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_B2.tif,61870.3
A2780_20and30_IC50treated_Day1_250_TXR_Tile-0_B3.tif,28498.7
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_A1.tif,24998.1
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_A2.tif,18401.3
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_A3.tif,19320.1
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_B1.tif,28561.1
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_B2.tif,44373.6
A2780_20and30_IC50treated_Day1_250_TXR_Tile-1_B3.tif,48671.5
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_A1.tif,33424.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_A2.tif,24769.5
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_A3.tif,22887.7
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_B1.tif,65826.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_B2.tif,42219
A2780_20and30_IC50treated_Day1_250_TXR_Tile-2_B3.tif,21477.7
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_A1.tif,19052.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_A2.tif,15190.2
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_A3.tif,18026.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_B1.tif,49114.5
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_B2.tif,38620.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-3_B3.tif,29586.6
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_A1.tif,27486.4
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_A2.tif,28377.8
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_A3.tif,15407.1
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_B1.tif,60374.9
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_B2.tif,39907.5
A2780_20and30_IC50treated_Day1_250_TXR_Tile-4_B3.tif,24139.7
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_A1.tif,18812.7
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_A2.tif,29102.6
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_A3.tif,22883.6
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_B1.tif,35954.3
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_B2.tif,23083.3
A2780_20and30_IC50treated_Day1_250_TXR_Tile-5_B3.tif,28468.2
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_A1.tif,56211.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_A2.tif,46952.8
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_A3.tif,50869.3
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_B1.tif,77808.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_B2.tif,111910.6
A2780_20and30_IC50treated_Day2_250_TXR_Tile-0_B3.tif,51571.2
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_A1.tif,47074.2
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_A2.tif,46720.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_A3.tif,60940.8
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_B1.tif,52751.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_B2.tif,94020.3
A2780_20and30_IC50treated_Day2_250_TXR_Tile-1_B3.tif,68386.8
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_A1.tif,66088
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_A2.tif,36560.8
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_A3.tif,45015.6
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_B1.tif,120027.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_B2.tif,85463.5
A2780_20and30_IC50treated_Day2_250_TXR_Tile-2_B3.tif,37415.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_A1.tif,26791
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_A2.tif,27432
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_A3.tif,36957
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_B1.tif,85279.6
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_B2.tif,72133.7
A2780_20and30_IC50treated_Day2_250_TXR_Tile-3_B3.tif,38745.9
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_A1.tif,52685.6
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_A2.tif,50164.8
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_A3.tif,37837.2
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_B1.tif,118875.7
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_B2.tif,86059.2
A2780_20and30_IC50treated_Day2_250_TXR_Tile-4_B3.tif,47375.3
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_A1.tif,31191.1
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_A2.tif,51391.4
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_A3.tif,33488.9
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_B1.tif,72208.4
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_B2.tif,48763.5
A2780_20and30_IC50treated_Day2_250_TXR_Tile-5_B3.tif,59727.4
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_A1.tif,82662.8
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_A2.tif,82079.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_A3.tif,99865.9
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_B1.tif,129258
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_B2.tif,171849.3
A2780_20and30_IC50treated_Day3_250_TXR_Tile-0_B3.tif,100937.6
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_A1.tif,80547.3
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_A2.tif,70453.5
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_A3.tif,62562.5
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_B1.tif,70762.8
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_B2.tif,145201.5
A2780_20and30_IC50treated_Day3_250_TXR_Tile-1_B3.tif,122308.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_A1.tif,94396.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_A2.tif,69715
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_A3.tif,57462
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_B1.tif,193861.3
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_B2.tif,132734.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-2_B3.tif,64236.1
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_A1.tif,46112.2
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_A2.tif,63886.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_A3.tif,57000.9
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_B1.tif,159801
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_B2.tif,120716.4
A2780_20and30_IC50treated_Day3_250_TXR_Tile-3_B3.tif,68285.2
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_A1.tif,78096.1
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_A2.tif,83656.3
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_A3.tif,60012.8
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_B1.tif,143347.6
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_B2.tif,144816.5
A2780_20and30_IC50treated_Day3_250_TXR_Tile-4_B3.tif,75270.6
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_A1.tif,58952.3
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_A2.tif,86943.5
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_A3.tif,57600.2
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_B1.tif,87016.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_B2.tif,77424.7
A2780_20and30_IC50treated_Day3_250_TXR_Tile-5_B3.tif,92905.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_A1.tif,99626.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_A2.tif,117343.3
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_A3.tif,136831
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_B1.tif,162974.5
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_B2.tif,223477.4
A2780_20and30_IC50treated_Day4_250_TXR_Tile-0_B3.tif,122705.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_A1.tif,98443.7
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_A2.tif,78969.7
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_A3.tif,87399.1
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_B1.tif,123345.3
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_B2.tif,218619.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-1_B3.tif,162861.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_A1.tif,171657.3
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_A2.tif,95221
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_A3.tif,98473.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_B1.tif,208671.7
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_B2.tif,152370.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-2_B3.tif,81562.1
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_A1.tif,70766.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_A2.tif,80644.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_A3.tif,64620.6
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_B1.tif,192155.2
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_B2.tif,150972.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-3_B3.tif,98784.6
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_A1.tif,116378.8
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_A2.tif,125880.4
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_A3.tif,47394.6
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_B1.tif,230184.9
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_B2.tif,188182.8
A2780_20and30_IC50treated_Day4_250_TXR_Tile-4_B3.tif,98770.3
A2780_20and30_IC50treated_Day4_250_TXR_Tile-5_A1.tif,79595.5
A2780_20and30_IC50treated_Day4_250_TXR_Tile-5_A2.tif,141707
A2780_20and30_IC50treated_Day4_250_TXR_Tile-5_A3.tif,79366.4
