Image,Area µm^2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_C4.tif,8642.2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_C5.tif,11540.4
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_C6.tif,15484.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_D4.tif,14833.7
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_D5.tif,18065.6
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-0_D6.tif,20990.1
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_C4.tif,10671.3
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_C5.tif,5931.9
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_C6.tif,14248.1
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_D4.tif,16533.2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_D5.tif,17868.5
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-1_D6.tif,21924.2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_C4.tif,11570.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_C5.tif,8985.5
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_C6.tif,12490.7
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_D4.tif,15654.5
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_D5.tif,15519.9
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-2_D6.tif,17839
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_C4.tif,7625.3
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_C5.tif,10478.3
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_C6.tif,13440
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_D4.tif,11571.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_D5.tif,15334
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-3_D6.tif,16864.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_C4.tif,12007.1
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_C5.tif,15251.2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_C6.tif,14387.7
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_D4.tif,24660.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_D5.tif,10545.3
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-4_D6.tif,20467
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_C4.tif,11518
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_C5.tif,10257.9
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_C6.tif,12395.2
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_D4.tif,15469.1
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_D5.tif,14330.8
A2780cis_20and30_IC75reated_Day1_25_FITC_Tile-5_D6.tif,20294.3
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_C4.tif,247199.6
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_C5.tif,479869.8
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_C6.tif,304932.4
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_D4.tif,404748.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_D5.tif,413572
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-0_D6.tif,210009.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_C4.tif,282148.8
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_C5.tif,376715.6
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_C6.tif,381366.1
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_D4.tif,292660.6
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_D5.tif,364609.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-1_D6.tif,266248.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_C4.tif,359029.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_C5.tif,491284.7
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_C6.tif,432381.7
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_D4.tif,408790.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_D5.tif,558402.7
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-2_D6.tif,469440.2
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_C4.tif,328296.5
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_C5.tif,385068.3
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_C6.tif,383209.3
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_D4.tif,414137.9
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_D5.tif,464878.1
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-3_D6.tif,476499.3
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_C4.tif,462828.2
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_C5.tif,447589.7
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_C6.tif,542851.4
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_D4.tif,437164.7
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_D5.tif,434014.6
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-4_D6.tif,524352.6
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_C4.tif,373052
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_C5.tif,412777.1
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_C6.tif,422892.3
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_D4.tif,460134.2
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_D5.tif,437227.2
A2780cis_20and30_IC75treated_Day10_25_FITC_Tile-5_D6.tif,473974.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_C4.tif,445491.5
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_C5.tif,607750.8
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_C6.tif,549783.4
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_D4.tif,521769.3
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_D5.tif,546454
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-0_D6.tif,492459
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_C4.tif,427651.5
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_C5.tif,513500.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_C6.tif,524000.6
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_D4.tif,454550.7
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_D5.tif,481200.5
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-1_D6.tif,562052.6
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_C4.tif,475887.2
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_C5.tif,596697
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_C6.tif,565202.7
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_D4.tif,503538.2
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_D5.tif,624516.6
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-2_D6.tif,597201.4
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_C4.tif,464762.3
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_C5.tif,500314.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_C6.tif,555255.7
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_D4.tif,543094.1
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_D5.tif,563179.2
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-3_D6.tif,620138.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_C4.tif,541341.3
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_C5.tif,555019.5
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_C6.tif,614348.1
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_D4.tif,530023.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_D5.tif,553864.5
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-4_D6.tif,589095.1
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_C4.tif,469483.4
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_C5.tif,470187.9
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_C6.tif,516757.7
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_D4.tif,532568.1
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_D5.tif,545384.3
A2780cis_20and30_IC75treated_Day11_25_FITC_Tile-5_D6.tif,582893.9
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_C4.tif,211751.7
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_C5.tif,238612.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_C6.tif,242336.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_D4.tif,396830.6
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_D5.tif,284863.6
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-0_D6.tif,258717.1
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_C4.tif,312111.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_C5.tif,480528.6
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_C6.tif,433450.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_D4.tif,284487.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_D5.tif,387461.6
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-1_D6.tif,370626.2
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_C4.tif,206166.1
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_C5.tif,293199
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_C6.tif,294430.2
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_D4.tif,471563.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_D5.tif,509364.5
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-2_D6.tif,227346.2
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_C4.tif,367169.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_C5.tif,393736.9
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_C6.tif,449857
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_D4.tif,396930.2
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_D5.tif,478330.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-3_D6.tif,426970.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_C4.tif,544035.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_C5.tif,521812.5
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_C6.tif,570900.5
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_D4.tif,492521.5
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_D5.tif,556515.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-4_D6.tif,579779.9
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_C4.tif,451286.8
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_C5.tif,432865.7
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_C6.tif,442275.9
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_D4.tif,453404.3
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_D5.tif,414861.6
A2780cis_20and30_IC75treated_Day12_25_FITC_Tile-5_D6.tif,487164.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_C4.tif,418776.1
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_C5.tif,524593.3
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_C6.tif,615455.4
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_D4.tif,586887.2
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_D5.tif,603052.6
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-0_D6.tif,621471.7
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_C4.tif,546103.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_C5.tif,614670.2
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_C6.tif,589200.7
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_D4.tif,589978.3
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_D5.tif,554392.2
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-1_D6.tif,611419
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_C4.tif,595220.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_C5.tif,586201
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_C6.tif,527673.8
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_D4.tif,626174.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_D5.tif,630959
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-2_D6.tif,620224.7
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_C4.tif,411855.3
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_C5.tif,587853.2
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_C6.tif,574718.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_D4.tif,571110.8
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_D5.tif,632933.3
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-3_D6.tif,533642.3
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_C4.tif,583898.1
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_C5.tif,599381.9
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_C6.tif,626782.9
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_D4.tif,558678
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_D5.tif,622434.7
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-4_D6.tif,592108
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_C4.tif,491994.8
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_C5.tif,612266.2
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_C6.tif,608829.1
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_D4.tif,578663.5
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_D5.tif,582428.7
A2780cis_20and30_IC75treated_Day13_25_FITC_Tile-5_D6.tif,630822.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_C4.tif,527662.6
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_C5.tif,485494.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_C6.tif,279597.5
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_D4.tif,508770.7
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_D5.tif,307853.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-0_D6.tif,437783.9
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_C4.tif,304345.7
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_C5.tif,265479.5
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_C6.tif,230825.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_D4.tif,322893.3
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_D5.tif,480197.9
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-1_D6.tif,430791.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_C4.tif,442412.5
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_C5.tif,491727.1
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_C6.tif,365149.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_D4.tif,478753.9
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_D5.tif,531100.7
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-2_D6.tif,423248.3
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_C4.tif,354942.3
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_C5.tif,378829.1
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_C6.tif,447763.9
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_D4.tif,358369.2
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_D5.tif,396142.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-3_D6.tif,578610.2
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_C4.tif,458947.7
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_C5.tif,633213.2
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_C6.tif,630765
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_D4.tif,631411.6
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_D5.tif,627260.4
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-4_D6.tif,633344.7
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_C4.tif,362534.1
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_C5.tif,504861.8
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_C6.tif,579753
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_D4.tif,483532.9
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_D5.tif,435309.8
A2780cis_20and30_IC75treated_Day14_25_FITC_Tile-5_D6.tif,557910.6
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_C4.tif,23112.2
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_C5.tif,16806.9
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_C6.tif,20648.8
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_D4.tif,24572
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_D5.tif,30823.9
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-0_D6.tif,31994.1
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_C4.tif,17274.2
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_C5.tif,10818.1
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_C6.tif,29587.6
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_D4.tif,23339.2
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_D5.tif,34847.1
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-1_D6.tif,44454.3
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_C4.tif,21124.7
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_C5.tif,16600.7
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_C6.tif,21161.3
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_D4.tif,22292.9
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_D5.tif,32380.7
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-2_D6.tif,35391.6
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_C4.tif,12896
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_C5.tif,15111
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_C6.tif,18094.5
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_D4.tif,22374.7
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_D5.tif,30508.5
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-3_D6.tif,24815.2
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_C4.tif,18640
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_C5.tif,31951.5
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_C6.tif,24585.7
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_D4.tif,43526.9
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_D5.tif,19320.1
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-4_D6.tif,28546.4
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_C4.tif,16159.9
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_C5.tif,21271
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_C6.tif,18435.3
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_D4.tif,28120.3
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_D5.tif,29288
A2780cis_20and30_IC75treated_Day2_25_FITC_Tile-5_D6.tif,32825.1
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_C4.tif,37066.2
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_C5.tif,36717.2
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_C6.tif,45443.2
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_D4.tif,45709.4
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_D5.tif,65052.9
A2780cis_20and30_IC75treated_Day3_25_FITC_Tile-0_D6.tif,59941.7
