Image,Area µm^2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A4.tif,476924.4
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A5.tif,378053
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A6.tif,525832.6
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_B4.tif,397277.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_B5.tif,440809
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_B6.tif,451598.2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A4.tif,430641.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A5.tif,382202.6
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A6.tif,436480.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_B4.tif,428757.7
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_B5.tif,459531.8
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_B6.tif,370011.6
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A4.tif,441391.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A5.tif,480894.8
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A6.tif,595790.4
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_B4.tif,399132
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_B5.tif,390970.8
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_B6.tif,577002.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A4.tif,345260.9
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A5.tif,490138.8
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A6.tif,414376.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_B4.tif,350631.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_B5.tif,409723
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_B6.tif,487560.7
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A4.tif,403398
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A5.tif,518815.3
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A6.tif,527843.5
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_B4.tif,418075.2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_B5.tif,425282
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_B6.tif,463702.8
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A4.tif,380051.1
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A5.tif,474380.2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A6.tif,423080.2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_B4.tif,420692
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_B5.tif,341486.6
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_B6.tif,424023.4
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A4.tif,563004.4
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A5.tif,528606.4
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A6.tif,616142.1
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_B4.tif,551761.7
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_B5.tif,598788.6
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_B6.tif,567439.1
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A4.tif,509699.7
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A5.tif,523192.5
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A6.tif,480514.8
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_B4.tif,516571.3
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_B5.tif,531312.5
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_B6.tif,461664.1
