Image,Area µm^2
25-75_A2780_20and30_Day10_TX RED_Tile-0_A3.tif,248518.3
25-75_A2780_20and30_Day10_TX RED_Tile-0_A6.tif,213892.9
25-75_A2780_20and30_Day10_TX RED_Tile-0_B3.tif,366113.3
25-75_A2780_20and30_Day10_TX RED_Tile-0_B6.tif,198898.6
25-75_A2780_20and30_Day10_TX RED_Tile-0_C3.tif,193931.4
25-75_A2780_20and30_Day10_TX RED_Tile-0_C6.tif,261447.3
25-75_A2780_20and30_Day10_TX RED_Tile-1_A3.tif,302454
25-75_A2780_20and30_Day10_TX RED_Tile-1_A6.tif,365799.1
25-75_A2780_20and30_Day10_TX RED_Tile-1_B3.tif,331447.4
25-75_A2780_20and30_Day10_TX RED_Tile-1_B6.tif,183955.9
25-75_A2780_20and30_Day10_TX RED_Tile-1_C3.tif,306278.9
25-75_A2780_20and30_Day10_TX RED_Tile-1_C6.tif,168482.6
25-75_A2780_20and30_Day10_TX RED_Tile-2_A3.tif,299147.8
25-75_A2780_20and30_Day10_TX RED_Tile-2_A6.tif,221895.7
25-75_A2780_20and30_Day10_TX RED_Tile-2_B3.tif,257661.5
25-75_A2780_20and30_Day10_TX RED_Tile-2_B6.tif,238622.3
25-75_A2780_20and30_Day10_TX RED_Tile-2_C3.tif,436284.4
25-75_A2780_20and30_Day10_TX RED_Tile-2_C6.tif,306990.2
25-75_A2780_20and30_Day10_TX RED_Tile-3_A3.tif,259031
25-75_A2780_20and30_Day10_TX RED_Tile-3_A6.tif,288326.4
25-75_A2780_20and30_Day10_TX RED_Tile-3_B3.tif,288845
25-75_A2780_20and30_Day10_TX RED_Tile-3_B6.tif,194777.8
25-75_A2780_20and30_Day10_TX RED_Tile-3_C3.tif,318451.6
25-75_A2780_20and30_Day10_TX RED_Tile-3_C6.tif,273110.1
25-75_A2780_20and30_Day10_TX RED_Tile-4_A3.tif,329652.4
25-75_A2780_20and30_Day10_TX RED_Tile-4_A6.tif,259968
25-75_A2780_20and30_Day10_TX RED_Tile-4_B3.tif,291040.2
25-75_A2780_20and30_Day10_TX RED_Tile-4_B6.tif,254321.3
25-75_A2780_20and30_Day10_TX RED_Tile-4_C3.tif,371414.9
25-75_A2780_20and30_Day10_TX RED_Tile-4_C6.tif,232111.4
25-75_A2780_20and30_Day10_TX RED_Tile-5_A3.tif,299390.1
25-75_A2780_20and30_Day10_TX RED_Tile-5_A6.tif,149466.6
25-75_A2780_20and30_Day10_TX RED_Tile-5_B3.tif,291139.4
25-75_A2780_20and30_Day10_TX RED_Tile-5_B6.tif,242306
25-75_A2780_20and30_Day10_TX RED_Tile-5_C3.tif,248895.2
25-75_A2780_20and30_Day10_TX RED_Tile-5_C6.tif,198542.4
25-75_A2780_20and30_Day11_TX RED_Tile-0_A3.tif,352698
25-75_A2780_20and30_Day11_TX RED_Tile-0_A6.tif,155306.1
25-75_A2780_20and30_Day11_TX RED_Tile-0_B3.tif,286837
25-75_A2780_20and30_Day11_TX RED_Tile-0_B6.tif,159127.4
25-75_A2780_20and30_Day11_TX RED_Tile-0_C3.tif,346972.9
25-75_A2780_20and30_Day11_TX RED_Tile-0_C6.tif,294639.4
25-75_A2780_20and30_Day11_TX RED_Tile-1_A3.tif,408464.3
25-75_A2780_20and30_Day11_TX RED_Tile-1_A6.tif,488014.3
25-75_A2780_20and30_Day11_TX RED_Tile-1_B3.tif,386449.2
25-75_A2780_20and30_Day11_TX RED_Tile-1_B6.tif,431113.3
25-75_A2780_20and30_Day11_TX RED_Tile-1_C3.tif,286337.1
25-75_A2780_20and30_Day11_TX RED_Tile-1_C6.tif,546858.6
