Image,Area µm^2,Confluency %,Perimeter µm,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_A3.tif,4613.6,0.72775853,2165.4,0.916241827
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_A6.tif,3970.4,0.626298871,1812.6,0.755116253
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_B3.tif,5454.1,0.860340689,2403,0.656685239
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_B6.tif,5629.2,0.887961314,2684.7,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_C3.tif,4669.2,0.736528986,2351.8,0.8159442
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-0_C6.tif,4806.9,0.758250061,2201,0.845641762
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_A3.tif,4063,0.640905781,1922.1,0.862706819
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_A6.tif,4471.4,0.705327617,2048.7,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_B3.tif,5001.7,0.788978204,2136.9,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_B6.tif,3642,0.574496395,1899.3,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_C3.tif,5788.6,0.91310539,2575.1,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-1_C6.tif,8294,1.308312219,3761.7,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_A3.tif,6718.2,1.059742362,3228.2,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_A6.tif,4830.1,0.761909675,3404.6,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_B3.tif,5986.4,0.94430676,2505.4,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_B6.tif,4428.9,0.698623581,2061.5,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_C3.tif,4429.4,0.698702452,1974.7,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-2_C6.tif,6700.5,1.056950328,3181.2,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_A3.tif,7727.7,1.218982919,3518.4,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_A6.tif,8602.2,1.356928306,3905.4,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_B3.tif,4142.4,0.653430496,2108.5,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_B6.tif,7053.2,1.112585934,3243.8,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_C3.tif,3022.6,0.476790995,1633.3,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-3_C6.tif,4341.8,0.684884253,2027.4,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_A3.tif,6471.2,1.020780085,3013.3,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_A6.tif,4344.3,0.685278608,2028.8,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_B3.tif,3595.4,0.567145617,1700.2,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_B6.tif,3762.9,0.593567404,1690.2,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_C3.tif,4155.1,0.65543382,1913.6,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-4_C6.tif,3974.9,0.62700871,1859.5,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_A3.tif,5257.2,0.829281287,2545.3,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_A6.tif,4817.5,0.759922126,2395.9,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_B3.tif,4542.2,0.716495751,1969.1,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_B6.tif,7649.3,1.206615946,3386.1,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_C3.tif,2913.3,0.459549793,1365.8,
25-75_co-cultureA2780_15and20_Day1_FITC_Tile-5_C6.tif,4696.5,0.740835343,2474.1,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_A3.tif,137043.4,21.61750117,43337.7,24.02544607
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_A6.tif,321099.3,50.65084851,55035.4,24.85161984
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_B3.tif,160994.7,25.39562734,47034,25.70500148
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_B6.tif,289723.4,45.70155103,53247,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_C3.tif,248593.1,39.21357489,56193.5,30.33057556
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-0_C6.tif,145743.7,22.98990397,44245.4,31.05566825
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_A3.tif,114606.7,18.07829105,37248.4,34.4912629
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_A6.tif,178631.7,28.17772314,53281.2,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_B3.tif,269814.8,42.56112848,52944,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_B6.tif,147513.9,23.26913887,47119.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_C3.tif,112090.1,17.68131751,38904.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-1_C6.tif,174310.1,27.49602528,49907.9,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-2_A3.tif,201130.2,31.72668172,47913.2,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-2_A6.tif,174477.6,27.52244706,50367.4,
