Image,Area µm^2,Confluency %,Perimeter µm,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A2.tif,8336,1.314937383,3255.2,1.89900346
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A5.tif,6808.8,1.074033788,2627.8,2.123998774
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B2.tif,10509.9,1.657852735,3982.2,1.763382139
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B5.tif,9891,1.560226206,4023.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C2.tif,9398.2,1.482490944,3478.6,1.379340816
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C5.tif,5383.7,0.849235651,2233.7,1.449672719
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A2.tif,6599.8,1.041065708,2551,1.059776539
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A5.tif,6093.7,0.961232477,2165.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B2.tif,8360.8,1.318849385,3101.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B5.tif,15008.1,2.367407838,5800.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C2.tif,9985.2,1.575085503,3346.3,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C5.tif,10529.1,1.660881382,3461.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A2.tif,15342.6,2.42017254,5047.8,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A5.tif,9090,1.433874857,3582.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B2.tif,20010.3,3.156464913,7072.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B5.tif,11597.9,1.82947604,4399.1,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C2.tif,14555.7,2.296045353,5171.6,
