Image,Area µm^2
75-25_A2780_20and30_Day10_FITC_Tile-0_A1.tif,26419.7
75-25_A2780_20and30_Day10_FITC_Tile-0_A4.tif,50137.7
75-25_A2780_20and30_Day10_FITC_Tile-0_B1.tif,34728.6
75-25_A2780_20and30_Day10_FITC_Tile-0_B4.tif,20616.2
75-25_A2780_20and30_Day10_FITC_Tile-0_C1.tif,20867.1
75-25_A2780_20and30_Day10_FITC_Tile-0_C4.tif,27992.1
75-25_A2780_20and30_Day10_FITC_Tile-1_A1.tif,34169.6
75-25_A2780_20and30_Day10_FITC_Tile-1_A4.tif,32627
75-25_A2780_20and30_Day10_FITC_Tile-1_B1.tif,43515.6
75-25_A2780_20and30_Day10_FITC_Tile-1_B4.tif,77032.5
75-25_A2780_20and30_Day10_FITC_Tile-1_C1.tif,35430.8
75-25_A2780_20and30_Day10_FITC_Tile-1_C4.tif,34519.7
75-25_A2780_20and30_Day10_FITC_Tile-2_A1.tif,26986.9
75-25_A2780_20and30_Day10_FITC_Tile-2_A4.tif,43063.3
75-25_A2780_20and30_Day10_FITC_Tile-2_B1.tif,29935.4
75-25_A2780_20and30_Day10_FITC_Tile-2_B4.tif,39810.2
75-25_A2780_20and30_Day10_FITC_Tile-2_C1.tif,12362.4
75-25_A2780_20and30_Day10_FITC_Tile-2_C4.tif,37324.5
75-25_A2780_20and30_Day10_FITC_Tile-3_A1.tif,32016.3
75-25_A2780_20and30_Day10_FITC_Tile-3_A4.tif,43570.3
75-25_A2780_20and30_Day10_FITC_Tile-3_B1.tif,42845.8
75-25_A2780_20and30_Day10_FITC_Tile-3_B4.tif,24729.4
75-25_A2780_20and30_Day10_FITC_Tile-3_C1.tif,29940
75-25_A2780_20and30_Day10_FITC_Tile-3_C4.tif,41119.5
75-25_A2780_20and30_Day10_FITC_Tile-4_A1.tif,37584.1
75-25_A2780_20and30_Day10_FITC_Tile-4_A4.tif,32790.9
75-25_A2780_20and30_Day10_FITC_Tile-4_B1.tif,39095.8
75-25_A2780_20and30_Day10_FITC_Tile-4_B4.tif,33089.4
75-25_A2780_20and30_Day10_FITC_Tile-4_C1.tif,33223.5
75-25_A2780_20and30_Day10_FITC_Tile-4_C4.tif,38176.5
75-25_A2780_20and30_Day10_FITC_Tile-5_A1.tif,10871.4
75-25_A2780_20and30_Day10_FITC_Tile-5_A4.tif,26447
75-25_A2780_20and30_Day10_FITC_Tile-5_B1.tif,24921.6
75-25_A2780_20and30_Day10_FITC_Tile-5_B4.tif,45562.6
75-25_A2780_20and30_Day10_FITC_Tile-5_C1.tif,34582.4
75-25_A2780_20and30_Day10_FITC_Tile-5_C4.tif,33229
75-25_A2780_20and30_Day11_FITC_Tile-0_A1.tif,25452.4
75-25_A2780_20and30_Day11_FITC_Tile-0_A4.tif,83592.4
75-25_A2780_20and30_Day11_FITC_Tile-0_B1.tif,29114.8
75-25_A2780_20and30_Day11_FITC_Tile-0_B4.tif,24425.3
75-25_A2780_20and30_Day11_FITC_Tile-0_C1.tif,69720.8
75-25_A2780_20and30_Day11_FITC_Tile-0_C4.tif,83038.9
75-25_A2780_20and30_Day11_FITC_Tile-1_A1.tif,43039
75-25_A2780_20and30_Day11_FITC_Tile-1_A4.tif,46552.7
75-25_A2780_20and30_Day11_FITC_Tile-1_B1.tif,57635.6
75-25_A2780_20and30_Day11_FITC_Tile-1_B4.tif,58126.4
75-25_A2780_20and30_Day11_FITC_Tile-1_C1.tif,96617.6
75-25_A2780_20and30_Day11_FITC_Tile-1_C4.tif,39377.6
75-25_A2780_20and30_Day11_FITC_Tile-2_A1.tif,32493.9
75-25_A2780_20and30_Day11_FITC_Tile-2_A4.tif,43625.9
75-25_A2780_20and30_Day11_FITC_Tile-2_B1.tif,66745.9
75-25_A2780_20and30_Day11_FITC_Tile-2_B4.tif,43404.8
75-25_A2780_20and30_Day11_FITC_Tile-2_C1.tif,21539
75-25_A2780_20and30_Day11_FITC_Tile-2_C4.tif,36812
75-25_A2780_20and30_Day11_FITC_Tile-3_A1.tif,43709.9
75-25_A2780_20and30_Day11_FITC_Tile-3_A4.tif,52735.2
75-25_A2780_20and30_Day11_FITC_Tile-3_B1.tif,60025.7
75-25_A2780_20and30_Day11_FITC_Tile-3_B4.tif,27901.6
75-25_A2780_20and30_Day11_FITC_Tile-3_C1.tif,58423.4
75-25_A2780_20and30_Day11_FITC_Tile-3_C4.tif,39724.7
75-25_A2780_20and30_Day11_FITC_Tile-4_A1.tif,69874.1
75-25_A2780_20and30_Day11_FITC_Tile-4_A4.tif,34948.7
75-25_A2780_20and30_Day11_FITC_Tile-4_B1.tif,38252.4
75-25_A2780_20and30_Day11_FITC_Tile-4_B4.tif,49317.6
75-25_A2780_20and30_Day11_FITC_Tile-4_C1.tif,39730.7
75-25_A2780_20and30_Day11_FITC_Tile-4_C4.tif,44846.2
75-25_A2780_20and30_Day11_FITC_Tile-5_A1.tif,25235.8
75-25_A2780_20and30_Day11_FITC_Tile-5_A4.tif,39987.3
75-25_A2780_20and30_Day11_FITC_Tile-5_B1.tif,54022.8
75-25_A2780_20and30_Day11_FITC_Tile-5_B4.tif,57829.4
75-25_A2780_20and30_Day11_FITC_Tile-5_C1.tif,22487.6
75-25_A2780_20and30_Day11_FITC_Tile-5_C4.tif,38157.3
75-25_A2780_20and30_Day12_FITC_Tile-0_A1.tif,21207.1
75-25_A2780_20and30_Day12_FITC_Tile-0_A4.tif,38332.4
75-25_A2780_20and30_Day12_FITC_Tile-0_B1.tif,35664.1
75-25_A2780_20and30_Day12_FITC_Tile-0_B4.tif,22845.3
75-25_A2780_20and30_Day12_FITC_Tile-0_C1.tif,19198.6
75-25_A2780_20and30_Day12_FITC_Tile-0_C4.tif,38547.9
75-25_A2780_20and30_Day12_FITC_Tile-1_A1.tif,32871.3
75-25_A2780_20and30_Day12_FITC_Tile-1_A4.tif,44997
75-25_A2780_20and30_Day12_FITC_Tile-1_B1.tif,28809.2
75-25_A2780_20and30_Day12_FITC_Tile-1_B4.tif,45434.1
75-25_A2780_20and30_Day12_FITC_Tile-1_C1.tif,39436.8
75-25_A2780_20and30_Day12_FITC_Tile-1_C4.tif,23001.1
75-25_A2780_20and30_Day12_FITC_Tile-2_A1.tif,29293.9
75-25_A2780_20and30_Day12_FITC_Tile-2_A4.tif,36706.3
75-25_A2780_20and30_Day12_FITC_Tile-2_B1.tif,41800
75-25_A2780_20and30_Day12_FITC_Tile-2_B4.tif,21798
75-25_A2780_20and30_Day12_FITC_Tile-2_C1.tif,10002.3
75-25_A2780_20and30_Day12_FITC_Tile-2_C4.tif,27168
75-25_A2780_20and30_Day12_FITC_Tile-3_A1.tif,27913.2
75-25_A2780_20and30_Day12_FITC_Tile-3_A4.tif,43533.3
75-25_A2780_20and30_Day12_FITC_Tile-3_B1.tif,23749.4
75-25_A2780_20and30_Day12_FITC_Tile-3_B4.tif,19294.7
75-25_A2780_20and30_Day12_FITC_Tile-3_C1.tif,26185.5
75-25_A2780_20and30_Day12_FITC_Tile-3_C4.tif,44537.1
75-25_A2780_20and30_Day12_FITC_Tile-4_A1.tif,30206.6
75-25_A2780_20and30_Day12_FITC_Tile-4_A4.tif,29133.5
75-25_A2780_20and30_Day12_FITC_Tile-4_B1.tif,34825.2
75-25_A2780_20and30_Day12_FITC_Tile-4_B4.tif,32826.8
75-25_A2780_20and30_Day12_FITC_Tile-4_C1.tif,24737
75-25_A2780_20and30_Day12_FITC_Tile-4_C4.tif,29252.4
75-25_A2780_20and30_Day12_FITC_Tile-5_A1.tif,14229.3
