Image,Area µm^2
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A1.tif,569294.6
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A2.tif,567837
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A3.tif,549500.6
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B1.tif,599541.7
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B2.tif,587370
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B3.tif,584063.2
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A1.tif,569626
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A2.tif,556444.5
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A3.tif,537998.7
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B1.tif,562366.4
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B2.tif,567693.3
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B3.tif,571719
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A1.tif,621710.6
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A2.tif,607450.4
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A3.tif,585951.9
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B1.tif,587456
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B2.tif,580123.6
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B3.tif,583839.1
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A1.tif,574846.7
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A2.tif,576434.3
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A3.tif,499893.5
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B1.tif,574915
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B2.tif,467513.5
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B3.tif,574835.6
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A1.tif,622429.5
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A2.tif,569865.3
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A3.tif,554079.2
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B1.tif,613432
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B2.tif,582006.1
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B3.tif,572936.3
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A1.tif,591251
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A2.tif,579377.8
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A3.tif,586132
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B1.tif,608162.2
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B2.tif,585264.3
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B3.tif,592103.5
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A1.tif,594081.7
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A2.tif,606444.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A3.tif,618555.1
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B1.tif,612983.3
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B2.tif,609555.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B3.tif,600163
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A1.tif,606537.7
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A2.tif,611968.9
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A3.tif,597171.4
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B1.tif,599038.3
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B2.tif,598343.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B3.tif,602615.7
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A1.tif,624781.1
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A2.tif,627451.9
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A3.tif,605258.2
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B1.tif,609476.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B2.tif,603358.4
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B3.tif,604865.1
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A1.tif,600935.5
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A2.tif,615344.4
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A3.tif,569941.2
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B1.tif,609056.2
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B2.tif,486093.8
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B3.tif,591087.1
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A1.tif,621949.4
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A2.tif,595134.5
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A3.tif,595538.3
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B1.tif,622667.3
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B2.tif,591344.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B3.tif,592890.7
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A1.tif,615845.8
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A2.tif,607637.6
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A3.tif,607245.5
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B1.tif,607857.2
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B2.tif,590200.7
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B3.tif,593986.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A1.tif,606456.7
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A2.tif,585063
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A3.tif,580012.8
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B1.tif,625491.9
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B2.tif,550569.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B3.tif,565347.8
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A1.tif,612712.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A2.tif,591784.2
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A3.tif,592070.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B1.tif,615657.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B2.tif,571066.4
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B3.tif,586485.1
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A1.tif,628784.5
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A2.tif,615674.3
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A3.tif,607636.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B1.tif,631775
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B2.tif,574146
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B3.tif,613271.1
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A1.tif,622341.5
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A2.tif,586682.4
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A3.tif,567756.1
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B1.tif,596977.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B2.tif,593918.3
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B3.tif,610279.1
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A1.tif,630753.6
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A2.tif,607077
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A3.tif,603816.3
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_B1.tif,633540.2
