Image,Area µm^2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A4.tif,585783.9
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A5.tif,522068
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A6.tif,550002.5
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_B4.tif,533129.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_B5.tif,453111.1
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_B6.tif,462248.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A4.tif,518328.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A5.tif,515440.8
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A6.tif,583817.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_B4.tif,532562
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_B5.tif,451129.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_B6.tif,389430.6
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A4.tif,445202.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A5.tif,579756.8
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A6.tif,589341.6
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_B4.tif,539395.1
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_B5.tif,466391.8
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_B6.tif,590515.9
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A4.tif,380333
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A5.tif,515015.8
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A6.tif,590030.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_B4.tif,420144.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_B5.tif,492411.3
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_B6.tif,452368.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A4.tif,524577.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A5.tif,546188.2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A6.tif,593365.3
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_B4.tif,590084.8
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_B5.tif,602006.6
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_B6.tif,592707.6
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A4.tif,520787
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A5.tif,511527.4
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A6.tif,586956.1
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_B4.tif,493545.1
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_B5.tif,539105.7
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_B6.tif,525399
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A4.tif,617653.5
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A5.tif,611403.2
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A6.tif,619935.8
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_B4.tif,592239.1
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_B5.tif,583445
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_B6.tif,618494.9
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A4.tif,595102.6
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A5.tif,602735.1
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A6.tif,625399.8
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_B4.tif,608356.5
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_B5.tif,561164.8
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_B6.tif,565904.4
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A4.tif,553352.2
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A5.tif,622773
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A6.tif,626812.9
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_B4.tif,621492
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_B5.tif,590163.8
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_B6.tif,632640.7
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A4.tif,512191.2
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A5.tif,597786.6
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A6.tif,627115.9
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_B4.tif,527867
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_B5.tif,614799.5
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_B6.tif,576464.7
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A4.tif,588403.6
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A5.tif,605620.4
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A6.tif,622023.7
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_B4.tif,622612.1
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_B5.tif,621981.2
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_B6.tif,628867
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A4.tif,585111
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A5.tif,579669.2
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A6.tif,617037.3
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_B4.tif,567160.6
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_B5.tif,605266.3
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_B6.tif,593361.7
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A4.tif,420677.4
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A5.tif,360616.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A6.tif,409402.8
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_B4.tif,548848.4
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_B5.tif,479097.3
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_B6.tif,509836.1
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A4.tif,502723.7
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A5.tif,496383.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A6.tif,484373.6
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_B4.tif,490663.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_B5.tif,439871.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_B6.tif,449594.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A4.tif,503733.1
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A5.tif,471414.7
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A6.tif,472848.5
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_B4.tif,581998
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_B5.tif,583638.8
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_B6.tif,629549.5
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A4.tif,455174.3
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A5.tif,475985.8
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A6.tif,295979.6
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_B4.tif,507737.5
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_B5.tif,481914.3
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_B6.tif,523937.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A4.tif,511298.7
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A5.tif,587167.1
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A6.tif,575876.8
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_B4.tif,578788.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_B5.tif,613160.3
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_B6.tif,620516.1
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A4.tif,529395.4
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A5.tif,526067.9
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A6.tif,602650.6
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_B4.tif,526277.8
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_B5.tif,533828.4
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_B6.tif,574174.8
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A4.tif,511697.4
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A5.tif,445544.9
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A6.tif,439728.3
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_B4.tif,393982.5
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_B5.tif,559413.3
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_B6.tif,374683.3
A2780cis_20and30_untreated_Day16_25_FITC_Tile-1_A4.tif,462494.1
