density,mix,version,scaleS,scaleR,RMSE_S,RMSE_R,RMSE_total,R2_S,R2_R,R2_total
20k,25-75,transfer_predict,1.0,1.0,2237.267234910297,2283.727022607445,836.742961200213,-75.30321552675753,-2.0050572992070888,0.7009677856944772
20k,25-75,fit_on_coculture,2.5,1.2,2366.5295942383686,2288.6430123007094,725.5448768713788,-84.37505472008979,-2.0180086989914727,0.7751657856426847
20k,50-50,transfer_predict,1.0,1.0,2358.49878230403,1717.2303502722325,1136.986864052347,-29.982299302242165,-1.5539941353560724,0.39214035166371175
20k,50-50,fit_on_coculture,2.5,0.2,2250.162448003334,1713.9884901550122,1020.3981648254485,-27.20136163538796,-1.5443601612657338,0.5104108802159424
20k,75-25,transfer_predict,1.0,1.0,2086.449496281762,1057.340802745336,1408.7864099687959,-11.322824962255481,-1.1285590041015823,-0.28398288821273754
20k,75-25,fit_on_coculture,2.5,0.2,2046.9457826350053,1057.3408027416908,1375.3700170329644,-10.860614906585544,-1.128559004086906,-0.22379319492651883
30k,25-75,transfer_predict,1.0,1.0,561.7027518093602,1563.4403216897103,2079.9079052539287,-3.3176928334506304,-0.32789718249688504,-0.7590614898783832
30k,25-75,fit_on_coculture,0.2,0.2,561.7022252471027,1507.0655789477703,2023.1242321155025,-3.317684738304175,-0.23386070728017305,-0.6643241446589048
30k,50-50,transfer_predict,1.0,1.0,1151.2591104333394,1687.7897216100384,879.0965279220052,-5.550155349483245,-1.4808000497686216,0.647355351122739
30k,50-50,fit_on_coculture,0.6,0.2,1714.1027921999162,1728.0031420753317,378.9408624216087,-13.52041955108646,-1.6004238590993083,0.9344749973839586
30k,75-25,transfer_predict,1.0,1.0,1334.5916144309288,1128.6580167601371,353.7717032023367,-3.9803470606712335,-1.2662991029950064,0.9249403525749759
30k,75-25,fit_on_coculture,1.1,0.2,1248.9959012755817,1125.4828244214614,313.4961212996323,-3.3619918617081286,-1.2535657267644442,0.9410580256614814
