density,mix,Day,S_obs,R_obs,T_obs,S_hat,R_hat,T_hat
20k,25-75,1,99.62,88.59,188.21,99.62,88.59,188.21
20k,25-75,2,151.65,143.34,294.99,113.20363374721623,97.90596612530737,211.1095998725236
20k,25-75,3,256.71,247.63,504.34,163.62923390463936,66.95904479281639,230.58827869745573
20k,25-75,4,308.39,494.31,802.7,282.19503714651256,56.5511582219268,338.7461953684394
20k,25-75,5,458.41,903.37,1361.78,502.26614095991755,53.97911891057508,556.2452598704926
20k,25-75,6,443.2,1360.1,1803.3,861.5750367832097,49.348274074056164,910.9233108572658
20k,25-75,7,684.74,2438.38,3123.12,1444.796472321752,36.982435059808836,1481.7789073815607
20k,25-75,8,381.45,1945.32,2326.77,2253.4571761743173,19.842232552307244,2273.2994087266247
20k,25-75,9,434.43,3250.29,3684.72,3281.2877561915275,6.819421454865594,3288.107177646393
20k,25-75,10,381.81,3135.64,3517.45,3944.1803356899545,1.5617438402383437,3945.7420795301928
20k,25-75,11,827.93,3987.59,4815.52,4060.620274142555,0.305941532234637,4060.9262156747895
20k,25-75,12,564.25,2308.25,2872.5,4069.4054871161325,0.059011336388114344,4069.4644984525207
20k,25-75,13,1105.27,3826.77,4932.04,4072.787485404609,0.011367446167103739,4072.7988528507763
20k,25-75,14,404.8,2159.37,2564.17,4074.6196876728145,0.002188407303185638,4074.6218760801175
20k,50-50,1,154.28,51.28,205.56,154.28,51.28,205.56
20k,50-50,2,285.21,89.81,375.02,250.40447974506824,56.40279137431105,306.80727111937927
20k,50-50,3,425.08,141.96,567.04,647.7056991286721,35.04043357432274,682.7461327029948
20k,50-50,4,562.62,269.67,832.29,1551.3214741360748,22.04879702612399,1573.3702711621988
20k,50-50,5,850.45,503.14,1353.5900000000001,2990.6015574966455,12.138079832262484,3002.739637328908
20k,50-50,6,932.26,640.24,1572.5,3963.6442186098134,5.840074020984229,3969.4842926307974
20k,50-50,7,1392.04,1228.76,2620.8,4059.0726693686825,2.7505460344267254,4061.8232154031093
20k,50-50,8,999.73,1159.74,2159.4700000000003,4015.7583330991843,1.346904227425505,4017.1052373266098
20k,50-50,9,1287.63,2141.54,3429.17,4039.095728119771,0.6709069430974376,4039.7666350628688
20k,50-50,10,1285.18,2331.9,3617.08,4055.1604749696894,0.3358387303408028,4055.49631370003
20k,50-50,11,1589.92,3319.13,4909.05,4064.3615612791405,0.1684491876642482,4064.530010466805
20k,50-50,12,1183.66,1939.12,3122.7799999999997,4069.674252829319,0.08455723983720073,4069.758810069156
