mix,model,aware_sse_total,aware_bic_total,aware_aic_total,n_conditions,pooled_sse_total,pooled_aic_total,pooled_bic_total,pooled_converged,delta_bic_pooled_minus_aware
25-75,fixed_mono_competitive_death_log,43.07981115353397,5.43353482031757,-5.776044232979674,2,43.65925448868437,-11.075757197874314,-2.698378948985912,true,-8.131913769303482
25-75,fixed_mono_sharedK_competitive_log,25.076848291493377,-32.82347534405267,-41.2306596340256,2,26.25756519301057,-43.58342501259065,-37.30039132592435,true,-4.476915981871684
25-75,fixed_mono_sharedK_death_log,32.32387602202479,-17.275530996683372,-25.682715286656304,2,34.10922692820118,-27.886597807755628,-21.603564121089327,true,-4.328033124405955
25-75,fixed_mono_competitive_log,64.4169609554847,16.37341597761686,10.768626450968242,2,64.44334632863934,8.286515446537411,12.475204570981612,true,-3.89821140663525
25-75,fixed_mono_sharedK_symmetric_alpha_log,26.726672735653437,-35.21417619413993,-40.818965720788555,2,27.508967570156717,-42.789951034774845,-38.60126191033064,true,-3.387085716190711
25-75,fixed_mono_sharedK_log,238.68140964757202,89.03903747627234,86.23664271294803,2,238.69665948507068,84.85093858450284,86.94528314672495,true,-2.0937543295473944
25-75,fixed_mono_symmetric_alpha_log,54.06594312054725,-0.2693500582295192,-3.0717448215538306,2,54.74792634683401,-3.4963041511861235,-1.401959588964023,true,-1.1326095307345039
50-50,fixed_mono_competitive_death_log,9.018966287886798,-86.49414709362006,-97.7037261469173,2,9.337423819907723,-103.61885021841985,-95.24147196953145,true,-8.747324875911389
50-50,fixed_mono_sharedK_death_log,10.674660856847261,-83.31781634573146,-91.72500063570439,2,10.939071101279685,-96.12022063851258,-89.83718695184628,true,-6.519370606114819
50-50,fixed_mono_sharedK_competitive_log,13.773906175907552,-67.88795473029882,-76.29513902027175,2,14.186284672431585,-80.52413595028248,-74.24110226361618,true,-6.353147533317369
50-50,fixed_mono_sharedK_symmetric_alpha_log,13.803366036316676,-74.60274403505854,-80.20753356170715,2,14.034612411725366,-83.16907811760474,-78.98038899316055,true,-4.37764495810201
50-50,fixed_mono_competitive_log,13.741097614791542,-74.83361757840973,-80.43840710505833,2,14.147144603252507,-82.6899051991588,-78.5012160747146,true,-3.667598496304876
50-50,fixed_mono_sharedK_log,63.187677105895844,9.53199266318769,6.729597899863379,2,63.40206784362671,5.309114871156158,7.403459433378259,true,-2.128533229809431
50-50,fixed_mono_symmetric_alpha_log,20.220109704531765,-58.478750862998176,-61.281145626322484,2,20.539606581101676,-62.319370701858574,-60.225026139636476,true,-1.7462752766383005
75-25,fixed_mono_competitive_death_log,13.321515648901002,-64.03089717439006,-75.24047622768731,2,13.385624532606691,-82.00979363181757,-73.63241538292917,true,-9.601518208539105
75-25,fixed_mono_sharedK_death_log,18.717633890688212,-50.51653228418739,-58.92371657416032,2,18.776946792230845,-63.70288075695893,-57.41984707029263,true,-6.903314786105241
75-25,fixed_mono_sharedK_competitive_log,18.134060031033997,-52.27728763304617,-60.6844719230191,2,18.239609131412116,-65.44494042026527,-59.16190673359897,true,-6.884619100552797
75-25,fixed_mono_sharedK_symmetric_alpha_log,18.2090595799282,-58.81881694611856,-64.42360647276718,2,18.24040994279544,-67.44230617367073,-63.25361704922653,true,-4.434800103107968
75-25,fixed_mono_competitive_log,18.67137517893128,-57.53856218198063,-63.143351708629254,2,18.698759416955077,-65.95324291409267,-61.76455378964847,true,-4.2259916076678365
75-25,fixed_mono_symmetric_alpha_log,21.406045315367486,-55.80731832543282,-58.60971308875713,2,21.408173166561827,-59.83430736624773,-57.73996280402563,true,-1.9326444785928132
75-25,fixed_mono_sharedK_log,20.076265769597313,-59.62297130308861,-62.42536606641292,2,20.096079042642227,-63.6291903214929,-61.5348457592708,true,-1.9118744561821899
