parameter,original_upper,candidate_upper,original_bic,candidate_bic,bic_improvement,estimate,upper_margin_fraction,accepted,model,pooling_mode
lambda,5.0,7.5,-549.4984117913649,-549.5104973081416,0.012085516776664917,7.499888193947792,1.4927376796744884e-5,false,dual_delayed_ramp_kill,shared
lambda,5.0,10.0,-549.4984117913649,-549.5148823880851,0.016470596720182584,9.999209139968858,7.916516828245292e-5,false,dual_delayed_ramp_kill,shared
lambda,5.0,7.5,-592.776671304894,-592.8241563680045,0.04748506311057099,7.499427698818819,7.640870242741588e-5,false,dual_transit_competitor_scaled,shared
lambda,5.0,10.0,-592.776671304894,-592.8411817347879,0.06451042989397138,9.999700073821538,3.0022640486684016e-5,false,dual_transit_competitor_scaled,shared
lambda,5.0,7.5,-586.4056365542139,-586.4387120889996,0.03307553478578029,7.499476723492255,6.98633521688884e-5,false,dual_transit_damage,shared
lambda,5.0,10.0,-586.4056365542139,-586.4499615484058,0.044324994191924816,9.999079532627833,9.213887609274832e-5,false,dual_transit_damage,shared
lambda,5.0,7.5,-617.7818828967949,-617.8250017546249,0.04311885782999525,7.499688860421681,4.154066466203351e-5,false,dual_transit_load_scaled,shared
lambda,5.0,10.0,-617.7818828967949,-617.8396507006363,0.05776780384144331,9.999468130043107,5.324023592520574e-5,false,dual_transit_load_scaled,shared
kill_sensitive,4.0,6.0,-549.4291855895206,-549.5263837063325,0.09719811681191004,5.941588130493358,0.009735311584440373,false,sensitive_tolerant_transition,shared
kill_sensitive,4.0,8.0,-549.4291855895206,-549.5758459507812,0.146660361260615,7.999791490765408,2.606365432400448e-5,false,sensitive_tolerant_transition,shared
lambda,5.0,7.5,-552.2293054088807,-552.239154908727,0.009849499846268372,7.499895685777351,1.3927132529921976e-5,false,dual_delayed_ramp_kill,partial_5pct
lambda,5.0,10.0,-552.2293054088807,-552.2420014335415,0.012696024660840521,9.998786277672629,0.00012149372646357942,false,dual_delayed_ramp_kill,partial_5pct
lambda,5.0,7.5,-594.6381030296272,-596.7503261768069,2.112223147179634,6.74508353090654,0.10078991576681706,true,dual_transit_competitor_scaled,partial_5pct
beta_resistant,3.0,4.5,-596.7503261768069,-596.8987112813328,0.14838510452591436,3.3490932512008316,0.15345423317322246,false,dual_transit_competitor_scaled,partial_5pct
beta_resistant,3.0,6.0,-596.7503261768069,-596.8987112813361,0.14838510452921128,3.3229611954868767,0.2974487560570137,false,dual_transit_competitor_scaled,partial_5pct
lambda,5.0,7.5,-595.0311915238835,-595.0677980525012,0.036606528617653566,7.499722607987105,3.7034981694882874e-5,false,dual_transit_damage,partial_5pct
lambda,5.0,10.0,-595.0311915238835,-595.0799367464181,0.04874522253453506,9.999660265407377,3.4007466729077703e-5,false,dual_transit_damage,partial_5pct
lambda,5.0,7.5,-614.8333810326911,-615.6980499415941,0.8646689089030133,7.499999966505008,4.471961504560545e-9,false,dual_transit_load_scaled,partial_5pct
lambda,5.0,10.0,-614.8333810326911,-615.7115060298954,0.8781249972042815,9.816591631981456,0.018359195997852216,false,dual_transit_load_scaled,partial_5pct
beta_resistant,3.0,4.5,-614.8333810326911,-615.656044842286,0.8226638095948147,4.499999999999299,9.343636975245318e-14,false,dual_transit_load_scaled,partial_5pct
beta_resistant,3.0,6.0,-614.8333810326911,-615.6560448417501,0.8226638090590086,5.999999999999158,9.355479354174652e-14,false,dual_transit_load_scaled,partial_5pct
kill_sensitive,4.0,6.0,-548.9093499913688,-548.9373780960354,0.02802810466664596,5.927661258833128,0.012056456861145351,false,sensitive_tolerant_transition,partial_5pct
kill_sensitive,4.0,8.0,-548.9093499913688,-548.9431407423202,0.03379075095142525,6.62288664710489,0.17213916911188876,false,sensitive_tolerant_transition,partial_5pct
lambda_20k,5.0,7.5,-544.809516555555,-544.8129985345555,0.0034819790005258255,5.685919863711911,0.24220028521870346,false,dual_delayed_ramp_kill,independent_diagnostic
lambda_20k,5.0,10.0,-544.809516555555,-544.8120162280297,0.0024996724747552435,5.803155429431829,0.4201045616184355,false,dual_delayed_ramp_kill,independent_diagnostic
lambda_30k,5.0,7.5,-590.133853175677,-590.16144654671,0.027593371032935465,7.497045622741411,0.00039444289166738506,false,dual_transit_damage,independent_diagnostic
lambda_30k,5.0,10.0,-590.133853175677,-590.1667146401877,0.032861464510688165,9.954713661633805,0.004533167003623079,false,dual_transit_damage,independent_diagnostic
