parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,model,pooling_mode
kill_sensitive,0.16450858844097244,0.0,3.0,0.05483619614699081,interior,dual_constant_kill,shared
kill_resistant,4.333397903858681e-11,0.0,3.0,1.4444659679528936e-11,poorly_identified_at_bound,dual_constant_kill,shared
kill_sensitive,0.22552874343127963,0.0,4.0,0.05638218585781991,interior,dual_delayed_ramp_kill,shared
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_delayed_ramp_kill,shared
lambda,4.9998889799784,0.01,5.0,0.9999777514986774,poorly_identified_at_bound,dual_delayed_ramp_kill,shared
onset,3.574973355935444,0.0,7.0,0.5107104794193492,interior,dual_delayed_ramp_kill,shared
kill_sensitive,0.16450687128452302,0.0,4.0,0.041126717821130754,interior,dual_time_decay_kill,shared
kill_resistant,1.737233035230977e-10,0.0,4.0,4.3430825880774423e-11,poorly_identified_at_bound,dual_time_decay_kill,shared
lambda,2.996178256203958e-11,0.0,5.0,5.992356512407915e-12,poorly_identified_at_bound,dual_time_decay_kill,shared
kill_sensitive,0.5390882569507613,0.0,4.0,0.13477206423769034,interior,dual_transit_competitor_scaled,shared
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_competitor_scaled,shared
lambda,4.999999999713867,0.01,5.0,0.9999999999426588,poorly_identified_at_bound,dual_transit_competitor_scaled,shared
onset,3.414376313451771,0.0,7.0,0.48776804477882446,interior,dual_transit_competitor_scaled,shared
clearance,0.18339674378290008,0.01,4.0,0.04345783052203009,interior,dual_transit_competitor_scaled,shared
beta_sensitive,-2.6080042952326545,-3.0,3.0,0.06533261746122425,interior,dual_transit_competitor_scaled,shared
beta_resistant,-2.4724138399302364,-3.0,3.0,0.08793102667829393,interior,dual_transit_competitor_scaled,shared
kill_sensitive,0.3511924835311252,0.0,4.0,0.0877981208827813,interior,dual_transit_damage,shared
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_damage,shared
lambda,4.999910632437878,0.01,5.0,0.9999820906689134,poorly_identified_at_bound,dual_transit_damage,shared
onset,2.9471728095034604,0.0,7.0,0.4210246870719229,interior,dual_transit_damage,shared
clearance,0.2470330449237203,0.01,4.0,0.059406778176370995,interior,dual_transit_damage,shared
kill_sensitive,0.8627219383344765,0.0,4.0,0.21568048458361913,interior,dual_transit_load_scaled,shared
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_load_scaled,shared
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,dual_transit_load_scaled,shared
onset,3.9182518575163123,0.0,7.0,0.5597502653594731,interior,dual_transit_load_scaled,shared
clearance,0.24805370866870616,0.01,4.0,0.05966258362624214,interior,dual_transit_load_scaled,shared
beta_sensitive,-2.9999996709872905,-3.0,3.0,5.483545158687283e-8,poorly_identified_at_bound,dual_transit_load_scaled,shared
beta_resistant,-1.510087070887843,-3.0,3.0,0.2483188215186928,interior,dual_transit_load_scaled,shared
kill_sensitive,3.999966123050017,0.0,4.0,0.9999915307625042,poorly_identified_at_bound,sensitive_tolerant_transition,shared
kill_tolerant,0.3345787254641465,0.0,3.0,0.11152624182138217,interior,sensitive_tolerant_transition,shared
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,sensitive_tolerant_transition,shared
lambda,0.07537638711269959,0.01,5.0,0.013101480383306531,poorly_identified_at_bound,sensitive_tolerant_transition,shared
onset,4.388009482210419,0.0,7.0,0.6268584974586313,interior,sensitive_tolerant_transition,shared
transition,0.05138205697223929,0.0,1.5,0.03425470464815953,interior,sensitive_tolerant_transition,shared
kill_sensitive,0.16389681105127216,0.0,3.0,0.054632270350424054,interior,dual_constant_kill,partial_5pct
kill_resistant,2.8072868906517895e-13,0.0,3.0,9.357622968839299e-14,poorly_identified_at_bound,dual_constant_kill,partial_5pct
log_contrast_density,-0.04879016355992676,-0.04879016416943205,0.04879016416943205,6.246190158358419e-9,poorly_identified_at_bound,dual_constant_kill,partial_5pct
kill_sensitive,0.22305646994655096,0.0,4.0,0.05576411748663774,interior,dual_delayed_ramp_kill,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_delayed_ramp_kill,partial_5pct
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,dual_delayed_ramp_kill,partial_5pct
onset,3.5147133415867637,0.0,7.0,0.5021019059409663,interior,dual_delayed_ramp_kill,partial_5pct
log_contrast_density,-0.04879014776127383,-0.04879016416943205,0.04879016416943205,1.6815026655818443e-7,poorly_identified_at_bound,dual_delayed_ramp_kill,partial_5pct
kill_sensitive,0.163897013736822,0.0,4.0,0.0409742534342055,interior,dual_time_decay_kill,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_time_decay_kill,partial_5pct
lambda,4.678811484419649e-13,0.0,5.0,9.357622968839298e-14,poorly_identified_at_bound,dual_time_decay_kill,partial_5pct
log_contrast_density,-0.048790163585994334,-0.04879016416943205,0.04879016416943205,5.979050539584201e-9,poorly_identified_at_bound,dual_time_decay_kill,partial_5pct
kill_sensitive,0.49523048936138,0.0,4.0,0.123807622340345,interior,dual_transit_competitor_scaled,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_competitor_scaled,partial_5pct
lambda,6.74508353090654,0.01,7.5,0.8992100842331829,interior,dual_transit_competitor_scaled,partial_5pct
onset,3.465553594728888,0.0,7.0,0.4950790849612697,interior,dual_transit_competitor_scaled,partial_5pct
clearance,0.2056167211335618,0.01,4.0,0.04902674715126862,interior,dual_transit_competitor_scaled,partial_5pct
beta_sensitive,-2.1502661191567545,-3.0,3.0,0.14162231347387425,interior,dual_transit_competitor_scaled,partial_5pct
beta_resistant,2.9999999999994396,-3.0,3.0,0.9999999999999066,poorly_identified_at_bound,dual_transit_competitor_scaled,partial_5pct
log_contrast_density,-0.0487885698853435,-0.04879016416943205,0.04879016416943205,1.63381709786369e-5,poorly_identified_at_bound,dual_transit_competitor_scaled,partial_5pct
kill_sensitive,0.3430005616204018,0.0,4.0,0.08575014040510046,interior,dual_transit_damage,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_damage,partial_5pct
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,dual_transit_damage,partial_5pct
onset,2.8910527552790883,0.0,7.0,0.4130075364684412,interior,dual_transit_damage,partial_5pct
clearance,0.2499078233120245,0.01,4.0,0.06012727401303872,interior,dual_transit_damage,partial_5pct
log_contrast_density,-0.04879016017528814,-0.04879016416943205,0.04879016416943205,4.093185562539966e-8,poorly_identified_at_bound,dual_transit_damage,partial_5pct
kill_sensitive,0.7892525175195334,0.0,4.0,0.19731312937988335,interior,dual_transit_load_scaled,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_transit_load_scaled,partial_5pct
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,dual_transit_load_scaled,partial_5pct
onset,3.8621799204937632,0.0,7.0,0.5517399886419662,interior,dual_transit_load_scaled,partial_5pct
clearance,0.26278162632297625,0.01,4.0,0.06335379105839004,interior,dual_transit_load_scaled,partial_5pct
beta_sensitive,-2.7869778398060427,-3.0,3.0,0.03550369336565954,interior,dual_transit_load_scaled,partial_5pct
beta_resistant,2.899456673444498,-3.0,3.0,0.9832427789074164,poorly_identified_at_bound,dual_transit_load_scaled,partial_5pct
log_contrast_density,-0.0475944616839999,-0.04879016416943205,0.04879016416943205,0.012253519800423994,poorly_identified_at_bound,dual_transit_load_scaled,partial_5pct
kill_sensitive,3.999999999999626,0.0,4.0,0.9999999999999065,poorly_identified_at_bound,sensitive_tolerant_transition,partial_5pct
kill_tolerant,0.3502548950578468,0.0,3.0,0.11675163168594893,interior,sensitive_tolerant_transition,partial_5pct
kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,sensitive_tolerant_transition,partial_5pct
lambda,0.07881876588974257,0.01,5.0,0.01379133584964781,poorly_identified_at_bound,sensitive_tolerant_transition,partial_5pct
onset,4.370132503784227,0.0,7.0,0.6243046433977467,interior,sensitive_tolerant_transition,partial_5pct
transition,0.05607978468430146,0.0,1.5,0.037386523122867645,interior,sensitive_tolerant_transition,partial_5pct
log_contrast_density,-0.04876523278816003,-0.04879016416943205,0.04879016416943205,0.00025549597645789176,poorly_identified_at_bound,sensitive_tolerant_transition,partial_5pct
kill_sensitive_20k,0.18637075960338415,0.0,3.0,0.06212358653446138,interior,dual_constant_kill,independent_diagnostic
kill_resistant_20k,3.3375926313670684e-9,0.0,3.0,1.1125308771223562e-9,poorly_identified_at_bound,dual_constant_kill,independent_diagnostic
kill_sensitive_30k,0.139641995970819,0.0,3.0,0.046547331990273,interior,dual_constant_kill,independent_diagnostic
kill_resistant_30k,4.2394842697420305e-12,0.0,3.0,1.4131614232473434e-12,poorly_identified_at_bound,dual_constant_kill,independent_diagnostic
kill_sensitive_20k,0.2647683663414856,0.0,4.0,0.0661920915853714,interior,dual_delayed_ramp_kill,independent_diagnostic
kill_resistant_20k,3.7189828373777917e-11,0.0,4.0,9.297457093444479e-12,poorly_identified_at_bound,dual_delayed_ramp_kill,independent_diagnostic
lambda_20k,4.996815063893608,0.01,5.0,0.9993617362512242,poorly_identified_at_bound,dual_delayed_ramp_kill,independent_diagnostic
onset_20k,3.9560370148332407,0.0,7.0,0.5651481449761773,interior,dual_delayed_ramp_kill,independent_diagnostic
kill_sensitive_30k,0.17342283428007949,0.0,4.0,0.04335570857001987,interior,dual_delayed_ramp_kill,independent_diagnostic
kill_resistant_30k,1.2534264487514484e-10,0.0,4.0,3.133566121878621e-11,poorly_identified_at_bound,dual_delayed_ramp_kill,independent_diagnostic
lambda_30k,4.544213175360453,0.01,5.0,0.9086599549820548,interior,dual_delayed_ramp_kill,independent_diagnostic
onset_30k,2.50964400117782,0.0,7.0,0.3585205715968314,interior,dual_delayed_ramp_kill,independent_diagnostic
kill_sensitive_20k,0.18636886599720495,0.0,4.0,0.04659221649930124,interior,dual_time_decay_kill,independent_diagnostic
kill_resistant_20k,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_time_decay_kill,independent_diagnostic
lambda_20k,4.678811484419649e-13,0.0,5.0,9.357622968839298e-14,poorly_identified_at_bound,dual_time_decay_kill,independent_diagnostic
kill_sensitive_30k,0.13963882330195176,0.0,4.0,0.03490970582548794,interior,dual_time_decay_kill,independent_diagnostic
kill_resistant_30k,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14,poorly_identified_at_bound,dual_time_decay_kill,independent_diagnostic
lambda_30k,2.9692083196238445e-8,0.0,5.0,5.938416639247689e-9,poorly_identified_at_bound,dual_time_decay_kill,independent_diagnostic
kill_sensitive_20k,0.36281896542814945,0.0,4.0,0.09070474135703736,interior,dual_transit_competitor_scaled,independent_diagnostic
kill_resistant_20k,2.5471104288395856e-7,0.0,4.0,6.367776072098964e-8,poorly_identified_at_bound,dual_transit_competitor_scaled,independent_diagnostic
lambda_20k,2.8989992168321095,0.01,5.0,0.5789577588841903,interior,dual_transit_competitor_scaled,independent_diagnostic
onset_20k,3.1913967339292664,0.0,7.0,0.45591381913275236,interior,dual_transit_competitor_scaled,independent_diagnostic
clearance_20k,0.3765520196378234,0.01,4.0,0.09186767409469258,interior,dual_transit_competitor_scaled,independent_diagnostic
beta_sensitive_20k,0.19458445678275416,-3.0,3.0,0.5324307427971257,interior,dual_transit_competitor_scaled,independent_diagnostic
beta_resistant_20k,-0.25712362631374264,-3.0,3.0,0.4571460622810429,interior,dual_transit_competitor_scaled,independent_diagnostic
kill_sensitive_30k,0.28902580609370504,0.0,4.0,0.07225645152342626,interior,dual_transit_competitor_scaled,independent_diagnostic
kill_resistant_30k,3.4706096611598363e-7,0.0,4.0,8.676524152899591e-8,poorly_identified_at_bound,dual_transit_competitor_scaled,independent_diagnostic
lambda_30k,2.2878146000221564,0.01,5.0,0.45647587174792714,interior,dual_transit_competitor_scaled,independent_diagnostic
onset_30k,2.000152171881801,0.0,7.0,0.285736024554543,interior,dual_transit_competitor_scaled,independent_diagnostic
clearance_30k,0.2018268600495936,0.01,4.0,0.04807690728059989,interior,dual_transit_competitor_scaled,independent_diagnostic
beta_sensitive_30k,-0.28231906010918006,-3.0,3.0,0.45294682331513664,interior,dual_transit_competitor_scaled,independent_diagnostic
beta_resistant_30k,0.04741250902036631,-3.0,3.0,0.5079020848367277,interior,dual_transit_competitor_scaled,independent_diagnostic
kill_sensitive_20k,0.3790226503863337,0.0,4.0,0.09475566259658343,interior,dual_transit_damage,independent_diagnostic
kill_resistant_20k,3.589715035553129e-9,0.0,4.0,8.974287588882822e-10,poorly_identified_at_bound,dual_transit_damage,independent_diagnostic
lambda_20k,4.523216137643122,0.01,5.0,0.9044521317922088,interior,dual_transit_damage,independent_diagnostic
onset_20k,3.3407350519827297,0.0,7.0,0.4772478645689614,interior,dual_transit_damage,independent_diagnostic
clearance_20k,0.35039083276774213,0.01,4.0,0.08531098565607571,interior,dual_transit_damage,independent_diagnostic
kill_sensitive_30k,0.279004059451591,0.0,4.0,0.06975101486289775,interior,dual_transit_damage,independent_diagnostic
kill_resistant_30k,6.165146079611681e-7,0.0,4.0,1.5412865199029202e-7,poorly_identified_at_bound,dual_transit_damage,independent_diagnostic
lambda_30k,4.986832024206359,0.01,5.0,0.9973611270954628,poorly_identified_at_bound,dual_transit_damage,independent_diagnostic
onset_30k,2.115715657535732,0.0,7.0,0.302245093933676,interior,dual_transit_damage,independent_diagnostic
clearance_30k,0.19007763239935854,0.01,4.0,0.04513223869658108,interior,dual_transit_damage,independent_diagnostic
kill_sensitive_20k,0.41012517123173975,0.0,4.0,0.10253129280793494,interior,dual_transit_load_scaled,independent_diagnostic
kill_resistant_20k,7.365538051651086e-6,0.0,4.0,1.8413845129127716e-6,poorly_identified_at_bound,dual_transit_load_scaled,independent_diagnostic
lambda_20k,3.2797612923721293,0.01,5.0,0.6552627840425109,interior,dual_transit_load_scaled,independent_diagnostic
onset_20k,3.3855268224950072,0.0,7.0,0.48364668892785817,interior,dual_transit_load_scaled,independent_diagnostic
clearance_20k,0.3618741060289677,0.01,4.0,0.0881889990047538,interior,dual_transit_load_scaled,independent_diagnostic
beta_sensitive_20k,-0.2974397848185344,-3.0,3.0,0.45042670253024425,interior,dual_transit_load_scaled,independent_diagnostic
beta_resistant_20k,-0.3989946268904858,-3.0,3.0,0.4335008955182524,interior,dual_transit_load_scaled,independent_diagnostic
kill_sensitive_30k,0.25994697933183775,0.0,4.0,0.06498674483295944,interior,dual_transit_load_scaled,independent_diagnostic
kill_resistant_30k,0.00014250511022965943,0.0,4.0,3.562627755741486e-5,poorly_identified_at_bound,dual_transit_load_scaled,independent_diagnostic
lambda_30k,0.5154254702881166,0.01,5.0,0.10128766939641615,interior,dual_transit_load_scaled,independent_diagnostic
onset_30k,0.06961332704717842,0.0,7.0,0.009944761006739774,poorly_identified_at_bound,dual_transit_load_scaled,independent_diagnostic
clearance_30k,0.18656017221760626,0.01,4.0,0.04425066972872337,interior,dual_transit_load_scaled,independent_diagnostic
beta_sensitive_30k,0.0996924045949048,-3.0,3.0,0.5166154007658175,interior,dual_transit_load_scaled,independent_diagnostic
beta_resistant_30k,0.0721960062811795,-3.0,3.0,0.51203266771353,interior,dual_transit_load_scaled,independent_diagnostic
kill_sensitive_20k,3.034666096646443,0.0,4.0,0.7586665241616107,interior,sensitive_tolerant_transition,independent_diagnostic
kill_tolerant_20k,0.3195741565099086,0.0,3.0,0.10652471883663621,interior,sensitive_tolerant_transition,independent_diagnostic
kill_resistant_20k,0.0008745312109630217,0.0,4.0,0.00021863280274075542,poorly_identified_at_bound,sensitive_tolerant_transition,independent_diagnostic
lambda_20k,0.15633480062718044,0.01,5.0,0.02932561134813235,interior,sensitive_tolerant_transition,independent_diagnostic
onset_20k,4.749446346779541,0.0,7.0,0.6784923352542201,interior,sensitive_tolerant_transition,independent_diagnostic
transition_20k,0.06104768314883963,0.0,1.5,0.04069845543255975,interior,sensitive_tolerant_transition,independent_diagnostic
