stage,model,pooling_mode,density,parameter,effective_value,lower_bound,upper_bound,bound_position
coculture_treated,dual_constant_kill,shared,20k,kill_sensitive,0.18642329358457146,0.0,3.0,0.062141097861523824
coculture_treated,dual_constant_kill,shared,20k,kill_resistant,1.2398114932263886e-10,0.0,3.0,4.132704977421295e-11
coculture_treated,dual_constant_kill,shared,30k,kill_sensitive,0.18642329358457146,0.0,3.0,0.062141097861523824
coculture_treated,dual_constant_kill,shared,30k,kill_resistant,1.2398114932263886e-10,0.0,3.0,4.132704977421295e-11
coculture_treated,dual_delayed_ramp_kill,shared,20k,kill_sensitive,0.1883028018045106,0.0,4.0,0.04707570045112765
coculture_treated,dual_delayed_ramp_kill,shared,20k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_delayed_ramp_kill,shared,20k,lambda,4.99999832841296,0.01,5.0,0.9999996650126172
coculture_treated,dual_delayed_ramp_kill,shared,20k,onset,6.479323234007573e-10,0.0,7.0,9.256176048582247e-11
coculture_treated,dual_delayed_ramp_kill,shared,30k,kill_sensitive,0.1883028018045106,0.0,4.0,0.04707570045112765
coculture_treated,dual_delayed_ramp_kill,shared,30k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_delayed_ramp_kill,shared,30k,lambda,4.99999832841296,0.01,5.0,0.9999996650126172
coculture_treated,dual_delayed_ramp_kill,shared,30k,onset,6.479323234007573e-10,0.0,7.0,9.256176048582247e-11
coculture_treated,dual_time_decay_kill,shared,20k,kill_sensitive,0.29694984233816685,0.0,4.0,0.07423746058454171
coculture_treated,dual_time_decay_kill,shared,20k,kill_resistant,1.1672270610403515e-9,0.0,4.0,2.918067652600879e-10
coculture_treated,dual_time_decay_kill,shared,20k,lambda,0.07443883655147043,0.0,5.0,0.014887767310294087
coculture_treated,dual_time_decay_kill,shared,30k,kill_sensitive,0.29694984233816685,0.0,4.0,0.07423746058454171
coculture_treated,dual_time_decay_kill,shared,30k,kill_resistant,1.1672270610403515e-9,0.0,4.0,2.918067652600879e-10
coculture_treated,dual_time_decay_kill,shared,30k,lambda,0.07443883655147043,0.0,5.0,0.014887767310294087
coculture_treated,dual_transit_competitor_scaled,shared,20k,kill_sensitive,0.2875656522259264,0.0,4.0,0.0718914130564816
coculture_treated,dual_transit_competitor_scaled,shared,20k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,shared,20k,lambda,4.999999999999534,0.01,5.0,0.9999999999999065
coculture_treated,dual_transit_competitor_scaled,shared,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,shared,20k,clearance,0.7693778804559508,0.01,4.0,0.19032027079096508
coculture_treated,dual_transit_competitor_scaled,shared,20k,beta_sensitive,-2.3407841805622245,-3.0,3.0,0.10986930323962925
coculture_treated,dual_transit_competitor_scaled,shared,20k,beta_resistant,1.1234267277512293,-3.0,3.0,0.6872377879585382
coculture_treated,dual_transit_competitor_scaled,shared,30k,kill_sensitive,0.2875656522259264,0.0,4.0,0.0718914130564816
coculture_treated,dual_transit_competitor_scaled,shared,30k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,shared,30k,lambda,4.999999999999534,0.01,5.0,0.9999999999999065
coculture_treated,dual_transit_competitor_scaled,shared,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,shared,30k,clearance,0.7693778804559508,0.01,4.0,0.19032027079096508
coculture_treated,dual_transit_competitor_scaled,shared,30k,beta_sensitive,-2.3407841805622245,-3.0,3.0,0.10986930323962925
coculture_treated,dual_transit_competitor_scaled,shared,30k,beta_resistant,1.1234267277512293,-3.0,3.0,0.6872377879585382
coculture_treated,dual_transit_damage,shared,20k,kill_sensitive,0.21112623263013738,0.0,4.0,0.052781558157534346
coculture_treated,dual_transit_damage,shared,20k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_damage,shared,20k,lambda,4.999999956244995,0.01,5.0,0.9999999912314619
coculture_treated,dual_transit_damage,shared,20k,onset,4.5250403115684416e-7,0.0,7.0,6.464343302240631e-8
coculture_treated,dual_transit_damage,shared,20k,clearance,1.2418720232704794,0.01,4.0,0.3087398554562605
coculture_treated,dual_transit_damage,shared,30k,kill_sensitive,0.21112623263013738,0.0,4.0,0.052781558157534346
coculture_treated,dual_transit_damage,shared,30k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_damage,shared,30k,lambda,4.999999956244995,0.01,5.0,0.9999999912314619
