cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,untreated_interaction_model,untreated_interaction_pooling,treatment_interaction_mode,parameter_scope,initial_condition_strategy,residual_scaling,boundary_issue,params
A2780Naive+A2780cis,dual_transit_load_scaled,shared,true,-617.7818828967949,2.5994323121657025e7,3.4321688110348867,7,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant], values = [0.8627219383344765, 3.7430491875357195e-13, 4.999999999999534, 3.9182518575163123, 0.24805370866870616, -2.9999996709872905, -1.510087070887843], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_load_scaled,partial_5pct,true,-614.8333810326911,2.6312335756796334e7,3.388011558971095,8,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.7892525175195334, 3.7430491875357195e-13, 4.999999999999534, 3.8621799204937632, 0.26278162632297625, -2.7869778398060427, 2.899456673444498, -0.0475944616839999], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,partial_5pct,true,-596.7503261768069,2.77469196923892e7,3.773037650297034,8,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.49523048936138, 3.7430491875357195e-13, 6.74508353090654, 3.465553594728888, 0.2056167211335618, -2.1502661191567545, 2.9999999999994396, -0.0487885698853435], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,partial_5pct,true,-595.0311915238835,2.8503647564569272e7,4.051604337334648,6,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :log_contrast_density], values = [0.3430005616204018, 3.7430491875357195e-13, 4.999999999999534, 2.8910527552790883, 0.2499078233120245, -0.04879016017528814], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,shared,true,-592.776671304894,2.824088104148455e7,3.9829904757459373,7,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant], values = [0.5390882569507613, 3.7430491875357195e-13, 4.999999999713867, 3.414376313451771, 0.18339674378290008, -2.6080042952326545, -2.4724138399302364], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,independent_diagnostic,false,-590.133853175677,2.7805124219698723e7,3.6923555561574926,10,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k], values = [0.3790226503863337, 3.589715035553129e-9, 4.523216137643122, 3.3407350519827297, 0.35039083276774213, 0.279004059451591, 6.165146079611681e-7, 4.986832024206359, 2.115715657535732, 0.19007763239935854], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,shared,true,-586.4056365542139,2.9464088104785006e7,4.3971443112574775,5,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance], values = [0.3511924835311252, 3.7430491875357195e-13, 4.999910632437878, 2.9471728095034604, 0.2470330449237203], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,independent_diagnostic,false,-570.552614126944,2.7867281813159373e7,3.67230844516803,14,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :beta_sensitive_20k, :beta_resistant_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k, :beta_sensitive_30k, :beta_resistant_30k], values = [0.36281896542814945, 2.5471104288395856e-7, 2.8989992168321095, 3.1913967339292664, 0.3765520196378234, 0.19458445678275416, -0.25712362631374264, 0.28902580609370504, 3.4706096611598363e-7, 2.2878146000221564, 2.000152171881801, 0.2018268600495936, -0.28231906010918006, 0.04741250902036631], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_load_scaled,independent_diagnostic,false,-568.1817388274666,2.7914853458786447e7,3.724500770219824,14,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :beta_sensitive_20k, :beta_resistant_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k, :beta_sensitive_30k, :beta_resistant_30k], values = [0.41012517123173975, 7.365538051651086e-6, 3.2797612923721293, 3.3855268224950072, 0.3618741060289677, -0.2974397848185344, -0.3989946268904858, 0.25994697933183775, 0.00014250511022965943, 0.5154254702881166, 0.06961332704717842, 0.18656017221760626, 0.0996924045949048, 0.0721960062811795], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_delayed_ramp_kill,partial_5pct,true,-552.2293054088807,3.955517968222153e7,5.389140189281318,5,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :log_contrast_density], values = [0.22305646994655096, 3.7430491875357195e-13, 4.999999999999534, 3.5147133415867637, -0.04879014776127383], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
