time,count,source_file,component,density,mix,replicate
1.0,87.19,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
1.0,103.33,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
1.0,36.64,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
1.0,93.09,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
1.0,100.0,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
1.0,111.27,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
2.0,102.11,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
2.0,215.7,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
2.0,44.89,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
2.0,157.62,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
2.0,158.26,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
2.0,181.43,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
3.0,208.65,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
3.0,339.4,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
3.0,72.85,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
3.0,283.35,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
3.0,274.84,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
3.0,306.67,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
4.0,471.08,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
4.0,653.1,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
4.0,225.69,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
4.0,566.29,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
4.0,466.64,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
4.0,583.05,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
5.0,668.41,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
5.0,1220.63,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
5.0,385.35,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
5.0,1123.51,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
5.0,884.22,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
5.0,1138.11,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
6.0,1150.47,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
6.0,1713.55,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
6.0,817.22,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
6.0,1654.23,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
6.0,1141.51,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
6.0,1683.6,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
7.0,2023.8,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
7.0,3043.39,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
7.0,1861.08,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
7.0,2794.42,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
7.0,2011.39,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
7.0,2896.18,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
8.0,1868.99,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
8.0,2499.77,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
