cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,untreated_interaction_model,untreated_interaction_pooling,treatment_interaction_mode,parameter_scope,initial_condition_strategy,residual_scaling,boundary_issue,params
A2780Naive+A2780cis,dual_transit_load_scaled,independent_diagnostic,false,-611.2527283702277,1.5559773031407777e7,2.8822115065023413,14,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :beta_sensitive_20k, :beta_resistant_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k, :beta_sensitive_30k, :beta_resistant_30k], values = [0.4529010854189419, 5.459291342575151e-8, 3.8381846915446403, 0.1267949757692095, 0.5521782747586701, -2.172782323606392, 1.7991386775936826, 0.4129797787514381, 0.00683781341362993, 1.5498724115771862, 6.550336078187509e-13, 0.21844092372567528, -2.774307567729225, 2.6669686004991355], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_time_decay_kill,independent_diagnostic,false,-596.267165421476,2.3789128376069e7,4.021906113610037,6,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k], values = [0.37862089270935184, 2.432368786124109e-7, 0.0830673436539149, 0.3775682219875729, 1.8401103342380715e-6, 0.16866800330582432], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_load_scaled,partial_5pct,true,-591.031803944551,1.849858598073274e7,3.903678222423163,8,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.5963414152152218, 2.4046172016246923e-8, 0.44645416399067145, 6.550336078187509e-13, 0.4860456636209255, -2.9999999999994387, -2.9999999999994387, -0.048790162557163966], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_constant_kill,independent_diagnostic,false,-580.4627520517502,2.794492381914259e7,4.696555690039906,4,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :kill_sensitive_30k, :kill_resistant_30k], values = [0.22295598580418358, 8.386692136425827e-9, 0.147746648028447, 5.385886197712768e-12], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,independent_diagnostic,false,-578.3899124530825,2.031747150161656e7,3.959703012265715,10,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k], values = [0.2593943250095177, 1.8548612327661385e-9, 4.999999999469787, 1.613388953722495e-7, 1.0472022975544149, 0.21984792369021558, 7.677996177939624e-7, 4.999954607166505, 1.7086913688263228e-5, 0.22530015673595344], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,sensitive_tolerant_transition,independent_diagnostic,false,-572.7985723045148,2.4018119149582054e7,3.8514559319889616,12,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_tolerant_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :transition_20k, :kill_sensitive_30k, :kill_tolerant_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :transition_30k], values = [0.6059305159593563, 0.11136255586921133, 3.4306546310579125e-5, 1.346285877731868, 2.0904893759179153, 0.05127302542903423, 0.5994743002017389, 0.0005646156784746751, 0.00010716608717141959, 0.791866222600665, 2.514890552071128, 0.04151091260139073], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_time_decay_kill,partial_5pct,true,-572.0712285389752,2.5390259001159668e7,4.9371041401977,4,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :log_contrast_density], values = [0.31397156860104336, 3.7430491875357195e-13, 0.08401853006172758, -0.04879016333679465], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,independent_diagnostic,false,-565.9731217283659,2.019816083592192e7,3.77378830279545,14,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :clearance_20k, :beta_sensitive_20k, :beta_resistant_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k, :clearance_30k, :beta_sensitive_30k, :beta_resistant_30k], values = [0.2862182526109183, 3.696726779403434e-6, 5.182524650888043, 1.3894817791855666e-6, 0.874435684445995, -0.6728570400385308, -0.07489730234004499, 0.3028783863920542, 6.764426139730385e-8, 4.999375196384347, 6.550336078187509e-13, 0.18037136002066673, -2.9521265156004435, -1.3627926717711003], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_load_scaled,shared,true,-563.8585796883903,2.1528650722096324e7,4.731131590047077,7,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited total competitive load,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant], values = [0.6188113850329487, 3.7430491875357195e-13, 0.37665022061900055, 6.550336078187509e-13, 0.6301601263411168, -2.9999998181750747, -2.256039769073672], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_constant_kill,partial_5pct,true,-563.8534993151999,2.849742276888401e7,5.345172373118104,3,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :log_contrast_density], values = [0.18614270635760247, 2.8072868906517895e-13, -0.048790161335041035], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
