condition,row_index,time,count,z_score
cell_line= | treatment_amount=0.0 | density= | replicate=1,1694,11.0,4374.83,3.2901064942041542
cell_line= | treatment_amount=0.0 | density= | replicate=1,1782,11.0,4374.83,3.2901064942041542
cell_line= | treatment_amount=0.0 | density= | replicate=1,2030,13.0,4202.84,3.115041518178743
cell_line= | treatment_amount=0.0 | density= | replicate=1,2032,13.0,4128.95,3.0398304531254396
cell_line= | treatment_amount=0.0 | density= | replicate=1,2034,13.0,4381.75,3.297150215548976
cell_line= | treatment_amount=0.0 | density= | replicate=1,2066,13.0,4139.24,3.0503044260500367
cell_line= | treatment_amount=0.0 | density= | replicate=1,2070,13.0,4335.36,3.249930817689688
cell_line= | treatment_amount=0.0 | density= | replicate=1,2118,13.0,4202.84,3.115041518178743
cell_line= | treatment_amount=0.0 | density= | replicate=1,2120,13.0,4128.95,3.0398304531254396
cell_line= | treatment_amount=0.0 | density= | replicate=1,2122,13.0,4381.75,3.297150215548976
cell_line= | treatment_amount=0.0 | density= | replicate=1,2124,13.0,4139.24,3.0503044260500367
cell_line= | treatment_amount=0.0 | density= | replicate=1,2128,13.0,4335.36,3.249930817689688
