time,observed,predicted,fixed_day0_anchor,model,pooling_mode,density,mix,component
0.0,16.75,16.75,true,dual_constant_kill,shared,20k,25-75,sensitive
1.0,99.62333333333333,24.92214956765817,false,dual_constant_kill,shared,20k,25-75,sensitive
2.0,151.64666666666665,60.531256123140416,false,dual_constant_kill,shared,20k,25-75,sensitive
3.0,256.715,147.63288141519033,false,dual_constant_kill,shared,20k,25-75,sensitive
4.0,308.39166666666665,305.2888713483901,false,dual_constant_kill,shared,20k,25-75,sensitive
5.0,458.41,520.8787464377483,false,dual_constant_kill,shared,20k,25-75,sensitive
6.0,443.1983333333333,742.8312921741687,false,dual_constant_kill,shared,20k,25-75,sensitive
7.0,684.745,913.294120420952,false,dual_constant_kill,shared,20k,25-75,sensitive
8.0,381.4466666666667,1007.064980953839,false,dual_constant_kill,shared,20k,25-75,sensitive
9.0,434.4266666666667,1036.026518004725,false,dual_constant_kill,shared,20k,25-75,sensitive
10.0,381.8066666666667,1026.058306451313,false,dual_constant_kill,shared,20k,25-75,sensitive
11.0,827.9266666666667,998.165294072493,false,dual_constant_kill,shared,20k,25-75,sensitive
12.0,564.2466666666667,964.2719729406084,false,dual_constant_kill,shared,20k,25-75,sensitive
13.0,1105.2716666666665,929.9036895942332,false,dual_constant_kill,shared,20k,25-75,sensitive
14.0,404.80333333333334,897.2518712545549,false,dual_constant_kill,shared,20k,25-75,sensitive
0.0,50.25,50.25,true,dual_constant_kill,shared,20k,25-75,resistant
1.0,88.58666666666666,56.96957054968547,false,dual_constant_kill,shared,20k,25-75,resistant
2.0,143.335,80.04908085928504,false,dual_constant_kill,shared,20k,25-75,resistant
3.0,247.62666666666667,131.79564902251616,false,dual_constant_kill,shared,20k,25-75,resistant
4.0,494.3083333333334,238.4948582961903,false,dual_constant_kill,shared,20k,25-75,resistant
5.0,903.3716666666666,440.43550432875395,false,dual_constant_kill,shared,20k,25-75,resistant
6.0,1360.0966666666666,769.8004020509478,false,dual_constant_kill,shared,20k,25-75,resistant
7.0,2438.3766666666666,1201.7587154003402,false,dual_constant_kill,shared,20k,25-75,resistant
8.0,1945.3233333333335,1640.090418931641,false,dual_constant_kill,shared,20k,25-75,resistant
9.0,3250.286666666667,1991.2844995567514,false,dual_constant_kill,shared,20k,25-75,resistant
10.0,3135.64,2231.2886259204975,false,dual_constant_kill,shared,20k,25-75,resistant
11.0,3987.5866666666666,2386.2474201239165,false,dual_constant_kill,shared,20k,25-75,resistant
12.0,2308.2483333333334,2489.5691035952827,false,dual_constant_kill,shared,20k,25-75,resistant
13.0,3826.773333333333,2564.2331993095177,false,dual_constant_kill,shared,20k,25-75,resistant
14.0,2159.3716666666664,2622.892632363867,false,dual_constant_kill,shared,20k,25-75,resistant
0.0,33.5,33.5,true,dual_constant_kill,shared,20k,50-50,sensitive
1.0,154.28,48.91685979813407,false,dual_constant_kill,shared,20k,50-50,sensitive
2.0,285.20666666666665,112.89409170057426,false,dual_constant_kill,shared,20k,50-50,sensitive
3.0,425.075,253.86870124141683,false,dual_constant_kill,shared,20k,50-50,sensitive
4.0,562.615,478.7966129876696,false,dual_constant_kill,shared,20k,50-50,sensitive
5.0,850.4516666666667,751.9491051134047,false,dual_constant_kill,shared,20k,50-50,sensitive
6.0,932.2550000000001,1010.0093500749813,false,dual_constant_kill,shared,20k,50-50,sensitive
7.0,1392.045,1201.1532199462572,false,dual_constant_kill,shared,20k,50-50,sensitive
8.0,999.73,1307.5424993318209,false,dual_constant_kill,shared,20k,50-50,sensitive
9.0,1287.6316666666664,1340.5671949594428,false,dual_constant_kill,shared,20k,50-50,sensitive
10.0,1285.185,1324.1164490731612,false,dual_constant_kill,shared,20k,50-50,sensitive
11.0,1589.9216666666669,1280.805735210683,false,dual_constant_kill,shared,20k,50-50,sensitive
12.0,1183.66,1226.3091107568232,false,dual_constant_kill,shared,20k,50-50,sensitive
13.0,1283.0133333333333,1169.545949807531,false,dual_constant_kill,shared,20k,50-50,sensitive
14.0,1010.3066666666667,1114.8650792682045,false,dual_constant_kill,shared,20k,50-50,sensitive
0.0,33.5,33.5,true,dual_constant_kill,shared,20k,50-50,resistant
1.0,51.281666666666666,37.96927269078069,false,dual_constant_kill,shared,20k,50-50,resistant
