time,observed,pred_theta_logistic_hill_kill,pred_pkpd_inhibition,pred_lotka_volterra_hill_competition
1.0,88.59,NaN,NaN,NaN
1.0,51.28,NaN,NaN,NaN
1.0,26.93,NaN,NaN,NaN
1.0,99.62,NaN,NaN,NaN
1.0,154.28,NaN,NaN,NaN
1.0,216.95,NaN,NaN,NaN
1.0,87.41,NaN,NaN,NaN
1.0,53.36,NaN,NaN,NaN
1.0,28.45,NaN,NaN,NaN
1.0,92.29,NaN,NaN,NaN
1.0,165.46,NaN,NaN,NaN
1.0,218.08,NaN,NaN,NaN
1.0,87.19,NaN,NaN,NaN
1.0,103.33,NaN,NaN,NaN
1.0,36.64,NaN,NaN,NaN
1.0,93.09,NaN,NaN,NaN
1.0,100.0,NaN,NaN,NaN
1.0,111.27,NaN,NaN,NaN
1.0,48.04,NaN,NaN,NaN
1.0,47.14,NaN,NaN,NaN
1.0,64.3,NaN,NaN,NaN
1.0,31.31,NaN,NaN,NaN
1.0,49.51,NaN,NaN,NaN
1.0,67.39,NaN,NaN,NaN
1.0,17.5,NaN,NaN,NaN
1.0,39.47,NaN,NaN,NaN
1.0,25.25,NaN,NaN,NaN
1.0,30.24,NaN,NaN,NaN
1.0,20.94,NaN,NaN,NaN
1.0,28.19,NaN,NaN,NaN
1.0,80.19,NaN,NaN,NaN
1.0,126.76,NaN,NaN,NaN
1.0,58.52,NaN,NaN,NaN
1.0,108.82,NaN,NaN,NaN
1.0,99.5,NaN,NaN,NaN
1.0,123.95,NaN,NaN,NaN
1.0,170.53,NaN,NaN,NaN
1.0,124.7,NaN,NaN,NaN
1.0,164.33,NaN,NaN,NaN
1.0,119.77,NaN,NaN,NaN
1.0,151.92,NaN,NaN,NaN
1.0,194.43,NaN,NaN,NaN
1.0,129.99,NaN,NaN,NaN
1.0,281.32,NaN,NaN,NaN
1.0,138.1,NaN,NaN,NaN
1.0,217.32,NaN,NaN,NaN
1.0,207.68,NaN,NaN,NaN
1.0,327.28,NaN,NaN,NaN
1.0,101.35,NaN,NaN,NaN
1.0,125.25,NaN,NaN,NaN
1.0,41.27,NaN,NaN,NaN
1.0,91.5,NaN,NaN,NaN
1.0,60.37,NaN,NaN,NaN
1.0,104.74,NaN,NaN,NaN
1.0,57.84,NaN,NaN,NaN
1.0,77.8,NaN,NaN,NaN
1.0,40.79,NaN,NaN,NaN
1.0,44.62,NaN,NaN,NaN
1.0,50.18,NaN,NaN,NaN
1.0,48.94,NaN,NaN,NaN
1.0,22.75,NaN,NaN,NaN
1.0,40.76,NaN,NaN,NaN
1.0,21.93,NaN,NaN,NaN
1.0,21.05,NaN,NaN,NaN
1.0,30.99,NaN,NaN,NaN
1.0,33.22,NaN,NaN,NaN
1.0,98.9,NaN,NaN,NaN
1.0,155.41,NaN,NaN,NaN
1.0,49.23,NaN,NaN,NaN
1.0,103.53,NaN,NaN,NaN
1.0,47.83,NaN,NaN,NaN
1.0,98.82,NaN,NaN,NaN
1.0,157.72,NaN,NaN,NaN
1.0,263.04,NaN,NaN,NaN
1.0,160.06,NaN,NaN,NaN
1.0,101.37,NaN,NaN,NaN
1.0,162.0,NaN,NaN,NaN
1.0,148.56,NaN,NaN,NaN
1.0,187.61,NaN,NaN,NaN
1.0,328.17,NaN,NaN,NaN
1.0,154.67,NaN,NaN,NaN
1.0,200.81,NaN,NaN,NaN
1.0,186.85,NaN,NaN,NaN
1.0,250.39,NaN,NaN,NaN
1.0,99.62,NaN,NaN,NaN
1.0,92.29,NaN,NaN,NaN
1.0,80.19,NaN,NaN,NaN
1.0,126.76,NaN,NaN,NaN
1.0,58.52,NaN,NaN,NaN
1.0,108.82,NaN,NaN,NaN
1.0,99.5,NaN,NaN,NaN
1.0,123.95,NaN,NaN,NaN
1.0,98.9,NaN,NaN,NaN
1.0,155.41,NaN,NaN,NaN
1.0,49.23,NaN,NaN,NaN
1.0,103.53,NaN,NaN,NaN
1.0,47.83,NaN,NaN,NaN
1.0,98.82,NaN,NaN,NaN
1.0,88.59,NaN,NaN,NaN
1.0,87.41,NaN,NaN,NaN
1.0,87.19,NaN,NaN,NaN
1.0,103.33,NaN,NaN,NaN
1.0,36.64,NaN,NaN,NaN
1.0,93.09,NaN,NaN,NaN
1.0,100.0,NaN,NaN,NaN
1.0,111.27,NaN,NaN,NaN
1.0,101.35,NaN,NaN,NaN
1.0,125.25,NaN,NaN,NaN
1.0,41.27,NaN,NaN,NaN
1.0,91.5,NaN,NaN,NaN
1.0,60.37,NaN,NaN,NaN
1.0,104.74,NaN,NaN,NaN
1.0,154.28,NaN,NaN,NaN
1.0,165.46,NaN,NaN,NaN
1.0,170.53,NaN,NaN,NaN
1.0,124.7,NaN,NaN,NaN
1.0,164.33,NaN,NaN,NaN
1.0,119.77,NaN,NaN,NaN
1.0,151.92,NaN,NaN,NaN
1.0,194.43,NaN,NaN,NaN
1.0,157.72,NaN,NaN,NaN
1.0,263.04,NaN,NaN,NaN
1.0,160.06,NaN,NaN,NaN
1.0,101.37,NaN,NaN,NaN
1.0,162.0,NaN,NaN,NaN
1.0,148.56,NaN,NaN,NaN
1.0,51.28,NaN,NaN,NaN
1.0,53.36,NaN,NaN,NaN
1.0,48.04,NaN,NaN,NaN
1.0,47.14,NaN,NaN,NaN
1.0,64.3,NaN,NaN,NaN
1.0,31.31,NaN,NaN,NaN
1.0,49.51,NaN,NaN,NaN
1.0,67.39,NaN,NaN,NaN
1.0,57.84,NaN,NaN,NaN
1.0,77.8,NaN,NaN,NaN
1.0,40.79,NaN,NaN,NaN
1.0,44.62,NaN,NaN,NaN
1.0,50.18,NaN,NaN,NaN
1.0,48.94,NaN,NaN,NaN
1.0,216.95,NaN,NaN,NaN
1.0,218.08,NaN,NaN,NaN
1.0,129.99,NaN,NaN,NaN
1.0,281.32,NaN,NaN,NaN
1.0,138.1,NaN,NaN,NaN
1.0,217.32,NaN,NaN,NaN
1.0,207.68,NaN,NaN,NaN
1.0,327.28,NaN,NaN,NaN
1.0,187.61,NaN,NaN,NaN
1.0,328.17,NaN,NaN,NaN
1.0,154.67,NaN,NaN,NaN
1.0,200.81,NaN,NaN,NaN
1.0,186.85,NaN,NaN,NaN
1.0,250.39,NaN,NaN,NaN
1.0,26.93,NaN,NaN,NaN
1.0,28.45,NaN,NaN,NaN
1.0,17.5,NaN,NaN,NaN
1.0,39.47,NaN,NaN,NaN
1.0,25.25,NaN,NaN,NaN
1.0,30.24,NaN,NaN,NaN
1.0,20.94,NaN,NaN,NaN
1.0,28.19,NaN,NaN,NaN
1.0,22.75,NaN,NaN,NaN
1.0,40.76,NaN,NaN,NaN
1.0,21.93,NaN,NaN,NaN
1.0,21.05,NaN,NaN,NaN
1.0,30.99,NaN,NaN,NaN
1.0,33.22,NaN,NaN,NaN
2.0,143.34,NaN,NaN,NaN
2.0,89.81,NaN,NaN,NaN
2.0,42.1,NaN,NaN,NaN
2.0,151.65,NaN,NaN,NaN
2.0,285.21,NaN,NaN,NaN
2.0,395.04,NaN,NaN,NaN
2.0,146.07,NaN,NaN,NaN
2.0,85.84,NaN,NaN,NaN
2.0,45.68,NaN,NaN,NaN
2.0,166.94,NaN,NaN,NaN
2.0,282.02,NaN,NaN,NaN
2.0,356.53,NaN,NaN,NaN
2.0,102.11,NaN,NaN,NaN
2.0,215.7,NaN,NaN,NaN
2.0,44.89,NaN,NaN,NaN
2.0,157.62,NaN,NaN,NaN
2.0,158.26,NaN,NaN,NaN
2.0,181.43,NaN,NaN,NaN
2.0,76.37,NaN,NaN,NaN
2.0,101.03,NaN,NaN,NaN
2.0,107.36,NaN,NaN,NaN
2.0,76.32,NaN,NaN,NaN
2.0,73.06,NaN,NaN,NaN
2.0,104.74,NaN,NaN,NaN
2.0,25.81,NaN,NaN,NaN
2.0,63.15,NaN,NaN,NaN
2.0,38.09,NaN,NaN,NaN
2.0,35.38,NaN,NaN,NaN
2.0,40.78,NaN,NaN,NaN
2.0,49.42,NaN,NaN,NaN
2.0,92.46,NaN,NaN,NaN
2.0,211.48,NaN,NaN,NaN
2.0,80.04,NaN,NaN,NaN
2.0,174.55,NaN,NaN,NaN
2.0,166.78,NaN,NaN,NaN
2.0,184.57,NaN,NaN,NaN
2.0,313.38,NaN,NaN,NaN
2.0,288.5,NaN,NaN,NaN
2.0,264.4,NaN,NaN,NaN
2.0,209.58,NaN,NaN,NaN
2.0,266.82,NaN,NaN,NaN
2.0,368.56,NaN,NaN,NaN
2.0,211.67,NaN,NaN,NaN
