time,observed,predicted,fixed_day0_anchor,model,pooling_mode,context,cell_line,density,dose,mix,component
0.0,67.0,67.0,true,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
1.0,305.18962200000004,160.1656988083893,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
2.0,465.63738433333333,370.94006292527445,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
3.0,790.214892,801.7997421219225,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
4.0,880.948534,1458.0229056334283,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
5.0,1277.0010803333332,2169.9622482808845,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
6.0,1612.01223,2742.2899196013127,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
7.0,2016.4244216666668,3102.4223829126386,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
8.0,2081.411111,3295.5244206359444,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
9.0,2395.0547066666663,3390.323396457855,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
10.0,2537.1984183333334,3434.8814457975313,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
11.0,3073.8874999999994,3455.4123268705057,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
12.0,3042.368325666667,3464.792914568838,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
13.0,3537.7463733333334,3469.0657693394237,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
14.0,3458.3808643333336,3471.010832234444,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,0.67,,total
0.0,67.0,67.0,true,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
1.0,164.83707566666666,160.1656988083893,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
2.0,310.328588,370.94006292527445,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
3.0,498.45925933333325,800.2273683983464,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
4.0,690.7097223333334,1301.4431506329527,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
5.0,804.9089893333334,1646.3865529573234,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
6.0,1188.2886573333333,1836.6467157361321,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
7.0,1563.5381556666664,1930.5292685086326,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
8.0,1634.130247,1974.7348378928464,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
9.0,1556.192554,1995.3052015223773,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
10.0,1522.992284,2004.9525415683597,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
11.0,1608.247685333333,2009.569622793204,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
12.0,1500.9281636666667,2011.844408669963,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
13.0,2011.2254243333334,2013.0052662847227,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
14.0,2445.406712666667,2013.620825884055,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.0,,total
0.0,67.0,67.0,true,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
1.0,470.381366,160.1656988083893,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
2.0,658.348264,370.94006292527445,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
3.0,910.885918,798.1764538723518,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
4.0,928.761304,1120.4091566811937,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
5.0,914.7665896666667,1125.3701252143105,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
6.0,867.7298226666667,1007.3382999894266,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
7.0,681.9129633333333,876.5664343329103,false,strict_inheritance,linked_global,monoculture,A2780Naive,20k,1.47,,total
