density,mix,lineage,endpoint_day,n_wells,observed_mean,ci95_lower,ci95_upper,model_prediction,model_within_observed_ci95,bootstrap_method,n_bootstrap,seed
20k,25-75,A2780Naive,14.0,6,404.80333333333334,278.60499999999996,568.3283333333333,851.9990988023354,false,nonparametric well-resampling within condition,5000,4040
20k,25-75,A2780cis,14.0,6,2159.3716666666664,1903.485,2408.665,2680.9869163888793,false,nonparametric well-resampling within condition,5000,4040
20k,50-50,A2780Naive,14.0,6,1010.3066666666667,875.2133333333333,1134.9133333333332,1101.264438736746,true,nonparametric well-resampling within condition,5000,4040
20k,50-50,A2780cis,14.0,6,1923.26,1732.8483333333334,2113.6716666666666,2295.1241313346395,false,nonparametric well-resampling within condition,5000,4040
20k,75-25,A2780Naive,14.0,6,1454.5266666666666,1163.115,1738.7416666666668,1328.8285210379959,true,nonparametric well-resampling within condition,5000,4040
20k,75-25,A2780cis,14.0,6,1507.9783333333335,1236.7766666666666,1785.6366666666663,1866.3510377415666,false,nonparametric well-resampling within condition,5000,4040
30k,25-75,A2780Naive,14.0,6,921.545,701.2583333333333,1138.7250000000001,533.6556521830273,false,nonparametric well-resampling within condition,5000,4040
30k,25-75,A2780cis,14.0,6,3231.2383333333332,2960.703333333333,3490.0466666666666,2983.436914849491,true,nonparametric well-resampling within condition,5000,4040
30k,50-50,A2780Naive,14.0,6,1370.07,1185.015,1630.115,810.5733097200692,false,nonparametric well-resampling within condition,5000,4040
30k,50-50,A2780cis,14.0,6,2315.278333333333,2175.013333333333,2477.701666666667,2519.1183275529656,false,nonparametric well-resampling within condition,5000,4040
30k,75-25,A2780Naive,14.0,6,1647.07,1361.03,1907.2300000000002,1082.0199122085796,false,nonparametric well-resampling within condition,5000,4040
30k,75-25,A2780cis,14.0,6,1738.6666666666667,1658.6666666666667,1840.591666666667,2000.5979829573664,false,nonparametric well-resampling within condition,5000,4040
