parameter,estimate,lower_bound,upper_bound,bound_position,identifiability
naive_emax,4.999989257539974,4.749998181075463,5.0,0.9999570304725277,poorly_identified_at_bound
naive_ec50_effect,1.2523136898886182,1.161187498049342,1.2834177610019044,0.7455288865298633,interior
naive_hill_n,2.232057612521176,2.2306458519929193,2.4654506785184895,0.006012485131361328,poorly_identified_at_bound
naive_lambda,0.5417180299402324,0.49012584260843045,0.5417180365672126,0.9999998715507197,poorly_identified_at_bound
naive_log_contrast_density,-0.0487901624540802,-0.04879016416943205,-0.04635065565196693,7.031546864442035e-7,poorly_identified_at_bound
cis_emax_sensitive,4.749824790198794,4.749824790198771,5.0,9.23058640804217e-14,poorly_identified_at_bound
cis_emax_tolerant,0.3188421377643444,0.3033452035932294,0.33527627765567464,0.485324550649589,interior
cis_f_tolerant0,0.5743665873794508,0.5499170208772277,0.6078030230748306,0.42237441823604743,interior
cis_log_contrast_density,0.023554025831355328,0.022292170932998245,0.024638715241734905,0.5377502967486876,interior
naive_t_onset,2.418362177230118,2.316354942314748,2.560181778347879,0.41835934294578264,interior
cis_t_onset,6.906900257133545,6.562969048095884,7.0,0.7869721985117404,interior
beta_naive,-2.2244142157462017,-3.0,3.0,0.12926429737563305,interior
beta_cis,-2.95312964480568,-3.0,3.0,0.007811725865719987,poorly_identified_at_bound
log_cis_tolerant_context,-6.748160167538817,-8.0,4.0,0.10431998603843191,interior
cis_tolerant_logit_shift,2.9999911672176856,-3.0,3.0,0.9999985278696143,poorly_identified_at_bound
