cell_line,model,pooling_mode,eligible_for_inheritance,diagnostic_model,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,n_monoculture_trajectories,n_coculture_component_trajectories,inherited_timing_hypothesis,parameter_scope,initial_condition_strategy,residual_scaling,boundary_issue,params,delta_bic,rank
A2780Naive+A2780cis,load_plus_tolerant_context,linked_global,true,false,-1145.7578845218993,5.6042086736769594e7,8.562780768483929,15,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,true,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis, :log_cis_tolerant_context, :cis_tolerant_logit_shift], values = [4.999989257539974, 1.2523136898886182, 2.232057612521176, 0.5417180299402324, -0.0487901624540802, 4.749824790198794, 0.3188421377643444, 0.5743665873794508, 0.023554025831355328, 2.418362177230118, 6.906900257133545, -2.2244142157462017, -2.95312964480568, -6.748160167538817, 2.9999911672176856], package_api = ""GrowthParameterEstimation.run_joint_fit + profile_joint_fit_bounds_two_sided"")",0.0,1
A2780Naive+A2780cis,load_scaled,linked_global,true,false,-1099.4461438044189,7.254858039312343e7,10.174486028224738,13,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis], values = [4.999520141432539, 1.233135044664556, 2.349872396146304, 0.5175507324619697, -0.04879016416943182, 4.750557451394045, 0.322911378049504, 0.5839018442825247, 0.023687479257047554, 2.457009544183452, 6.999996009631715, -1.7002859469114067, -1.9927380357841615], package_api = ""GrowthParameterEstimation.run_joint_fit"")",46.31174071748046,2
A2780Naive+A2780cis,load_plus_tolerant_growth_context,linked_global,true,false,-1074.2941676164467,7.148968933010513e7,10.410363458146078,16,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis, :log_cis_tolerant_context, :cis_tolerant_logit_shift, :log_cis_tolerant_growth_context], values = [4.999999999999977, 1.2274724511779758, 2.3650814207544397, 0.512807481629412, -0.0463506556557587, 4.999999996157185, 0.3197192978608929, 0.5785038437569381, 0.023609959921907175, 2.454654747421013, 6.966946131983687, -1.494270817010713, 0.15240530395656648, -1.5764195898250732, -0.1153798240668551, 0.02429999184644538], package_api = ""GrowthParameterEstimation.run_joint_fit"")",71.46371690545266,3
A2780Naive+A2780cis,subpopulation_load_scaled,linked_global,true,false,-1071.5118350490654,7.945101150700253e7,10.86675588231309,14,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis_sensitive, :beta_cis_tolerant], values = [4.999999999999977, 1.2335601281421007, 2.3584999318077022, 0.516360383591501, -0.04879013356734033, 4.999999999999977, 0.31999702569346217, 0.5791836987140552, 0.02359200029261116, 2.4368437648175125, 6.996594197463592, -1.5828385285875997, 0.32988241291261655, -1.1259729278375576], package_api = ""GrowthParameterEstimation.run_joint_fit"")",74.24604947283387,4
A2780Naive+A2780cis,fully_free_context_diagnostic,linked_global,false,true,-1066.9634342653,6.4019686068520054e7,9.590206966258371,22,336,2,3,12,12,cis_onset_only,separate monoculture and coculture intrinsic drug vectors; diagnostic only,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :coculture_naive_emax, :coculture_naive_ec50_effect, :coculture_naive_hill_n, :coculture_naive_lambda, :coculture_naive_log_contrast_density, :coculture_cis_emax_sensitive, :coculture_cis_emax_tolerant, :coculture_cis_f_tolerant0, :coculture_cis_log_contrast_density, :coculture_naive_t_onset, :coculture_cis_t_onset], values = [4.999999906040257, 1.221939546798421, 2.345637663282158, 0.5157645845871318, -0.04879016416911949, 4.999999618490713, 0.31902966952353073, 0.5785822352732226, 0.023465468832157374, 2.436910630663883, 6.87256273685538, 4.972896996197151, 1.395310318184699, 2.957544788275813, 4.201191598554721, -0.04879016408345717, 4.999995561359543, 0.014719558815061998, 0.7069328850994056, 0.021341191747460478, 1.4306164775853414, 6.357844303484553], package_api = ""GrowthParameterEstimation.run_joint_fit"")",78.79445025659925,5
A2780Naive+A2780cis,load_plus_context_amplitude,linked_global,true,false,-1058.4555164104825,8.177825871126626e7,11.103423343038804,15,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis, :log_context_amplitude_naive, :log_context_amplitude_cis], values = [4.999999999999977, 1.2358259383347892, 2.3605726009659427, 0.5157637407512029, -0.04879016416943182, 4.999999992734362, 0.31984669701078755, 0.5802509297654003, 0.023537531059604797, 2.437559345076844, 6.989365085924966, -1.5065429013305032, -0.8362137637064428, -0.0022623991440192392, 0.0054658051799670315], package_api = ""GrowthParameterEstimation.run_joint_fit"")",87.30236811141685,6
A2780Naive+A2780cis,competitor_scaled,linked_global,true,false,-1030.554114462383,8.797461214863998e7,12.48988377274689,13,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset, :beta_naive, :beta_cis], values = [4.749998181075486, 1.237115327437283, 2.4063155941268946, 0.5213041532846022, -0.04879016416943182, 4.999999999997769, 0.3168917154709768, 0.5860743149306994, 0.02336763848869534, 2.4563286522549754, 6.9998313659627485, -2.4253753636006907, -0.6579926353577132], package_api = ""GrowthParameterEstimation.run_joint_fit"")",115.20377005951627,7
A2780Naive+A2780cis,strobl_birth_growth_cost_turnover,strobl_joint,false,true,-974.0200298273219,7.825897073161782e7,16.97391696099773,5,336,2,3,12,12,none; immediate Strobl drug multiplier,Strobl literature benchmark jointly fitted to the same 24 trajectories,fixed experimental day-zero totals and nominal mixture fractions; no latent A2780cis split,trajectory peak across combined 24-trajectory objective,false,"(names = [:K_20k, :K_30k, :resistance_cost, :turnover_fraction, :d_D], values = [5169.615741007503, 5528.681227100179, 0.4270198606034129, 0.24522270831521356, 0.3394811666065804], paper_model = ""4params"", reference = ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8455086/"", package_api = ""GrowthParameterEstimation.run_joint_multistart"")",171.73785469457744,8
A2780Naive+A2780cis,strict_inheritance,linked_global,true,false,-971.2095756380996,9.314341672355635e7,15.427711361060426,11,336,2,3,12,12,cis_onset_only,one intrinsic lineage-specific drug vector shared across monoculture and coculture,fixed day-zero density totals; coculture split by nominal mix and inherited cis tolerant fraction,trajectory peak across combined 24-trajectory objective,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset], values = [4.749998181075486, 1.2806043404101501, 2.461625564736316, 0.5066786838609733, -0.04879016416943182, 4.749824790198794, 0.32162722521080345, 0.5754043245402376, 0.023049849024417358, 2.334014479218891, 6.97783352482974], package_api = ""GrowthParameterEstimation.run_joint_fit"")",174.54830888379968,9
A2780Naive+A2780cis,strobl_birth_growth_cost_only,strobl_joint,false,true,-954.8399704831609,9.774988285343044e7,18.284874905264086,4,336,2,3,12,12,none; immediate Strobl drug multiplier,Strobl literature benchmark jointly fitted to the same 24 trajectories,fixed experimental day-zero totals and nominal mixture fractions; no latent A2780cis split,trajectory peak across combined 24-trajectory objective,true,"(names = [:K_20k, :K_30k, :resistance_cost, :d_D], values = [2723.42381981802, 2907.891951171676, 0.6134557343304872, 0.4775196206102607], paper_model = ""3params_noTurnover"", reference = ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8455086/"", package_api = ""GrowthParameterEstimation.run_joint_multistart"")",190.91791403873845,10
