parameter,estimate,sequential_stage2_seed,deviation_percent,lower_bound,upper_bound,source
naive_emax,4.999989257539974,4.999998085342592,-0.0001765561199795762,4.749998181075463,5.0,shared intrinsic parameter jointly estimated from treated monoculture and coculture
naive_ec50_effect,1.2523136898886182,1.2223026295256232,2.4552888652986438,1.161187498049342,1.2834177610019044,shared intrinsic parameter jointly estimated from treated monoculture and coculture
naive_hill_n,2.232057612521176,2.3480482652557044,-4.9398751486863794,2.2306458519929193,2.4654506785184895,shared intrinsic parameter jointly estimated from treated monoculture and coculture
naive_lambda,0.5417180299402324,0.5159219395878215,4.999998715507203,0.49012584260843045,0.5417180365672126,shared intrinsic parameter jointly estimated from treated monoculture and coculture
naive_log_contrast_density,-0.0487901624540802,-0.04879016384417571,-2.8491306425237894e-6,-0.04879016416943205,-0.04635065565196693,shared intrinsic parameter jointly estimated from treated monoculture and coculture
cis_emax_sensitive,4.749824790198794,4.999815568630285,-4.999999999999538,4.749824790198771,5.0,shared intrinsic parameter jointly estimated from treated monoculture and coculture
cis_emax_tolerant,0.3188421377643444,0.319310740624452,-0.14675449350410874,0.3033452035932294,0.33527627765567464,shared intrinsic parameter jointly estimated from treated monoculture and coculture
cis_f_tolerant0,0.5743665873794508,0.5788600219760291,-0.7762558176395262,0.5499170208772277,0.6078030230748306,shared intrinsic parameter jointly estimated from treated monoculture and coculture
cis_log_contrast_density,0.023554025831355328,0.023465443087366575,0.37750296748688683,0.022292170932998245,0.024638715241734905,shared intrinsic parameter jointly estimated from treated monoculture and coculture
naive_t_onset,2.418362177230118,2.4382683603313136,-0.8164065705421719,2.316354942314748,2.560181778347879,shared intrinsic parameter jointly estimated from treated monoculture and coculture
cis_t_onset,6.906900257133545,6.908388471679879,-0.021542137539520834,6.562969048095884,7.0,shared intrinsic parameter jointly estimated from treated monoculture and coculture
beta_naive,-2.2244142157462017,NaN,NaN,-3.0,3.0,coculture-specific modifier
beta_cis,-2.95312964480568,NaN,NaN,-3.0,3.0,coculture-specific modifier
log_cis_tolerant_context,-6.748160167538817,NaN,NaN,-8.0,4.0,coculture-specific modifier
cis_tolerant_logit_shift,2.9999911672176856,NaN,NaN,-3.0,3.0,coculture-specific modifier
