cell_line,treatment_family,pooling_mode,parameter,sequential_stage2_center,nominal_stage2_winner,nominal_stage2_bic,compatible_stage2_bic,compatible_delta_bic,selection_reason,source_path
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,emax,4.999387164462106,joint_ic_effect_hill_ramp_onset,-269.6558676467345,-269.6558676467345,0.0,nominal_stage2_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,ec50_effect,1.222478981356482,joint_ic_effect_hill_ramp_onset,-269.6558676467345,-269.6558676467345,0.0,nominal_stage2_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,hill_n,2.3471524249683173,joint_ic_effect_hill_ramp_onset,-269.6558676467345,-269.6558676467345,0.0,nominal_stage2_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,lambda,0.514804141403903,joint_ic_effect_hill_ramp_onset,-269.6558676467345,-269.6558676467345,0.0,nominal_stage2_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,t_onset,2.439745463136305,joint_ic_effect_hill_ramp_onset,-269.6558676467345,-269.6558676467345,0.0,nominal_stage2_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780cis,joint_ic_effect_two_population,shared,emax_sensitive,4.9959046551164965,joint_ic_effect_transit_death,-370.75497675445547,-369.535495421195,1.2194813332604895,best_stage2_candidate_compatible_with_population_balance_stage4,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780cis,joint_ic_effect_two_population,shared,emax_tolerant,0.3182854682504986,joint_ic_effect_transit_death,-370.75497675445547,-369.535495421195,1.2194813332604895,best_stage2_candidate_compatible_with_population_balance_stage4,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780cis,joint_ic_effect_two_population,shared,lambda,4.967717502061573,joint_ic_effect_transit_death,-370.75497675445547,-369.535495421195,1.2194813332604895,best_stage2_candidate_compatible_with_population_balance_stage4,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780cis,joint_ic_effect_two_population,shared,t_onset,6.763684629082072,joint_ic_effect_transit_death,-370.75497675445547,-369.535495421195,1.2194813332604895,best_stage2_candidate_compatible_with_population_balance_stage4,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
A2780cis,joint_ic_effect_two_population,shared,f_tolerant0,0.5721356652457709,joint_ic_effect_transit_death,-370.75497675445547,-369.535495421195,1.2194813332604895,best_stage2_candidate_compatible_with_population_balance_stage4,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_joint_parameter_estimates.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_emax,4.999998085342592,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_ec50_effect,1.2223026295256232,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_hill_n,2.3480482652557044,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_lambda,0.5159219395878215,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_log_contrast_density,-0.04879016384417571,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",cis_emax_sensitive,4.999815568630285,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",cis_emax_tolerant,0.319310740624452,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",cis_f_tolerant0,0.5788600219760291,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",cis_log_contrast_density,0.023465443087366575,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",naive_t_onset,2.4382683603313136,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
joint treated timing,cis_onset_only,"joint across both cell lines, densities, and doses",cis_t_onset,6.908388471679879,cis_onset_only,-606.0552585092465,-606.0552585092465,0.0,timing_audit_winner,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_timing_hypothesis_parameters.csv
