cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,parameter_scope,growth_inheritance,initial_condition_strategy,residual_scaling,boundary_issue,params
A2780Naive+A2780cis,strobl_birth_growth_cost_turnover,strobl_joint,false,-645.8523471037355,1.824653137312481e7,3.1823045261483642,4,168,2,3,Strobl literature benchmark; shared phenotype parameters with density-specific K,A2780Naive Stage 1 r fixes the paper time scale; A2780cis is mapped to the paper resistant phenotype,fixed experimental day-zero totals and nominal mixture fractions; paper n0/fR are therefore not refitted,component-trajectory peak,false,"(names = [:K_20k, :K_30k, :resistance_cost, :turnover_fraction], values = [11072.940455765525, 11765.71502305271, 0.06525050729368831, 0.6776380761468194], paper_model = ""4params"", reference = ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8455086/"", package_api = ""GrowthParameterEstimation.run_joint_multistart"")"
A2780Naive+A2780cis,strobl_birth_death_cost_turnover,strobl_joint,false,-640.7437721809151,1.8960039549003262e7,3.2805589260096055,4,168,2,3,Strobl literature benchmark; shared phenotype parameters with density-specific K,A2780Naive Stage 1 r fixes the paper time scale; A2780cis is mapped to the paper resistant phenotype,fixed experimental day-zero totals and nominal mixture fractions; paper n0/fR are therefore not refitted,component-trajectory peak,false,"(names = [:K_20k, :K_30k, :resistance_cost, :turnover_fraction], values = [11517.172271819676, 12270.077742011865, 0.08191970493582419, 0.6852034166621993], paper_model = ""supplement_cost_in_dR"", reference = ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8455086/"", package_api = ""GrowthParameterEstimation.run_joint_multistart"")"
A2780Naive+A2780cis,lv_asymmetric_competition_death,partial_5pct,true,-628.6081386168919,1.847696965769249e7,3.420374132742483,5,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant, :log_contrast_density], values = [0.5096417838847659, 1.3522313840194164, 0.22137721014457323, 1.923047556845251e-6, 0.06947977059406192], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition_death,independent_diagnostic,false,-623.2518061517798,1.71310084378384e7,3.2224228522229637,8,168,2,3,independent_diagnostic,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr_20k, :alpha_rs_20k, :death_sensitive_20k, :death_resistant_20k, :alpha_sr_30k, :alpha_rs_30k, :death_sensitive_30k, :death_resistant_30k], values = [0.4987247116061063, 1.3547390460983593, 0.2529830950098182, 0.000515739786139759, 0.6794889648262195, 1.3027925444337773, 0.17149923976890366, 0.004644241782151178], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition_death,shared,true,-592.2756647382031,1.9386065138499137e7,4.3776605105998065,4,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant], values = [0.39211766933432135, 1.369679830617308, 0.23269932283039527, 6.987696568970475e-6], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,strobl_birth_capacity_cost_turnover,strobl_joint,false,-573.6025883475429,2.772157478340865e7,4.892305750236326,4,168,2,3,Strobl literature benchmark; shared phenotype parameters with density-specific K,A2780Naive Stage 1 r fixes the paper time scale; A2780cis is mapped to the paper resistant phenotype,fixed experimental day-zero totals and nominal mixture fractions; paper n0/fR are therefore not refitted,component-trajectory peak,false,"(names = [:K_20k, :K_30k, :resistance_cost, :turnover_fraction], values = [14095.92189530074, 15343.23275546247, 0.35260854886280296, 0.7243676074458064], paper_model = ""supplement_cost_in_KR"", reference = ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8455086/"", package_api = ""GrowthParameterEstimation.run_joint_multistart"")"
A2780Naive+A2780cis,lv_asymmetric_competition,independent_diagnostic,false,-487.6072634862396,5.061289673904966e7,8.162419640712624,4,168,2,3,independent_diagnostic,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr_20k, :alpha_rs_20k, :alpha_sr_30k, :alpha_rs_30k], values = [1.6963534553060153, 0.9148115559042411, 1.496288643649774, 1.0222117126955232], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition,partial_5pct,true,-487.0510627230585,5.21541714335842e7,8.443113629623847,3,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs, :log_contrast_density], values = [1.5701578885480798, 0.9768574594449181, 0.0888186074647655], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition,shared,true,-470.83322297623516,5.435542581422659e7,9.58678607742787,2,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs], values = [1.4705477836319034, 0.9524518366194239], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_symmetric_competition,partial_5pct,true,-438.4551459023744,8.269847361502744e7,11.62446988655599,2,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha, :log_contrast_density], values = [0.882505346669063, 0.04874216776204078], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
