parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,model,pooling_mode
alpha_sr,1.0782209368191604,0.02,4.0,0.2658846574922514,interior,lv_asymmetric_competition,shared
alpha_rs,1.0103852187882527,0.02,4.0,0.2488405072332293,interior,lv_asymmetric_competition,shared
alpha_sr,0.5084282000096467,0.02,4.0,0.12272065326875546,interior,lv_asymmetric_competition_death,shared
alpha_rs,1.2234963614240395,0.02,4.0,0.3023860204583014,interior,lv_asymmetric_competition_death,shared
death_sensitive,0.21220164397677146,0.0,1.0,0.21220164397677146,interior,lv_asymmetric_competition_death,shared
death_resistant,0.08313226335392826,0.0,1.0,0.08313226335392826,interior,lv_asymmetric_competition_death,shared
alpha,0.9960478705864594,0.02,4.0,0.2452381584388089,interior,lv_symmetric_competition,shared
alpha_sr,1.087754332999838,0.02,4.0,0.26827998316578844,interior,lv_asymmetric_competition,partial_5pct
alpha_rs,1.0103271918974719,0.02,4.0,0.2488259276124301,interior,lv_asymmetric_competition,partial_5pct
log_contrast_density,0.04763821141047006,-0.04879016416943205,0.04879016416943205,0.9881948259595762,poorly_identified_at_bound,lv_asymmetric_competition,partial_5pct
alpha_sr,0.5662624270048602,0.02,4.0,0.13725186608162315,interior,lv_asymmetric_competition_death,partial_5pct
alpha_rs,1.2207181371267246,0.02,4.0,0.30168797415244336,interior,lv_asymmetric_competition_death,partial_5pct
death_sensitive,0.2043099365576753,0.0,1.0,0.2043099365576753,interior,lv_asymmetric_competition_death,partial_5pct
death_resistant,0.0798896325559348,0.0,1.0,0.0798896325559348,interior,lv_asymmetric_competition_death,partial_5pct
log_contrast_density,0.0487895603036768,-0.04879016416943205,0.04879016416943205,0.9999938116035729,poorly_identified_at_bound,lv_asymmetric_competition_death,partial_5pct
alpha,0.9947024806687653,0.02,4.0,0.24490012077104656,interior,lv_symmetric_competition,partial_5pct
log_contrast_density,0.0444580986559011,-0.04879016416943205,0.04879016416943205,0.955605134894739,interior,lv_symmetric_competition,partial_5pct
alpha_sr_20k,1.1093338898723515,0.02,4.0,0.27370198237998783,interior,lv_asymmetric_competition,independent_diagnostic
alpha_rs_20k,0.9730770465738738,0.02,4.0,0.2394665946165512,interior,lv_asymmetric_competition,independent_diagnostic
alpha_sr_30k,1.1007109415354157,0.02,4.0,0.27153541244608437,interior,lv_asymmetric_competition,independent_diagnostic
alpha_rs_30k,1.0519010364138401,0.02,4.0,0.25927161718940706,interior,lv_asymmetric_competition,independent_diagnostic
alpha_sr_20k,0.24281035776057197,0.02,4.0,0.05598250194989246,interior,lv_asymmetric_competition_death,independent_diagnostic
alpha_rs_20k,1.2560088194727868,0.02,4.0,0.31055497976703184,interior,lv_asymmetric_competition_death,independent_diagnostic
death_sensitive_20k,0.25568717987147827,0.0,1.0,0.25568717987147827,interior,lv_asymmetric_competition_death,independent_diagnostic
death_resistant_20k,0.07801996937561483,0.0,1.0,0.07801996937561483,interior,lv_asymmetric_competition_death,independent_diagnostic
alpha_sr_30k,0.9619841134227736,0.02,4.0,0.23667942548310894,interior,lv_asymmetric_competition_death,independent_diagnostic
alpha_rs_30k,1.091394943415295,0.02,4.0,0.2691947094008279,interior,lv_asymmetric_competition_death,independent_diagnostic
death_sensitive_30k,0.1278010173238582,0.0,1.0,0.1278010173238582,interior,lv_asymmetric_competition_death,independent_diagnostic
death_resistant_30k,0.09940709490091279,0.0,1.0,0.09940709490091279,interior,lv_asymmetric_competition_death,independent_diagnostic
alpha_20k,0.9514513597163071,0.02,4.0,0.23403300495384602,interior,lv_symmetric_competition,independent_diagnostic
alpha_30k,1.0399208524374757,0.02,4.0,0.25626152071293357,interior,lv_symmetric_competition,independent_diagnostic
