stage,model,pooling_mode,density,parameter,effective_value,lower_bound,upper_bound,bound_position
coculture_untreated,lv_asymmetric_competition,shared,20k,alpha_sr,1.4705477836319034,0.02,4.0,0.36445924211856867
coculture_untreated,lv_asymmetric_competition,shared,20k,alpha_rs,0.9524518366194239,0.02,4.0,0.23428438106015675
coculture_untreated,lv_asymmetric_competition,shared,30k,alpha_sr,1.4705477836319034,0.02,4.0,0.36445924211856867
coculture_untreated,lv_asymmetric_competition,shared,30k,alpha_rs,0.9524518366194239,0.02,4.0,0.23428438106015675
coculture_untreated,lv_asymmetric_competition_death,shared,20k,alpha_sr,0.39211766933432135,0.02,4.0,0.0934969018427943
coculture_untreated,lv_asymmetric_competition_death,shared,20k,alpha_rs,1.369679830617308,0.02,4.0,0.3391155353309819
coculture_untreated,lv_asymmetric_competition_death,shared,20k,death_sensitive,0.23269932283039527,0.0,1.0,0.23269932283039527
coculture_untreated,lv_asymmetric_competition_death,shared,20k,death_resistant,6.987696568970475e-6,0.0,1.0,6.987696568970475e-6
coculture_untreated,lv_asymmetric_competition_death,shared,30k,alpha_sr,0.39211766933432135,0.02,4.0,0.0934969018427943
coculture_untreated,lv_asymmetric_competition_death,shared,30k,alpha_rs,1.369679830617308,0.02,4.0,0.3391155353309819
coculture_untreated,lv_asymmetric_competition_death,shared,30k,death_sensitive,0.23269932283039527,0.0,1.0,0.23269932283039527
coculture_untreated,lv_asymmetric_competition_death,shared,30k,death_resistant,6.987696568970475e-6,0.0,1.0,6.987696568970475e-6
coculture_untreated,lv_symmetric_competition,shared,20k,alpha,0.8835627410947443,0.02,4.0,0.21697556308913174
coculture_untreated,lv_symmetric_competition,shared,30k,alpha,0.8835627410947443,0.02,4.0,0.21697556308913174
coculture_untreated,lv_asymmetric_competition,partial_5pct,20k,alpha_sr,1.4367125794535802,0.02,4.0,0.35595793453607544
coculture_untreated,lv_asymmetric_competition,partial_5pct,20k,alpha_rs,0.8938358432318916,0.02,4.0,0.219556744530626
coculture_untreated,lv_asymmetric_competition,partial_5pct,30k,alpha_sr,1.7159979179046512,0.02,4.0,0.4261301301267968
coculture_untreated,lv_asymmetric_competition,partial_5pct,30k,alpha_rs,1.067590322427487,0.02,4.0,0.26321364885112736
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,20k,alpha_sr,0.475434120145619,0.02,4.0,0.1144306834536731
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,20k,alpha_rs,1.261468267758689,0.02,4.0,0.31192670044188164
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,20k,death_sensitive,0.22137721014457323,0.0,1.0,0.22137721014457323
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,20k,death_resistant,1.923047556845251e-6,0.0,1.0,1.923047556845251e-6
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,30k,alpha_sr,0.5463107018942881,0.02,4.0,0.13223886982268546
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,30k,alpha_rs,1.4495249406280368,0.02,4.0,0.35917712076081326
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,30k,death_sensitive,0.22137721014457323,0.0,1.0,0.22137721014457323
coculture_untreated,lv_asymmetric_competition_death,partial_5pct,30k,death_resistant,1.923047556845251e-6,0.0,1.0,1.923047556845251e-6
coculture_untreated,lv_symmetric_competition,partial_5pct,20k,alpha,0.8405216235921112,0.02,4.0,0.2061612119578169
coculture_untreated,lv_symmetric_competition,partial_5pct,30k,alpha,0.9265861401293669,0.02,4.0,0.22778546234406202
coculture_untreated,lv_asymmetric_competition,independent_diagnostic,20k,alpha_sr,1.6963534553060153,0.02,4.0,0.42119433550402396
coculture_untreated,lv_asymmetric_competition,independent_diagnostic,20k,alpha_rs,0.9148115559042411,0.02,4.0,0.22482702409654298
coculture_untreated,lv_asymmetric_competition,independent_diagnostic,30k,alpha_sr,1.496288643649774,0.02,4.0,0.3709267948868779
coculture_untreated,lv_asymmetric_competition,independent_diagnostic,30k,alpha_rs,1.0222117126955232,0.02,4.0,0.2518119881144531
coculture_untreated,lv_asymmetric_competition_death,independent_diagnostic,20k,alpha_sr,0.4987247116061063,0.02,4.0,0.1202825908558056
coculture_untreated,lv_asymmetric_competition_death,independent_diagnostic,20k,alpha_rs,1.3547390460983593,0.02,4.0,0.33536156937144707
coculture_untreated,lv_asymmetric_competition_death,independent_diagnostic,20k,death_sensitive,0.2529830950098182,0.0,1.0,0.2529830950098182
coculture_untreated,lv_asymmetric_competition_death,independent_diagnostic,20k,death_resistant,0.000515739786139759,0.0,1.0,0.000515739786139759
coculture_untreated,lv_asymmetric_competition_death,independent_diagnostic,30k,alpha_sr,0.6794889648262195,0.02,4.0,0.16570074493121092
