time,count,source_file,component,density,mix,replicate
1.0,37.23,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
1.0,35.57,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
1.0,21.05,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
2.0,66.92,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
2.0,53.67,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
2.0,41.8,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
3.0,107.46,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
3.0,97.08,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
3.0,70.92,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
4.0,232.38,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
4.0,203.72,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
4.0,133.13,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
5.0,469.05,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
5.0,426.73,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
5.0,278.12,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
6.0,756.44,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
6.0,581.21,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
6.0,491.44,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
7.0,1015.67,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
7.0,808.65,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
7.0,710.2,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
8.0,1279.17,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
8.0,993.74,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
8.0,851.52,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
9.0,1557.5,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
9.0,1177.03,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
9.0,1284.51,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
10.0,1293.44,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
10.0,968.21,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
10.0,983.69,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
11.0,1973.89,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
11.0,1448.94,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
11.0,1782.69,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
12.0,1299.12,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
12.0,826.42,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
12.0,833.49,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
13.0,1807.94,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
13.0,1192.49,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
13.0,1397.13,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
14.0,1167.27,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,1
14.0,1032.88,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,2
14.0,1056.86,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,25-75,3
1.0,15.17,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
1.0,13.83,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
1.0,9.42,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
2.0,34.78,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
2.0,44.55,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
2.0,30.43,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
3.0,102.61,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
3.0,122.56,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
3.0,91.5,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
4.0,246.93,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
4.0,333.5,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
4.0,230.25,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
5.0,821.92,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
5.0,981.19,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
5.0,746.51,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
6.0,891.92,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
6.0,907.15,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
6.0,781.72,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
