time,observed,pred_null_coculture,pred_lotka_volterra_competition,pred_lotka_volterra_hill_competition
1.0,15.17,NaN,NaN,NaN
1.0,13.83,NaN,NaN,NaN
1.0,9.42,NaN,NaN,NaN
1.0,21.36,NaN,NaN,NaN
1.0,11.12,NaN,NaN,NaN
1.0,6.79,NaN,NaN,NaN
1.0,37.23,NaN,NaN,NaN
1.0,35.57,NaN,NaN,NaN
1.0,21.05,NaN,NaN,NaN
1.0,81.3,NaN,NaN,NaN
1.0,52.61,NaN,NaN,NaN
1.0,49.23,NaN,NaN,NaN
1.0,23.15,NaN,NaN,NaN
1.0,23.48,NaN,NaN,NaN
1.0,11.66,NaN,NaN,NaN
1.0,32.16,NaN,NaN,NaN
1.0,31.89,NaN,NaN,NaN
1.0,20.42,NaN,NaN,NaN
1.0,27.17,NaN,NaN,NaN
1.0,38.67,NaN,NaN,NaN
1.0,18.66,NaN,NaN,NaN
1.0,43.05,NaN,NaN,NaN
1.0,34.69,NaN,NaN,NaN
1.0,27.05,NaN,NaN,NaN
1.0,20.06,NaN,NaN,NaN
1.0,22.14,NaN,NaN,NaN
1.0,19.85,NaN,NaN,NaN
1.0,36.52,NaN,NaN,NaN
1.0,23.2,NaN,NaN,NaN
1.0,33.03,NaN,NaN,NaN
1.0,10.0,NaN,NaN,NaN
1.0,12.21,NaN,NaN,NaN
1.0,11.2,NaN,NaN,NaN
1.0,25.64,NaN,NaN,NaN
1.0,22.71,NaN,NaN,NaN
1.0,28.05,NaN,NaN,NaN
2.0,34.78,NaN,NaN,NaN
2.0,44.55,NaN,NaN,NaN
2.0,30.43,NaN,NaN,NaN
2.0,52.24,NaN,NaN,NaN
2.0,37.13,NaN,NaN,NaN
2.0,28.53,NaN,NaN,NaN
2.0,66.92,NaN,NaN,NaN
2.0,53.67,NaN,NaN,NaN
2.0,41.8,NaN,NaN,NaN
2.0,130.99,NaN,NaN,NaN
2.0,93.73,NaN,NaN,NaN
2.0,86.12,NaN,NaN,NaN
2.0,64.96,NaN,NaN,NaN
2.0,67.9,NaN,NaN,NaN
2.0,32.99,NaN,NaN,NaN
2.0,86.0,NaN,NaN,NaN
2.0,103.08,NaN,NaN,NaN
2.0,56.01,NaN,NaN,NaN
2.0,44.66,NaN,NaN,NaN
2.0,63.47,NaN,NaN,NaN
2.0,33.37,NaN,NaN,NaN
2.0,74.35,NaN,NaN,NaN
2.0,59.14,NaN,NaN,NaN
2.0,44.71,NaN,NaN,NaN
2.0,66.89,NaN,NaN,NaN
2.0,68.17,NaN,NaN,NaN
2.0,57.55,NaN,NaN,NaN
2.0,106.57,NaN,NaN,NaN
2.0,94.04,NaN,NaN,NaN
2.0,89.55,NaN,NaN,NaN
2.0,24.08,NaN,NaN,NaN
2.0,18.24,NaN,NaN,NaN
2.0,17.43,NaN,NaN,NaN
2.0,40.23,NaN,NaN,NaN
2.0,48.93,NaN,NaN,NaN
2.0,42.31,NaN,NaN,NaN
3.0,102.61,NaN,NaN,NaN
3.0,122.56,NaN,NaN,NaN
3.0,91.5,NaN,NaN,NaN
3.0,170.48,NaN,NaN,NaN
3.0,98.75,NaN,NaN,NaN
3.0,100.31,NaN,NaN,NaN
3.0,107.46,NaN,NaN,NaN
3.0,97.08,NaN,NaN,NaN
3.0,70.92,NaN,NaN,NaN
3.0,236.2,NaN,NaN,NaN
3.0,149.12,NaN,NaN,NaN
3.0,149.41,NaN,NaN,NaN
3.0,161.42,NaN,NaN,NaN
3.0,179.05,NaN,NaN,NaN
3.0,92.2,NaN,NaN,NaN
3.0,236.83,NaN,NaN,NaN
3.0,253.66,NaN,NaN,NaN
3.0,151.41,NaN,NaN,NaN
3.0,89.53,NaN,NaN,NaN
3.0,110.59,NaN,NaN,NaN
3.0,55.39,NaN,NaN,NaN
3.0,126.53,NaN,NaN,NaN
3.0,112.93,NaN,NaN,NaN
3.0,75.98,NaN,NaN,NaN
3.0,167.52,NaN,NaN,NaN
3.0,169.79,NaN,NaN,NaN
3.0,168.15,NaN,NaN,NaN
3.0,301.0,NaN,NaN,NaN
3.0,225.55,NaN,NaN,NaN
3.0,212.55,NaN,NaN,NaN
3.0,32.77,NaN,NaN,NaN
3.0,37.45,NaN,NaN,NaN
3.0,21.59,NaN,NaN,NaN
3.0,63.15,NaN,NaN,NaN
3.0,73.31,NaN,NaN,NaN
3.0,65.26,NaN,NaN,NaN
4.0,246.93,NaN,NaN,NaN
4.0,333.5,NaN,NaN,NaN
4.0,230.25,NaN,NaN,NaN
4.0,405.28,NaN,NaN,NaN
4.0,267.56,NaN,NaN,NaN
4.0,232.84,NaN,NaN,NaN
4.0,232.38,NaN,NaN,NaN
4.0,203.72,NaN,NaN,NaN
4.0,133.13,NaN,NaN,NaN
4.0,439.21,NaN,NaN,NaN
4.0,345.52,NaN,NaN,NaN
4.0,302.26,NaN,NaN,NaN
4.0,454.9,NaN,NaN,NaN
4.0,501.3,NaN,NaN,NaN
4.0,259.07,NaN,NaN,NaN
4.0,569.72,NaN,NaN,NaN
4.0,623.77,NaN,NaN,NaN
4.0,526.21,NaN,NaN,NaN
4.0,169.59,NaN,NaN,NaN
4.0,209.71,NaN,NaN,NaN
4.0,109.11,NaN,NaN,NaN
4.0,251.91,NaN,NaN,NaN
4.0,197.28,NaN,NaN,NaN
4.0,205.63,NaN,NaN,NaN
4.0,507.22,NaN,NaN,NaN
4.0,467.12,NaN,NaN,NaN
4.0,446.36,NaN,NaN,NaN
4.0,811.42,NaN,NaN,NaN
4.0,654.49,NaN,NaN,NaN
4.0,735.78,NaN,NaN,NaN
4.0,74.58,NaN,NaN,NaN
4.0,67.9,NaN,NaN,NaN
4.0,75.25,NaN,NaN,NaN
4.0,131.84,NaN,NaN,NaN
4.0,127.17,NaN,NaN,NaN
4.0,107.4,NaN,NaN,NaN
5.0,821.92,NaN,NaN,NaN
5.0,981.19,NaN,NaN,NaN
5.0,746.51,NaN,NaN,NaN
5.0,981.64,NaN,NaN,NaN
5.0,756.82,NaN,NaN,NaN
5.0,635.45,NaN,NaN,NaN
5.0,469.05,NaN,NaN,NaN
5.0,426.73,NaN,NaN,NaN
5.0,278.12,NaN,NaN,NaN
5.0,918.61,NaN,NaN,NaN
5.0,699.38,NaN,NaN,NaN
5.0,654.31,NaN,NaN,NaN
5.0,1371.62,NaN,NaN,NaN
5.0,1320.35,NaN,NaN,NaN
5.0,883.62,NaN,NaN,NaN
5.0,1462.16,NaN,NaN,NaN
5.0,1332.02,NaN,NaN,NaN
5.0,1302.89,NaN,NaN,NaN
5.0,317.23,NaN,NaN,NaN
5.0,376.58,NaN,NaN,NaN
5.0,255.41,NaN,NaN,NaN
5.0,465.17,NaN,NaN,NaN
5.0,390.12,NaN,NaN,NaN
5.0,350.39,NaN,NaN,NaN
5.0,1242.12,NaN,NaN,NaN
5.0,1164.65,NaN,NaN,NaN
5.0,1200.53,NaN,NaN,NaN
5.0,1551.58,NaN,NaN,NaN
5.0,1211.4,NaN,NaN,NaN
5.0,1284.72,NaN,NaN,NaN
5.0,130.51,NaN,NaN,NaN
5.0,135.58,NaN,NaN,NaN
5.0,139.18,NaN,NaN,NaN
