condition,n_rows,n_replicates,min_time,max_time,monotone_time
cell_line=A2780Naive | treatment_amount=0.67 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=0.67 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=0.67 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=0.67 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=0.67 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=0.67 | density=30k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.0 | density=30k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780Naive | treatment_amount=1.47 | density=30k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=20k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=20k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=20k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=0.67 | density=30k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.0 | density=30k | replicate=3,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=30k | replicate=1,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=30k | replicate=2,14,1,1.0,14.0,true
cell_line=A2780cis | treatment_amount=1.47 | density=30k | replicate=3,14,1,1.0,14.0,true
