time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
1.0,470.381366,NaN,NaN,NaN,NaN,NaN
1.0,164.837076,NaN,NaN,NaN,NaN,NaN
1.0,305.189622,NaN,NaN,NaN,NaN,NaN
1.0,683.094985,NaN,NaN,NaN,NaN,NaN
1.0,277.199035,NaN,NaN,NaN,NaN,NaN
1.0,507.501582,NaN,NaN,NaN,NaN,NaN
1.0,332.640741,NaN,NaN,NaN,NaN,NaN
1.0,497.381829,NaN,NaN,NaN,NaN,NaN
1.0,581.121528,NaN,NaN,NaN,NaN,NaN
1.0,178.075694,NaN,NaN,NaN,NaN,NaN
1.0,164.776968,NaN,NaN,NaN,NaN,NaN
1.0,151.658565,NaN,NaN,NaN,NaN,NaN
1.0,328.855556,NaN,NaN,NaN,NaN,NaN
1.0,337.256597,NaN,NaN,NaN,NaN,NaN
1.0,249.456713,NaN,NaN,NaN,NaN,NaN
1.0,563.739005,NaN,NaN,NaN,NaN,NaN
1.0,763.835648,NaN,NaN,NaN,NaN,NaN
1.0,721.710301,NaN,NaN,NaN,NaN,NaN
1.0,332.851157,NaN,NaN,NaN,NaN,NaN
1.0,289.437616,NaN,NaN,NaN,NaN,NaN
1.0,209.308333,NaN,NaN,NaN,NaN,NaN
1.0,489.838426,NaN,NaN,NaN,NaN,NaN
1.0,510.295949,NaN,NaN,NaN,NaN,NaN
1.0,522.37037,NaN,NaN,NaN,NaN,NaN
1.0,66.075347,NaN,NaN,NaN,NaN,NaN
1.0,82.574769,NaN,NaN,NaN,NaN,NaN
1.0,79.832716,NaN,NaN,NaN,NaN,NaN
1.0,73.884722,NaN,NaN,NaN,NaN,NaN
1.0,117.621181,NaN,NaN,NaN,NaN,NaN
1.0,119.122916,NaN,NaN,NaN,NaN,NaN
1.0,64.343634,NaN,NaN,NaN,NaN,NaN
1.0,70.884954,NaN,NaN,NaN,NaN,NaN
1.0,62.997454,NaN,NaN,NaN,NaN,NaN
1.0,84.920718,NaN,NaN,NaN,NaN,NaN
1.0,78.589468,NaN,NaN,NaN,NaN,NaN
1.0,84.21412,NaN,NaN,NaN,NaN,NaN
1.0,71.799421,NaN,NaN,NaN,NaN,NaN
1.0,72.274537,NaN,NaN,NaN,NaN,NaN
1.0,95.42419,NaN,NaN,NaN,NaN,NaN
1.0,78.855671,NaN,NaN,NaN,NaN,NaN
1.0,65.742824,NaN,NaN,NaN,NaN,NaN
1.0,77.055671,NaN,NaN,NaN,NaN,NaN
1.0,102.510417,NaN,NaN,NaN,NaN,NaN
1.0,111.150116,NaN,NaN,NaN,NaN,NaN
1.0,139.203009,NaN,NaN,NaN,NaN,NaN
1.0,114.262847,NaN,NaN,NaN,NaN,NaN
1.0,106.092708,NaN,NaN,NaN,NaN,NaN
1.0,137.013194,NaN,NaN,NaN,NaN,NaN
2.0,658.348264,NaN,NaN,NaN,NaN,NaN
2.0,310.328588,NaN,NaN,NaN,NaN,NaN
2.0,465.637384,NaN,NaN,NaN,NaN,NaN
2.0,962.59946,NaN,NaN,NaN,NaN,NaN
2.0,512.547261,NaN,NaN,NaN,NaN,NaN
2.0,801.887693,NaN,NaN,NaN,NaN,NaN
2.0,449.617593,NaN,NaN,NaN,NaN,NaN
2.0,745.802778,NaN,NaN,NaN,NaN,NaN
2.0,779.624421,NaN,NaN,NaN,NaN,NaN
2.0,324.121528,NaN,NaN,NaN,NaN,NaN
2.0,300.025347,NaN,NaN,NaN,NaN,NaN
2.0,306.838889,NaN,NaN,NaN,NaN,NaN
2.0,504.633912,NaN,NaN,NaN,NaN,NaN
2.0,496.346065,NaN,NaN,NaN,NaN,NaN
2.0,395.932176,NaN,NaN,NaN,NaN,NaN
2.0,836.934375,NaN,NaN,NaN,NaN,NaN
2.0,1052.74919,NaN,NaN,NaN,NaN,NaN
