time,observed,prediction,best_model,cell_line,density,dose
1.0,470.381366,470.381366,one_stage_transit_linear_kill,A2780Naive,20k,0.67
2.0,658.348264,838.7394670349522,one_stage_transit_linear_kill,A2780Naive,20k,0.67
3.0,910.885918,950.4382884997193,one_stage_transit_linear_kill,A2780Naive,20k,0.67
4.0,928.761304,924.3824768838883,one_stage_transit_linear_kill,A2780Naive,20k,0.67
5.0,914.7665896666667,831.7945202836909,one_stage_transit_linear_kill,A2780Naive,20k,0.67
6.0,867.7298226666667,713.9603670419629,one_stage_transit_linear_kill,A2780Naive,20k,0.67
7.0,681.9129633333333,593.6658522094654,one_stage_transit_linear_kill,A2780Naive,20k,0.67
8.0,481.738503,482.4989127160988,one_stage_transit_linear_kill,A2780Naive,20k,0.67
9.0,333.6756173333333,385.4592291931555,one_stage_transit_linear_kill,A2780Naive,20k,0.67
10.0,232.34174399999998,303.82679510925783,one_stage_transit_linear_kill,A2780Naive,20k,0.67
11.0,155.3204476666667,236.91429646721463,one_stage_transit_linear_kill,A2780Naive,20k,0.67
12.0,103.907562,183.11137485644167,one_stage_transit_linear_kill,A2780Naive,20k,0.67
13.0,71.52523133333334,140.4854552168142,one_stage_transit_linear_kill,A2780Naive,20k,0.67
14.0,36.60995366666666,107.1094590731156,one_stage_transit_linear_kill,A2780Naive,20k,0.67
1.0,164.83707566666666,164.83707566666666,population_balance_sr,A2780Naive,20k,1.0
2.0,310.328588,288.99881291932087,population_balance_sr,A2780Naive,20k,1.0
3.0,498.45925933333325,476.21508429228675,population_balance_sr,A2780Naive,20k,1.0
4.0,690.7097223333334,719.4756059096459,population_balance_sr,A2780Naive,20k,1.0
5.0,804.9089893333334,981.0294849140887,population_balance_sr,A2780Naive,20k,1.0
6.0,1188.2886573333333,1210.7671423081147,population_balance_sr,A2780Naive,20k,1.0
7.0,1563.5381556666664,1379.4125317085318,population_balance_sr,A2780Naive,20k,1.0
8.0,1634.130247,1487.7777625908006,population_balance_sr,A2780Naive,20k,1.0
9.0,1556.192554,1552.271413684312,population_balance_sr,A2780Naive,20k,1.0
10.0,1522.992284,1591.6231956429763,population_balance_sr,A2780Naive,20k,1.0
11.0,1608.247685333333,1625.9627808724224,population_balance_sr,A2780Naive,20k,1.0
12.0,1500.9281636666667,1692.6392046584583,population_balance_sr,A2780Naive,20k,1.0
13.0,2011.2254243333334,1895.332309856825,population_balance_sr,A2780Naive,20k,1.0
14.0,2445.406712666667,2467.797419445401,population_balance_sr,A2780Naive,20k,1.0
1.0,305.18962200000004,305.18962200000004,one_stage_transit_linear_kill,A2780Naive,20k,1.47
2.0,465.63738433333333,494.2485194249232,one_stage_transit_linear_kill,A2780Naive,20k,1.47
3.0,790.214892,724.7240321499442,one_stage_transit_linear_kill,A2780Naive,20k,1.47
4.0,880.948534,990.4079377012067,one_stage_transit_linear_kill,A2780Naive,20k,1.47
5.0,1277.0010803333332,1279.5120144521563,one_stage_transit_linear_kill,A2780Naive,20k,1.47
6.0,1612.01223,1578.049915215594,one_stage_transit_linear_kill,A2780Naive,20k,1.47
7.0,2016.4244216666668,1873.8015995362884,one_stage_transit_linear_kill,A2780Naive,20k,1.47
8.0,2081.411111,2158.617531951458,one_stage_transit_linear_kill,A2780Naive,20k,1.47
9.0,2395.0547066666663,2428.4966922294943,one_stage_transit_linear_kill,A2780Naive,20k,1.47
10.0,2537.1984183333334,2682.3887714543125,one_stage_transit_linear_kill,A2780Naive,20k,1.47
11.0,3073.8874999999994,2920.841752970565,one_stage_transit_linear_kill,A2780Naive,20k,1.47
12.0,3042.368325666667,3145.039444195185,one_stage_transit_linear_kill,A2780Naive,20k,1.47
