time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
0.0,67.0,67.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,305.18962200000004,160.16569858432067,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,465.63738433333333,370.9400659171271,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,790.214892,800.0379752495791,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,880.948534,1422.3836406821752,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1277.0010803333332,2070.606203879311,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1612.01223,2585.5503934068383,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,2016.4244216666668,2914.7947309183182,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,2081.411111,3097.410167566991,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,2395.0547066666663,3190.9611253524363,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,2537.1984183333334,3237.0240580593336,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,3073.8874999999994,3259.301950587767,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,3042.368325666667,3270.000663259472,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3537.7463733333334,3275.1288269613333,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,3458.3808643333336,3277.587886915223,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,164.83707566666666,160.16569858432067,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,310.328588,370.9400659171271,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,498.45925933333325,794.8878079324616,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,690.7097223333334,1216.8506156903054,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,804.9089893333334,1448.1519048560838,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1188.2886573333333,1544.4324253364134,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,1563.5381556666664,1575.621379860294,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,1634.130247,1580.9140673873824,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,1556.192554,1577.533468970973,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
