time,observed,prediction,best_model,cell_line,density,dose
1.0,82.57476866666666,82.57476866666666,anchored_linear_kill,A2780cis,20k,1.0
2.0,153.74926733333334,160.39415589471065,anchored_linear_kill,A2780cis,20k,1.0
3.0,298.6227236666667,305.22303660276,anchored_linear_kill,A2780cis,20k,1.0
4.0,584.2937496666667,559.6687257301284,anchored_linear_kill,A2780cis,20k,1.0
5.0,1028.8575233333333,964.505445061565,anchored_linear_kill,A2780cis,20k,1.0
6.0,1728.4681713333332,1517.0077226287692,anchored_linear_kill,A2780cis,20k,1.0
7.0,2346.5103780000004,2131.889272604244,anchored_linear_kill,A2780cis,20k,1.0
8.0,2305.3690973333332,2678.523072709615,anchored_linear_kill,A2780cis,20k,1.0
9.0,3049.6326773333335,3075.583690279773,anchored_linear_kill,A2780cis,20k,1.0
10.0,3134.858873333333,3323.6539137710492,anchored_linear_kill,A2780cis,20k,1.0
11.0,3720.5385029999998,3464.3446852137804,anchored_linear_kill,A2780cis,20k,1.0
12.0,2824.6677086666664,3539.788662426101,anchored_linear_kill,A2780cis,20k,1.0
13.0,3906.9917053333334,3579.032050199459,anchored_linear_kill,A2780cis,20k,1.0
14.0,4011.9759260000005,3599.1221983708347,anchored_linear_kill,A2780cis,20k,1.0
