time,observed,prediction,best_model,cell_line,density,dose
1.0,683.0949846666667,683.0949846666667,one_stage_transit_linear_kill,A2780Naive,30k,0.67
2.0,962.59946,1163.0755818832595,one_stage_transit_linear_kill,A2780Naive,30k,0.67
3.0,1293.4153163333333,1303.8158618916732,one_stage_transit_linear_kill,A2780Naive,30k,0.67
4.0,1242.3761956666667,1262.712477564055,one_stage_transit_linear_kill,A2780Naive,30k,0.67
5.0,1196.6721066666667,1134.1053540977798,one_stage_transit_linear_kill,A2780Naive,30k,0.67
6.0,1151.6981093333334,972.7016940093549,one_stage_transit_linear_kill,A2780Naive,30k,0.67
7.0,908.6366510000001,808.6907381179876,one_stage_transit_linear_kill,A2780Naive,30k,0.67
8.0,684.2957563333333,657.406691907837,one_stage_transit_linear_kill,A2780Naive,30k,0.67
9.0,451.471335,525.4362431612604,one_stage_transit_linear_kill,A2780Naive,30k,0.67
10.0,351.6421293333333,414.42400861572867,one_stage_transit_linear_kill,A2780Naive,30k,0.67
11.0,239.04888100000002,323.40013995218897,one_stage_transit_linear_kill,A2780Naive,30k,0.67
12.0,153.48256166666667,250.16908417615295,one_stage_transit_linear_kill,A2780Naive,30k,0.67
13.0,115.12735333333332,192.10959324618142,one_stage_transit_linear_kill,A2780Naive,30k,0.67
14.0,60.396604999999994,146.61159220050695,one_stage_transit_linear_kill,A2780Naive,30k,0.67
