time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
0.0,67.0,67.0,true,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,305.18962200000004,121.61315283096721,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,465.63738433333333,315.5462177249273,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,790.214892,719.9817684650761,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,880.948534,1290.5899108428894,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1277.0010803333332,1881.6662159332423,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1612.01223,2368.082982747715,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,2016.4244216666668,2710.333259319721,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,2081.411111,2928.4576881504026,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,2395.0547066666663,3059.462136832171,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,2537.1984183333334,3135.4771073075162,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,3073.8874999999994,3178.7273930878778,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,3042.368325666667,3203.065097984553,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3537.7463733333334,3216.675947247772,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,3458.3808643333336,3224.2616210589104,false,joint_anchored_hill_kill,shared,A2780Naive,20k,0.67,IC25,0.25,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,164.83707566666666,95.3264105213428,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,310.328588,205.58917155412277,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,498.45925933333325,420.13406264834646,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,690.7097223333334,719.2114612873465,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,804.9089893333334,1044.894084676779,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1188.2886573333333,1337.870738153192,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,1563.5381556666664,1567.031863616215,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,1634.130247,1729.821212514293,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,1556.192554,1838.3733486182339,false,joint_anchored_hill_kill,shared,A2780Naive,20k,1.0,IC50,0.5,baranyi_theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
