time,observed,predicted,model,cell_line,density,dose
1.0,470.381366,470.381366,simeoni_transit_compartment,A2780Naive,20k,1.47
2.0,658.348264,691.740301527346,simeoni_transit_compartment,A2780Naive,20k,1.47
3.0,910.885918,770.4025651700792,simeoni_transit_compartment,A2780Naive,20k,1.47
4.0,928.761304,766.5302577406218,simeoni_transit_compartment,A2780Naive,20k,1.47
5.0,914.7665896666667,717.5425030847124,simeoni_transit_compartment,A2780Naive,20k,1.47
6.0,867.7298226666667,646.5582613767887,simeoni_transit_compartment,A2780Naive,20k,1.47
7.0,681.9129633333333,567.6192853635654,simeoni_transit_compartment,A2780Naive,20k,1.47
8.0,481.738503,488.9848309397121,simeoni_transit_compartment,A2780Naive,20k,1.47
9.0,333.6756173333333,415.2414051349575,simeoni_transit_compartment,A2780Naive,20k,1.47
10.0,232.34174399999998,348.66671550552826,simeoni_transit_compartment,A2780Naive,20k,1.47
11.0,155.3204476666667,290.11526293551884,simeoni_transit_compartment,A2780Naive,20k,1.47
12.0,103.907562,239.59287120576832,simeoni_transit_compartment,A2780Naive,20k,1.47
13.0,71.52523133333334,196.62710526210049,simeoni_transit_compartment,A2780Naive,20k,1.47
14.0,36.60995366666666,160.50313721376247,simeoni_transit_compartment,A2780Naive,20k,1.47
1.0,470.381366,470.381366,time_decay_kill_fixed,A2780Naive,20k,1.47
2.0,658.348264,453.0575899072454,time_decay_kill_fixed,A2780Naive,20k,1.47
3.0,910.885918,437.72234895256486,time_decay_kill_fixed,A2780Naive,20k,1.47
4.0,928.761304,424.06796643566156,time_decay_kill_fixed,A2780Naive,20k,1.47
5.0,914.7665896666667,411.8469144922151,time_decay_kill_fixed,A2780Naive,20k,1.47
6.0,867.7298226666667,400.8577954468507,time_decay_kill_fixed,A2780Naive,20k,1.47
7.0,681.9129633333333,390.93506693399456,time_decay_kill_fixed,A2780Naive,20k,1.47
8.0,481.738503,381.9413968792199,time_decay_kill_fixed,A2780Naive,20k,1.47
9.0,333.6756173333333,373.76189586249706,time_decay_kill_fixed,A2780Naive,20k,1.47
10.0,232.34174399999998,366.2997115999524,time_decay_kill_fixed,A2780Naive,20k,1.47
11.0,155.3204476666667,359.47261302499044,time_decay_kill_fixed,A2780Naive,20k,1.47
12.0,103.907562,353.2103317739643,time_decay_kill_fixed,A2780Naive,20k,1.47
13.0,71.52523133333334,347.45246785691177,time_decay_kill_fixed,A2780Naive,20k,1.47
14.0,36.60995366666666,342.14680108010197,time_decay_kill_fixed,A2780Naive,20k,1.47
1.0,470.381366,470.381366,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
2.0,658.348264,453.05754050311225,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
3.0,910.885918,437.7222572808862,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
4.0,928.761304,424.06783821426995,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
5.0,914.7665896666667,411.8467543585765,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
6.0,867.7298226666667,400.857607204562,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
7.0,681.9129633333333,390.9348537343898,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
8.0,481.738503,381.94116135777927,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
9.0,333.6756173333333,373.76164024158163,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
10.0,232.34174399999998,366.2994377686966,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
11.0,155.3204476666667,359.472322603933,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
12.0,103.907562,353.2100261596037,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
13.0,71.52523133333334,347.45214826050983,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
14.0,36.60995366666666,342.1464685624775,time_decay_kill_dose_scaled,A2780Naive,20k,1.47
1.0,164.83707566666666,164.83707566666666,simeoni_transit_compartment,A2780Naive,20k,1.0
2.0,310.328588,253.90415201826312,simeoni_transit_compartment,A2780Naive,20k,1.0
3.0,498.45925933333325,360.38394139863715,simeoni_transit_compartment,A2780Naive,20k,1.0
4.0,690.7097223333334,500.3866527087258,simeoni_transit_compartment,A2780Naive,20k,1.0
5.0,804.9089893333334,675.689841938832,simeoni_transit_compartment,A2780Naive,20k,1.0
