time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
0.0,67.0,67.0,A2780Naive,20k,0.67,IC25,independent_onset_gradual
1.0,305.18962200000004,139.44416166398418,A2780Naive,20k,0.67,IC25,independent_onset_gradual
2.0,465.63738433333333,400.20786466686735,A2780Naive,20k,0.67,IC25,independent_onset_gradual
3.0,790.214892,955.9594692423939,A2780Naive,20k,0.67,IC25,independent_onset_gradual
4.0,880.948534,1674.4951251870405,A2780Naive,20k,0.67,IC25,independent_onset_gradual
5.0,1277.0010803333332,2321.3893643019005,A2780Naive,20k,0.67,IC25,independent_onset_gradual
6.0,1612.01223,2777.9649532389803,A2780Naive,20k,0.67,IC25,independent_onset_gradual
7.0,2016.4244216666668,3054.365466831456,A2780Naive,20k,0.67,IC25,independent_onset_gradual
8.0,2081.411111,3206.6708285935842,A2780Naive,20k,0.67,IC25,independent_onset_gradual
9.0,2395.0547066666663,3285.6654407810274,A2780Naive,20k,0.67,IC25,independent_onset_gradual
10.0,2537.1984183333334,3324.8172470536324,A2780Naive,20k,0.67,IC25,independent_onset_gradual
11.0,3073.8874999999994,3343.3960882830365,A2780Naive,20k,0.67,IC25,independent_onset_gradual
12.0,3042.368325666667,3351.750349598286,A2780Naive,20k,0.67,IC25,independent_onset_gradual
13.0,3537.7463733333334,3355.2073398433117,A2780Naive,20k,0.67,IC25,independent_onset_gradual
14.0,3458.3808643333336,3356.423082123421,A2780Naive,20k,0.67,IC25,independent_onset_gradual
0.0,67.0,67.0,A2780Naive,20k,1.0,IC50,independent_onset_gradual
1.0,164.83707566666666,139.44416166398418,A2780Naive,20k,1.0,IC50,independent_onset_gradual
2.0,310.328588,400.20786466686735,A2780Naive,20k,1.0,IC50,independent_onset_gradual
3.0,498.45925933333325,927.0460049144108,A2780Naive,20k,1.0,IC50,independent_onset_gradual
4.0,690.7097223333334,1407.1485392606694,A2780Naive,20k,1.0,IC50,independent_onset_gradual
5.0,804.9089893333334,1652.2854673544014,A2780Naive,20k,1.0,IC50,independent_onset_gradual
6.0,1188.2886573333333,1714.5864159417424,A2780Naive,20k,1.0,IC50,independent_onset_gradual
7.0,1563.5381556666664,1689.7598846350672,A2780Naive,20k,1.0,IC50,independent_onset_gradual
8.0,1634.130247,1637.5711980182791,A2780Naive,20k,1.0,IC50,independent_onset_gradual
9.0,1556.192554,1584.6674398435255,A2780Naive,20k,1.0,IC50,independent_onset_gradual
10.0,1522.992284,1540.18740398402,A2780Naive,20k,1.0,IC50,independent_onset_gradual
11.0,1608.247685333333,1505.7647441979675,A2780Naive,20k,1.0,IC50,independent_onset_gradual
12.0,1500.9281636666667,1480.3053977397597,A2780Naive,20k,1.0,IC50,independent_onset_gradual
13.0,2011.2254243333334,1462.0009909604173,A2780Naive,20k,1.0,IC50,independent_onset_gradual
14.0,2445.406712666667,1449.0955007856876,A2780Naive,20k,1.0,IC50,independent_onset_gradual
0.0,67.0,67.0,A2780Naive,20k,1.47,IC75,independent_onset_gradual
1.0,470.381366,139.44416166398418,A2780Naive,20k,1.47,IC75,independent_onset_gradual
2.0,658.348264,400.20786466686735,A2780Naive,20k,1.47,IC75,independent_onset_gradual
3.0,910.885918,884.2499617284611,A2780Naive,20k,1.47,IC75,independent_onset_gradual
4.0,928.761304,1073.9826081228337,A2780Naive,20k,1.47,IC75,independent_onset_gradual
5.0,914.7665896666667,961.7528610150755,A2780Naive,20k,1.47,IC75,independent_onset_gradual
6.0,867.7298226666667,773.4278449013838,A2780Naive,20k,1.47,IC75,independent_onset_gradual
7.0,681.9129633333333,610.5684989552725,A2780Naive,20k,1.47,IC75,independent_onset_gradual
8.0,481.738503,490.5296667274998,A2780Naive,20k,1.47,IC75,independent_onset_gradual
9.0,333.6756173333333,405.96342769591945,A2780Naive,20k,1.47,IC75,independent_onset_gradual
10.0,232.34174399999998,346.7066092082894,A2780Naive,20k,1.47,IC75,independent_onset_gradual
11.0,155.3204476666667,304.7976485426076,A2780Naive,20k,1.47,IC75,independent_onset_gradual
12.0,103.907562,274.74270982580094,A2780Naive,20k,1.47,IC75,independent_onset_gradual
13.0,71.52523133333334,252.87681788760003,A2780Naive,20k,1.47,IC75,independent_onset_gradual
14.0,36.60995366666666,236.75792429522934,A2780Naive,20k,1.47,IC75,independent_onset_gradual
0.0,100.0,100.0,A2780Naive,30k,0.67,IC25,independent_onset_gradual
1.0,507.5015816666667,184.66384214047653,A2780Naive,30k,0.67,IC25,independent_onset_gradual
2.0,801.887693,451.8060882775562,A2780Naive,30k,0.67,IC25,independent_onset_gradual
3.0,1336.278318,972.967577758835,A2780Naive,30k,0.67,IC25,independent_onset_gradual
4.0,1623.1049383333336,1623.2318933826325,A2780Naive,30k,0.67,IC25,independent_onset_gradual
5.0,2076.8491126666668,2216.848404178375,A2780Naive,30k,0.67,IC25,independent_onset_gradual
6.0,2482.367592666667,2655.646005007035,A2780Naive,30k,0.67,IC25,independent_onset_gradual
7.0,2895.899845666667,2938.767988780455,A2780Naive,30k,0.67,IC25,independent_onset_gradual
8.0,2949.133024666667,3106.677722339251,A2780Naive,30k,0.67,IC25,independent_onset_gradual
9.0,3220.295872,3201.179531892888,A2780Naive,30k,0.67,IC25,independent_onset_gradual
10.0,2758.7708333333335,3252.5675722816377,A2780Naive,30k,0.67,IC25,independent_onset_gradual
11.0,3434.9652003333335,3279.8061366022484,A2780Naive,30k,0.67,IC25,independent_onset_gradual
12.0,3115.501775,3293.920975892766,A2780Naive,30k,0.67,IC25,independent_onset_gradual
13.0,3633.6489583333337,3301.0613903469316,A2780Naive,30k,0.67,IC25,independent_onset_gradual
14.0,3423.783179,3304.568095499877,A2780Naive,30k,0.67,IC25,independent_onset_gradual
0.0,100.0,100.0,A2780Naive,30k,1.0,IC50,independent_onset_gradual
1.0,277.1990353333333,184.66384214047653,A2780Naive,30k,1.0,IC50,independent_onset_gradual
2.0,512.5472606666666,451.8060882775562,A2780Naive,30k,1.0,IC50,independent_onset_gradual
3.0,810.4685956666666,946.0999979681402,A2780Naive,30k,1.0,IC50,independent_onset_gradual
4.0,1072.5972223333333,1382.333797180911,A2780Naive,30k,1.0,IC50,independent_onset_gradual
5.0,1220.3375386666667,1612.2943256262395,A2780Naive,30k,1.0,IC50,independent_onset_gradual
6.0,1524.2378856666667,1680.6025721815781,A2780Naive,30k,1.0,IC50,independent_onset_gradual
7.0,1784.3173613333336,1667.2564556038428,A2780Naive,30k,1.0,IC50,independent_onset_gradual
8.0,1754.768094,1624.7866933180069,A2780Naive,30k,1.0,IC50,independent_onset_gradual
