model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,ic_mapping,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780Naive,20k/30k,NaN,-269.6558676467345,1.4235476543796258e7,2.469809405960445,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,0.7927546641068488,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [4.999387164462106, 1.222478981356482, 2.3471524249683173, 0.514804141403903, 2.439745463136305, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,shared,true,A2780Naive,20k/30k,NaN,-267.97205648953707,1.4251849428732624e7,2.656299992014846,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.7692396465450795,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [4.999533285837928, 4.766484543524134, 2.928086947571293, 0.7477788798353082, 0.5917744590427685], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,shared,true,A2780Naive,20k/30k,NaN,-265.8308575281755,1.5413684322564002e7,2.7248806741739244,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,0.8249213041596088,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [4.9235312495903, 1.1792539485150226, 2.421548670652687, 0.5148006898854487, 2.4549246250747125], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,partial_5pct,true,A2780Naive,20k/30k,NaN,-262.04757583812204,1.4449188970187064e7,2.7039560019153828,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.7756210845319729,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair, :log_contrast_effect], values = [4.767505694350136, 4.703739378305465, 2.9530701705990023, 0.6657689752174627, 0.6563275615019363, 0.007030395664304627], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,partial_5pct,true,A2780Naive,20k/30k,NaN,-253.4887009792594,2.0818019715692367e7,3.156156762365733,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.5545079220049121,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [1.7150912952382984, 4.999999999999534, 2.981403870273749, 0.43376812561339173, -0.048788297548006614], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,shared,true,A2780Naive,20k/30k,NaN,-249.65422940163182,2.2083046671069495e7,3.4825032613379068,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.5907117947844425,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [1.7574872434488018, 4.999838591846352, 2.9914990274780626, 0.4270476938907343], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-246.41499070149726,1.994974935308688e7,2.9309378364304886,8,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.5491999047225353,survival_or_regrowth,"(names = [:emax_20k, :lambda_20k, :t_onset_20k, :k_clear_20k, :emax_30k, :lambda_30k, :t_onset_30k, :k_clear_30k], values = [1.8071990130292412, 1.1896377466827743, 2.352058476755894, 0.5209467806925259, 1.5999364135185978, 2.1329076948026295, 3.045485602210897, 0.4187970048430473], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,shared,true,A2780Naive,20k/30k,NaN,-245.08582886450864,1.7795682731739458e7,3.6771466472938137,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,early logistic growth followed by accumulating kill,,0.10041291120739704,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda], values = [4.997794290111719, 0.8859970998332591, 2.6401603099602324, 0.09471748791341522], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,partial_5pct,true,A2780Naive,20k/30k,NaN,-239.72504308918212,2.115726212364097e7,3.5270446972516516,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,2.0583042351860237,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [1.3440844968184626, 2.8072868906517895e-13, 0.5213367117209418, 2.361647132901233, 8.889741820397333e-14, -0.048755688213983364], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,partial_5pct,true,A2780Naive,20k/30k,NaN,-237.48779645932657,1.86866245685054e7,3.8184402645899373,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,early logistic growth followed by accumulating kill,,0.21764858726168423,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :log_contrast_effect], values = [3.8107935125083463, 0.7644881889776318, 2.907633297046155, 0.10296078427430368, 0.006365181927120961], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
