model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_two_population,partial_5pct,true,A2780cis,20k/30k,NaN,-365.2951998536487,1.1687176617724039e7,0.7910275404453079,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.25248243027452577,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [4.99999999992966, 0.2943759667041902, 4.999999999999534, 6.7675969359762975, 0.6682206332619991, 0.04764453702508782], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,shared,true,A2780cis,20k/30k,NaN,-365.1389484295609,1.2421250352775365e7,0.8354251353787808,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.31539565032976347,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [0.8479898568793349, 0.2053389106029836, 4.999999999999534, 6.481852075730467, 0.434350058550341], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,shared,true,A2780cis,20k/30k,NaN,-363.75397317211076,1.311784048413962e7,0.8953156692522858,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.18870910837224553,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [0.35704995467596723, 4.99991237058455, 5.600867783718511, 2.2909599194710193], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,shared,true,A2780cis,20k/30k,NaN,-362.86274164277756,1.2517270452612089e7,0.8583727444930062,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,delayed switch from logistic growth to extinction,,0.20644106538505885,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [0.45610976353235666, 0.608740508267527, 2.240729731784151, 4.763729185083579, 5.82432970718944], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,partial_5pct,true,A2780cis,20k/30k,NaN,-359.5176388285796,1.309358239298998e7,0.8932451719398644,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.18916114894840869,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [0.35719006830040745, 4.999849397074434, 5.596129262778307, 2.2913529376308155, 0.0019096192342303447], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,shared,true,A2780cis,20k/30k,NaN,-357.51794618963544,1.3172744884107392e7,0.9147647757923296,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.20808689403171376,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [0.30715249725273647, 4.987919994000429, 4.14731658013388, 0.20463670576360435, 0.8301309102754981], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780cis,20k/30k,NaN,-355.37938881922923,1.3063953917761317e7,0.8901394660439255,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,false,delayed switch from logistic growth to extinction,,0.21593238628389022,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [0.3313687046232238, 0.5553563961160066, 5.051550396356756, 4.893361323856429, 5.553737182232014, 0.003175599304594469], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,partial_5pct,true,A2780cis,20k/30k,NaN,-352.91539609129023,1.3211319851357866e7,0.9166368742359241,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.21143231717390382,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair, :log_contrast_effect], values = [0.2921894016019645, 4.570829187162973, 4.200298102537605, 0.16384717485456177, 1.0020885881030326, 0.0013820553962716406], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,partial_5pct,true,A2780cis,20k/30k,NaN,-347.58485326802895,1.4726875741362289e7,1.0295921817793827,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,early logistic growth followed by accumulating kill,,-1.837820036978269,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :log_contrast_effect], values = [7.474681677842504, 0.9846475793777596, 2.658946815231021, 0.010000003628897441, 0.04879016416942293], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,shared,true,A2780cis,20k/30k,NaN,-347.2936259662026,1.5533311903204795e7,1.0891282379402476,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,early logistic growth followed by accumulating kill,,-0.5369012395275483,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda], values = [1.148864525766572, 0.5639183278579192, 7.371682585873414, 0.02526451916655138], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,independent_diagnostic,false,A2780cis,20k/30k,NaN,-340.4047338319733,1.2496087500510989e7,0.861484083069151,10,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.18848092854727766,survival_or_regrowth,"(names = [:emax_20k, :ec50_bound_20k, :hill_n_20k, :k_efflux_20k, :k_repair_20k, :emax_30k, :ec50_bound_30k, :hill_n_30k, :k_efflux_30k, :k_repair_30k], values = [0.44172366937998814, 4.385842105817503, 3.3072426205253262, 1.4406970135516899, 0.1863873032874184, 0.6731677808339945, 3.397520855711582, 2.1402952892218767, 2.4896543795439907, 0.16563057097067935], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,independent_diagnostic,false,A2780cis,20k/30k,NaN,-336.6548400884403,1.3209134216394722e7,0.9008134353186659,10,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,-0.28004975578580366,eventual_extinction,"(names = [:emax_sensitive_20k, :emax_tolerant_20k, :lambda_20k, :t_onset_20k, :f_tolerant0_20k, :emax_sensitive_30k, :emax_tolerant_30k, :lambda_30k, :t_onset_30k, :f_tolerant0_30k], values = [1.5895149691734975, 0.9184031623728903, 0.03544885638049934, 2.2245490058432456, 0.6282765275627707, 1.7900056538993676, 0.29496820096722604, 0.22571166623420685, 4.968413265838685, 0.34084644804621866], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,independent_diagnostic,false,A2780cis,20k/30k,NaN,-333.47879472941906,1.4971958126724431e7,1.039613069150134,8,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,early logistic growth followed by accumulating kill,,-0.432932701208036,eventual_extinction,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k], values = [0.9600158406959065, 0.5479517746277077, 9.971187824814747, 0.024353390507842163, 2.3916387786205737, 0.4828464835201296, 3.243567305102619, 0.01404450617814676], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,independent_diagnostic,false,A2780cis,20k/30k,NaN,-329.6365444727562,1.4239298464154724e7,0.9793110462760257,10,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,delayed switch from logistic growth to extinction,,-0.40260113236419887,eventual_extinction,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :t_onset_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k, :t_onset_30k], values = [0.9629258569741791, 0.539702306954272, 7.578881687038855, 0.03815795602412609, 2.1544583098585397, 0.6127048637320374, 0.5255093543722017, 7.509263185825038, 0.06489272667390293, 0.38815481783078926], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,shared,true,A2780cis,20k/30k,NaN,-329.61179138931544,1.9284364702480648e7,1.4171154668823862,3,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax, :ec50_uM, :hill_n], values = [2.9510731665322822, 3.597811100296149, 3.43077858215088], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
