parameter,original_upper,candidate_upper,original_bic,candidate_bic,bic_improvement,estimate,upper_margin_fraction,accepted,cell_line,model,pooling_mode
emax,5.0,7.5,-252.63916797651035,-252.84392602864546,0.20475805213510512,5.840107176574383,0.22131904312341558,false,A2780Naive,joint_ic_effect_hill_ramp,shared
emax,5.0,10.0,-252.63916797651035,-252.8439250698528,0.20475709334243675,5.839622287447762,0.4160377712552238,false,A2780Naive,joint_ic_effect_hill_ramp,shared
ec50_effect,1.0,1.5,-252.63916797651035,-252.67889744317648,0.039729466666130975,1.039046647546828,0.3178988637608082,false,A2780Naive,joint_ic_effect_hill_ramp,shared
ec50_effect,1.0,2.0,-252.63916797651035,-252.67889796726723,0.039729990756882216,1.039129414668524,0.4927541463238339,false,A2780Naive,joint_ic_effect_hill_ramp,shared
ec50_effect,1.0,1.5,-289.90011576941333,-292.78528265835314,2.885166888939807,1.4992886563593972,0.0004905818211053576,false,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
ec50_effect,1.0,2.0,-289.90011576941333,-293.1131580890007,3.213042319587373,1.6327577693463946,0.18832934905313098,true,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
ec50_effect,1.0,1.5,-174.64241014388185,-175.1255542612996,0.48314411741776553,1.499999727675198,1.87810208304813e-7,false,A2780Naive,joint_ic_effect_logistic_hill,shared
ec50_effect,1.0,2.0,-174.64241014388185,-175.29228836116891,0.6498782172870676,1.9669416823125214,0.016952983429476196,false,A2780Naive,joint_ic_effect_logistic_hill,shared
emax,5.0,7.5,-253.7195110373652,-253.8423730328391,0.12286199547389742,5.571259140245511,0.25716544796726526,false,A2780Naive,joint_ic_effect_hill_ramp,partial_5pct
emax,5.0,10.0,-253.7195110373652,-253.84238079540452,0.12286975803931455,5.571201944153303,0.44287980558466966,false,A2780Naive,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,1.0,1.5,-253.7195110373652,-253.83997283477308,0.12046179740787011,1.0644466464132887,0.3003816231632492,false,A2780Naive,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,1.0,2.0,-253.7195110373652,-253.8399773768442,0.12046633947898044,1.0643622423193293,0.47981423470803625,false,A2780Naive,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,1.0,1.5,-286.94518698069464,-297.0765395465744,10.131352565879752,1.4881374552514737,0.00818106534381126,false,A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct
ec50_effect,1.0,2.0,-286.94518698069464,-297.5391781275575,10.593991146862834,1.6605238110330331,0.17409035331639325,true,A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct
ec50_effect,1.0,1.5,-172.34756649983944,-172.8244432702012,0.47687677036174136,1.4999996841481638,2.1782885258011416e-7,false,A2780Naive,joint_ic_effect_logistic_hill,partial_5pct
ec50_effect,1.0,2.0,-172.34756649983944,-172.9880429485445,0.6404764487050443,1.999999873224682,6.501298360060942e-8,false,A2780Naive,joint_ic_effect_logistic_hill,partial_5pct
lambda,5.0,7.5,-273.5254680287334,-273.58395409125114,0.05848606251771571,2.991203448039748,0.6019755076048401,false,A2780Naive,joint_ic_effect_transit_death,partial_5pct
lambda,5.0,10.0,-273.5254680287334,-273.5839563734963,0.05848834476284992,2.9905590690690333,0.7016457388319286,false,A2780Naive,joint_ic_effect_transit_death,partial_5pct
emax,3.0,4.5,-329.61179138931544,-329.6203706428558,0.008579253540347054,4.494164558260823,0.0012967648309282333,false,A2780cis,joint_anchored_hill_kill,shared
emax,3.0,6.0,-329.61179138931544,-329.62435665389324,0.012565264577801827,5.964126965598578,0.0059788390669036256,false,A2780cis,joint_anchored_hill_kill,shared
hill_n,10.0,15.0,-328.6403817594561,-328.89165305868835,0.25127129923225766,4.040072466598008,0.7405356441487831,false,A2780cis,joint_ic_effect_logistic_hill,shared
hill_n,10.0,20.0,-328.6403817594561,-328.8916531469257,0.25127138746961464,4.040014568397486,0.8060598702829552,false,A2780cis,joint_ic_effect_logistic_hill,shared
lambda,5.0,7.5,-363.75397317211076,-363.80325582362735,0.049282651516591613,7.499609471664264,5.213996471780831e-5,false,A2780cis,joint_ic_effect_transit_death,shared
lambda,5.0,10.0,-363.75397317211076,-363.82079230776714,0.06681913565637387,9.999373830300051,6.267964964452206e-5,false,A2780cis,joint_ic_effect_transit_death,shared
lambda,5.0,7.5,-365.1389484295609,-365.2088895585326,0.0699411289716636,7.499952606755084,6.327536036861694e-6,false,A2780cis,joint_ic_effect_two_population,shared
lambda,5.0,10.0,-365.1389484295609,-365.2275636148136,0.0886151852527064,9.998473777014095,0.00015277507366420764,false,A2780cis,joint_ic_effect_two_population,shared
emax,3.0,4.5,-327.0743267937806,-327.0829199801522,0.00859318637162687,4.478853749841369,0.004699166701917908,false,A2780cis,joint_anchored_hill_kill,partial_5pct
emax,3.0,6.0,-327.0743267937806,-327.08670495495295,0.012378161172364344,5.744686016906404,0.04255233051559933,false,A2780cis,joint_anchored_hill_kill,partial_5pct
emax,5.0,7.5,-344.4411184289431,-347.6067931240576,3.1656746951144896,7.499997980976445,2.6920314060892755e-7,false,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
emax,5.0,10.0,-344.4411184289431,-347.58485326802895,3.1437348390858233,7.474681677842504,0.2525318322157496,true,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,1.0,1.5,-347.58485326802895,-347.8869096434152,0.3020563753862575,1.2207439032375316,0.19259041156032305,false,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,1.0,2.0,-347.58485326802895,-347.8878111349019,0.30295786687293,1.2186422701859736,0.40069627169950073,false,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
hill_n,10.0,15.0,-326.04244434304013,-326.31389799758267,0.27145365454254033,4.019526088229005,0.7419239129574996,false,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
hill_n,10.0,20.0,-326.04244434304013,-326.30789445268573,0.2654501096455988,4.069599385615309,0.8045656875951864,false,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
lambda,5.0,7.5,-359.5176388285796,-364.209185386722,4.69154655814242,7.496190684182937,0.0005085868914636415,false,A2780cis,joint_ic_effect_transit_death,partial_5pct
lambda,5.0,10.0,-359.5176388285796,-364.2244347612235,4.7067959326438995,9.996250502142114,0.0003753251108994581,false,A2780cis,joint_ic_effect_transit_death,partial_5pct
emax_sensitive,5.0,7.5,-365.2951998536487,-366.01402513615716,0.718825282508476,7.499996678137216,4.4291503786079527e-7,false,A2780cis,joint_ic_effect_two_population,partial_5pct
emax_sensitive,5.0,10.0,-365.2951998536487,-366.0597343356079,0.764534481959231,8.553041298267958,0.14469587017320418,false,A2780cis,joint_ic_effect_two_population,partial_5pct
lambda,5.0,7.5,-365.2951998536487,-365.43287767868065,0.13767782503197168,7.499628654070657,4.9578895773470216e-5,false,A2780cis,joint_ic_effect_two_population,partial_5pct
lambda,5.0,10.0,-365.2951998536487,-365.4627994710553,0.16759961740660856,9.999413447573852,5.8713956571340406e-5,false,A2780cis,joint_ic_effect_two_population,partial_5pct
