parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
emax,1.909028079065294,0.0,3.0,0.6363426930217647,interior,A2780Naive,joint_anchored_hill_kill,shared
ec50_uM,1.8605058696846906,0.001,10.0,0.18596918388685774,interior,A2780Naive,joint_anchored_hill_kill,shared
hill_n,2.2346127595558767,0.1,6.0,0.36179877280608075,interior,A2780Naive,joint_anchored_hill_kill,shared
k_kill,0.45374114594215126,0.0,8.0,0.05671764324276891,interior,A2780Naive,joint_anchored_linear_kill,shared
emax,4.9999982813582315,0.0,5.0,0.9999996562716463,poorly_identified_at_bound,A2780Naive,joint_ic_effect_hill_ramp,shared
ec50_effect,0.999999999455806,0.05,1.0,0.9999999994271642,poorly_identified_at_bound,A2780Naive,joint_ic_effect_hill_ramp,shared
hill_n,2.067274759068114,0.2,12.0,0.15824362364984015,interior,A2780Naive,joint_ic_effect_hill_ramp,shared
lambda,0.08669636055116837,0.01,5.0,0.01537001213450268,poorly_identified_at_bound,A2780Naive,joint_ic_effect_hill_ramp,shared
emax,4.996687886655644,0.0,5.0,0.9993375773311287,poorly_identified_at_bound,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
ec50_effect,1.6327577693463946,0.05,2.0,0.8116706509468691,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
hill_n,1.7973748499087718,0.2,12.0,0.1353707499922688,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
lambda,0.870720762729818,0.01,5.0,0.17248913080757874,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
t_onset,2.803152609531558,0.0,7.0,0.40045037279022255,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,shared
emax,1.9107875040963267,0.0,4.0,0.4776968760240817,interior,A2780Naive,joint_ic_effect_logistic_hill,shared
ec50_effect,0.9999994123034278,0.05,1.0,0.9999993813720293,poorly_identified_at_bound,A2780Naive,joint_ic_effect_logistic_hill,shared
hill_n,1.8878264422895992,0.2,10.0,0.1722271879887346,interior,A2780Naive,joint_ic_effect_logistic_hill,shared
emax,1.2484635902784798,0.0,5.0,0.24969271805569596,interior,A2780Naive,joint_ic_effect_transit_death,shared
lambda,3.542540684723745,0.01,5.0,0.7079239849145782,interior,A2780Naive,joint_ic_effect_transit_death,shared
t_onset,2.9851497271625407,0.0,7.0,0.4264499610232201,interior,A2780Naive,joint_ic_effect_transit_death,shared
k_clear,0.7288849513197949,0.01,5.0,0.14406512050496892,interior,A2780Naive,joint_ic_effect_transit_death,shared
emax_sensitive,1.1470330698265805,0.0,5.0,0.2294066139653161,interior,A2780Naive,joint_ic_effect_two_population,shared
