model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,ic_mapping,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params,delta_bic,rank_within_cell_line
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780Naive,20k/30k,NaN,-269.6558676467345,1.4235476543796258e7,2.469809405960445,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,0.7927546641068488,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [4.999387164462106, 1.222478981356482, 2.3471524249683173, 0.514804141403903, 2.439745463136305, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
joint_intracellular_platinum_pkpd,shared,true,A2780Naive,20k/30k,NaN,-267.97205648953707,1.4251849428732624e7,2.656299992014846,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.7692396465450795,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [4.999533285837928, 4.766484543524134, 2.928086947571293, 0.7477788798353082, 0.5917744590427685], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",1.6838111571974537,2
joint_ic_effect_hill_ramp_onset,shared,true,A2780Naive,20k/30k,NaN,-265.8308575281755,1.5413684322564002e7,2.7248806741739244,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,0.8249213041596088,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [4.9235312495903, 1.1792539485150226, 2.421548670652687, 0.5148006898854487, 2.4549246250747125], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",3.825010118559021,3
joint_intracellular_platinum_pkpd,partial_5pct,true,A2780Naive,20k/30k,NaN,-262.04757583812204,1.4449188970187064e7,2.7039560019153828,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.7756210845319729,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair, :log_contrast_effect], values = [4.767505694350136, 4.703739378305465, 2.9530701705990023, 0.6657689752174627, 0.6563275615019363, 0.007030395664304627], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",7.608291808612478,4
joint_ic_effect_transit_death,partial_5pct,true,A2780Naive,20k/30k,NaN,-253.4887009792594,2.0818019715692367e7,3.156156762365733,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.5545079220049121,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [1.7150912952382984, 4.999999999999534, 2.981403870273749, 0.43376812561339173, -0.048788297548006614], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",16.16716666747513,5
joint_ic_effect_transit_death,shared,true,A2780cis,20k/30k,NaN,-370.75497675445547,1.226994479683555e7,0.8237203394432043,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.6706550101283905,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [0.7576600196790699, 4.9996918429165325, 5.755485951207974, 0.42180320626046613], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
joint_ic_effect_two_population,shared,true,A2780cis,20k/30k,NaN,-369.535495421195,1.1739984967780102e7,0.7928237140276427,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,1.0375554087430334,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [4.9959046551164965, 0.3182854682504986, 4.967717502061573, 6.763684629082072, 0.5721356652457709], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",1.2194813332604895,2
joint_ic_effect_transit_death,partial_5pct,true,A2780cis,20k/30k,NaN,-368.2846760604617,1.204600922457774e7,0.8047177549614452,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.6908556678839292,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [0.7701305245430076, 4.999999999999534, 5.741056121808119, 0.40430266337564497, 0.04877453132649963], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",2.4703006939937495,3
joint_ic_effect_two_population,partial_5pct,true,A2780cis,20k/30k,NaN,-365.3850316250063,1.170549808912447e7,0.7901820473225744,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,1.0413255373361017,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [4.995282501851306, 0.31944886054496935, 4.999999999999534, 6.762796106096191, 0.5753284241773885, 0.01793498147538755], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",5.36994512944915,4
joint_ic_effect_hill_ramp_onset,shared,true,A2780cis,20k/30k,NaN,-363.85173359616346,1.2412784881291814e7,0.8483257706811037,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,0.976256148546421,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [0.916603704334558, 0.9998831536057072, 2.048547361317873, 4.999999999999534, 5.703985624501075], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",6.903243158292014,5
