model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780Naive,20k/30k,NaN,-297.5391781275575,1.0090438599644216e7,1.772155871107178,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,-0.12449742694042087,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [4.903809929873705, 1.6605238110330331, 1.7600589135382336, 0.8738329954496387, 2.7951914536420643, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,shared,true,A2780Naive,20k/30k,NaN,-293.1131580890007,1.1079142541437158e7,1.9692157075238381,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,-0.09485666459396602,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [4.996687886655644, 1.6327577693463946, 1.7973748499087718, 0.870720762729818, 2.803152609531558], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,partial_5pct,true,A2780Naive,20k/30k,NaN,-273.5254680287334,2.033487426980863e7,2.4863658140059335,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,-0.17904986668219958,eventual_extinction,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [1.2250041361486006, 4.999999999999534, 3.0690546743351113, 0.7664922139338555, -0.04869749881403896], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,shared,true,A2780Naive,20k/30k,NaN,-272.24937677868013,2.1065161439285375e7,2.6611583912719237,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,-0.14759216641728234,eventual_extinction,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [1.2484635902784798, 3.542540684723745, 2.9851497271625407, 0.7288849513197949], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,partial_5pct,true,A2780Naive,20k/30k,NaN,-263.997560897834,1.9269240428750712e7,2.6419090444105353,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.04244694478279731,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [1.128639938280489, 0.9732410242759949, 0.9157109386404516, 2.7918068307327286, 8.889741820397333e-14, -0.047794284144306816], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,shared,true,A2780Naive,20k/30k,NaN,-262.0838421438601,2.001883946476575e7,2.8491820807085757,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,-0.06289245346282701,eventual_extinction,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [1.1470330698265805, 1.1471056326349574, 0.9079690496306285, 2.794356797078004, 0.20507639906876723], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-260.8270616140969,1.9932117122836687e7,2.468844382291247,8,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,-0.15392548133206896,eventual_extinction,"(names = [:emax_20k, :lambda_20k, :t_onset_20k, :k_clear_20k, :emax_30k, :lambda_30k, :t_onset_30k, :k_clear_30k], values = [1.2560479303616392, 1.037020892527141, 2.545017079360308, 1.3481592841319388, 1.2051323030012182, 1.726256782305278, 2.865452044595938, 0.7076724118383445], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-257.77226580462,1.2771646695798391e7,2.3039410543337238,10,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,delayed switch from logistic growth to extinction,,-0.05907512523252456,eventual_extinction,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :t_onset_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k, :t_onset_30k], values = [1.3103221746884526, 0.5039547489148595, 2.477154914241539, 0.9231833381944408, 2.6221141558001104, 1.1381999868809607, 0.5127511440233984, 3.6090599413735784, 0.7231171872388245, 2.7422396985731785], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,partial_5pct,true,A2780Naive,20k/30k,NaN,-253.7195110373652,1.413642357207734e7,3.14749637170655,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,early logistic growth followed by accumulating kill,,-0.9729843741065316,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :log_contrast_effect], values = [4.974385886334477, 0.9995222135880782, 2.0389760659133245, 0.08468616162960856, -0.048741363879348354], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,shared,true,A2780Naive,20k/30k,NaN,-252.63916797651035,1.4990864686900793e7,3.360925492119074,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,early logistic growth followed by accumulating kill,,-0.8828255331779682,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda], values = [4.9999982813582315, 0.999999999455806, 2.067274759068114, 0.08669636055116837], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
