cell_line,density,dose,ic_label,nominal_density,first_observed_value,fixed_u0,u0_time_day,u0_over_K,residual_scale,untreated_growth_family,untreated_r,untreated_K,initial_condition_strategy,nominal_density_ratio,fixed_u0_ratio,first_observed_ratio
A2780Naive,20k,0.67,IC25,20000.0,305.18962200000004,67.0,0.0,0.016376238323949067,3537.7463733333334,logistic_growth,0.8949392852558102,4091.2936582033817,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.6629057644255893
A2780Naive,20k,1.0,IC50,20000.0,164.83707566666666,67.0,0.0,0.016376238323949067,2445.406712666667,logistic_growth,0.8949392852558102,4091.2936582033817,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.6816546533128558
A2780Naive,20k,1.47,IC75,20000.0,470.381366,67.0,0.0,0.016376238323949067,928.761304,logistic_growth,0.8949392852558102,4091.2936582033817,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4522152322391673
A2780Naive,30k,0.67,IC25,30000.0,507.5015816666667,100.0,0.0,0.02517049782785514,3633.6489583333337,logistic_growth,0.849098315055178,3972.9051321875,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.6629057644255893
A2780Naive,30k,1.0,IC50,30000.0,277.1990353333333,100.0,0.0,0.02517049782785514,2521.7536263333336,logistic_growth,0.849098315055178,3972.9051321875,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.6816546533128558
A2780Naive,30k,1.47,IC75,30000.0,683.0949846666667,100.0,0.0,0.02517049782785514,1293.4153163333333,logistic_growth,0.849098315055178,3972.9051321875,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4522152322391673
A2780cis,20k,0.67,IC25,20000.0,79.832716,67.0,0.0,0.017618120450623467,3902.5750386666664,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4921566282842402
A2780cis,20k,1.0,IC50,20000.0,82.57476866666666,67.0,0.0,0.017618120450623467,4011.9759260000005,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4244203473517856
A2780cis,20k,1.47,IC75,20000.0,66.07534733333334,67.0,0.0,0.017618120450623467,3229.3090276666667,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.1181889309982793
A2780cis,30k,0.67,IC25,30000.0,119.12291633333332,100.0,0.0,0.02629570216510965,4146.366087666666,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4921566282842402
A2780cis,30k,1.0,IC50,30000.0,117.62118066666666,100.0,0.0,0.02629570216510965,4116.669907333334,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.4244203473517856
A2780cis,30k,1.47,IC75,30000.0,73.88472200000001,100.0,0.0,0.02629570216510965,3433.938387333333,theta_logistic_growth,0.48686422516273026,3802.90282313452,fixed_nominal_day0_67_for_20k_100_for_30k,1.5,1.492537313432836,1.1181889309982793
