cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_pct,lower_bound,upper_bound,bound_position,parameter_scope
A2780Naive,joint_anchored_hill_kill,shared,20k,emax,1.909028079065294,1.909028079065294,0.0,0.0,3.0,0.6363426930217647,shared
A2780Naive,joint_anchored_hill_kill,shared,20k,ec50_uM,1.8605058696846906,1.8605058696846906,0.0,0.001,10.0,0.18596918388685774,shared
A2780Naive,joint_anchored_hill_kill,shared,20k,hill_n,2.2346127595558767,2.2346127595558767,0.0,0.1,6.0,0.36179877280608075,shared
A2780Naive,joint_anchored_hill_kill,shared,30k,emax,1.909028079065294,1.909028079065294,0.0,0.0,3.0,0.6363426930217647,shared
A2780Naive,joint_anchored_hill_kill,shared,30k,ec50_uM,1.8605058696846906,1.8605058696846906,0.0,0.001,10.0,0.18596918388685774,shared
A2780Naive,joint_anchored_hill_kill,shared,30k,hill_n,2.2346127595558767,2.2346127595558767,0.0,0.1,6.0,0.36179877280608075,shared
A2780Naive,joint_anchored_linear_kill,shared,20k,k_kill,0.45374114594215126,0.45374114594215126,0.0,0.0,8.0,0.05671764324276891,shared
A2780Naive,joint_anchored_linear_kill,shared,30k,k_kill,0.45374114594215126,0.45374114594215126,0.0,0.0,8.0,0.05671764324276891,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,20k,emax,4.9999982813582315,4.9999982813582315,0.0,0.0,5.0,0.9999996562716463,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,20k,ec50_effect,0.999999999455806,0.999999999455806,0.0,0.05,1.0,0.9999999994271642,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,20k,hill_n,2.067274759068114,2.067274759068114,0.0,0.2,12.0,0.15824362364984015,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,20k,lambda,0.08669636055116837,0.08669636055116837,0.0,0.01,5.0,0.01537001213450268,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,30k,emax,4.9999982813582315,4.9999982813582315,0.0,0.0,5.0,0.9999996562716463,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,30k,ec50_effect,0.999999999455806,0.999999999455806,0.0,0.05,1.0,0.9999999994271642,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,30k,hill_n,2.067274759068114,2.067274759068114,0.0,0.2,12.0,0.15824362364984015,shared
A2780Naive,joint_ic_effect_hill_ramp,shared,30k,lambda,0.08669636055116837,0.08669636055116837,0.0,0.01,5.0,0.01537001213450268,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,20k,emax,4.996687886655644,4.996687886655644,0.0,0.0,5.0,0.9993375773311287,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,20k,ec50_effect,1.6327577693463946,1.6327577693463946,0.0,0.05,1.0,1.66606080983831,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,20k,hill_n,1.7973748499087718,1.7973748499087718,0.0,0.2,12.0,0.1353707499922688,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,20k,lambda,0.870720762729818,0.870720762729818,0.0,0.01,5.0,0.17248913080757874,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,20k,t_onset,2.803152609531558,2.803152609531558,0.0,0.0,7.0,0.40045037279022255,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,30k,emax,4.996687886655644,4.996687886655644,0.0,0.0,5.0,0.9993375773311287,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,30k,ec50_effect,1.6327577693463946,1.6327577693463946,0.0,0.05,1.0,1.66606080983831,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,30k,hill_n,1.7973748499087718,1.7973748499087718,0.0,0.2,12.0,0.1353707499922688,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,30k,lambda,0.870720762729818,0.870720762729818,0.0,0.01,5.0,0.17248913080757874,shared
A2780Naive,joint_ic_effect_hill_ramp_onset,shared,30k,t_onset,2.803152609531558,2.803152609531558,0.0,0.0,7.0,0.40045037279022255,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,20k,emax,1.9107875040963267,1.9107875040963267,0.0,0.0,4.0,0.4776968760240817,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,20k,ec50_effect,0.9999994123034278,0.9999994123034278,0.0,0.05,1.0,0.9999993813720293,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,20k,hill_n,1.8878264422895992,1.8878264422895992,0.0,0.2,10.0,0.1722271879887346,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,30k,emax,1.9107875040963267,1.9107875040963267,0.0,0.0,4.0,0.4776968760240817,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,30k,ec50_effect,0.9999994123034278,0.9999994123034278,0.0,0.05,1.0,0.9999993813720293,shared
A2780Naive,joint_ic_effect_logistic_hill,shared,30k,hill_n,1.8878264422895992,1.8878264422895992,0.0,0.2,10.0,0.1722271879887346,shared
A2780Naive,joint_ic_effect_transit_death,shared,20k,emax,1.2484635902784798,1.2484635902784798,0.0,0.0,5.0,0.24969271805569596,shared
A2780Naive,joint_ic_effect_transit_death,shared,20k,lambda,3.542540684723745,3.542540684723745,0.0,0.01,5.0,0.7079239849145782,shared
A2780Naive,joint_ic_effect_transit_death,shared,20k,t_onset,2.9851497271625407,2.9851497271625407,0.0,0.0,7.0,0.4264499610232201,shared
A2780Naive,joint_ic_effect_transit_death,shared,20k,k_clear,0.7288849513197949,0.7288849513197949,0.0,0.01,5.0,0.14406512050496892,shared
A2780Naive,joint_ic_effect_transit_death,shared,30k,emax,1.2484635902784798,1.2484635902784798,0.0,0.0,5.0,0.24969271805569596,shared
A2780Naive,joint_ic_effect_transit_death,shared,30k,lambda,3.542540684723745,3.542540684723745,0.0,0.01,5.0,0.7079239849145782,shared
A2780Naive,joint_ic_effect_transit_death,shared,30k,t_onset,2.9851497271625407,2.9851497271625407,0.0,0.0,7.0,0.4264499610232201,shared
A2780Naive,joint_ic_effect_transit_death,shared,30k,k_clear,0.7288849513197949,0.7288849513197949,0.0,0.01,5.0,0.14406512050496892,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,emax_sensitive,1.1470330698265805,1.1470330698265805,0.0,0.0,5.0,0.2294066139653161,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,emax_tolerant,1.1471056326349574,1.1471056326349574,0.0,0.0,3.0,0.38236854421165245,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,lambda,0.9079690496306285,0.9079690496306285,0.0,0.01,5.0,0.1799537173608474,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,t_onset,2.794356797078004,2.794356797078004,0.0,0.0,7.0,0.39919382815400056,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,f_tolerant0,0.20507639906876723,0.20507639906876723,0.0,0.0,0.95,0.2158698937565971,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,emax_sensitive,1.1470330698265805,1.1470330698265805,0.0,0.0,5.0,0.2294066139653161,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,emax_tolerant,1.1471056326349574,1.1471056326349574,0.0,0.0,3.0,0.38236854421165245,shared
