model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params,delta_bic,rank_within_cell_line
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780Naive,20k/30k,NaN,-297.5391781275575,1.0090438599644216e7,1.772155871107178,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,-0.12449742694042087,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [4.903809929873705, 1.6605238110330331, 1.7600589135382336, 0.8738329954496387, 2.7951914536420643, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
joint_ic_effect_hill_ramp_onset,shared,true,A2780Naive,20k/30k,NaN,-293.1131580890007,1.1079142541437158e7,1.9692157075238381,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,-0.09485666459396602,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [4.996687886655644, 1.6327577693463946, 1.7973748499087718, 0.870720762729818, 2.803152609531558], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",4.426020038556771,2
joint_intracellular_platinum_pkpd,shared,true,A2780Naive,20k/30k,NaN,-282.3586504970134,1.1881096203788117e7,2.238184839280121,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,-0.18405353310018846,eventual_extinction,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [2.820387663083078, 4.830853722580645, 2.528743133408281, 0.6417249038776988, 0.5729950720809462], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",15.180527630544077,3
joint_intracellular_platinum_pkpd,partial_5pct,true,A2780Naive,20k/30k,NaN,-275.4448265284493,1.2220108917446123e7,2.305332244680614,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,-0.1706875759572264,eventual_extinction,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair, :log_contrast_effect], values = [2.497729830323309, 4.454557841177943, 2.6181287473721957, 0.5722873598503185, 0.6423523471268888, 0.007431920029189257], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",22.094351599108165,4
joint_ic_effect_transit_death,partial_5pct,true,A2780Naive,20k/30k,NaN,-273.5254680287334,2.033487426980863e7,2.4863658140059335,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,-0.17904986668219958,eventual_extinction,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [1.2250041361486006, 4.999999999999534, 3.0690546743351113, 0.7664922139338555, -0.04869749881403896], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",24.01371009882405,5
joint_ic_effect_two_population,partial_5pct,true,A2780cis,20k/30k,NaN,-365.2951998536487,1.1687176617724039e7,0.7910275404453079,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.25248243027452577,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [4.99999999992966, 0.2943759667041902, 4.999999999999534, 6.7675969359762975, 0.6682206332619991, 0.04764453702508782], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
joint_ic_effect_two_population,shared,true,A2780cis,20k/30k,NaN,-365.1389484295609,1.2421250352775365e7,0.8354251353787808,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.31539565032976347,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [0.8479898568793349, 0.2053389106029836, 4.999999999999534, 6.481852075730467, 0.434350058550341], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.15625142408777037,2
joint_ic_effect_transit_death,shared,true,A2780cis,20k/30k,NaN,-363.75397317211076,1.311784048413962e7,0.8953156692522858,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.18870910837224553,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [0.35704995467596723, 4.99991237058455, 5.600867783718511, 2.2909599194710193], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",1.5412266815379212,3
joint_ic_effect_hill_ramp_onset,shared,true,A2780cis,20k/30k,NaN,-362.86274164277756,1.2517270452612089e7,0.8583727444930062,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,delayed switch from logistic growth to extinction,,0.20644106538505885,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [0.45610976353235666, 0.608740508267527, 2.240729731784151, 4.763729185083579, 5.82432970718944], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",2.4324582108711184,4
joint_ic_effect_transit_death,partial_5pct,true,A2780cis,20k/30k,NaN,-359.5176388285796,1.309358239298998e7,0.8932451719398644,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.18916114894840869,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [0.35719006830040745, 4.999849397074434, 5.596129262778307, 2.2913529376308155, 0.0019096192342303447], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",5.777561025069076,5
