parameter,estimate,lower_bound,upper_bound,bound_position,identifiability
naive_emax,4.976947746531369,0.0,5.0,0.9953895493062739,poorly_identified_at_bound
naive_ec50_effect,1.6743678013763035,0.05,2.0,0.8330091289109248,interior
naive_hill_n,1.7603852630742758,0.2,12.0,0.13223603924358268,interior
naive_lambda,0.8670557241316468,0.01,5.0,0.17175465413459853,interior
naive_log_contrast_density,-0.04878978516549798,-0.04879016416943205,0.04879016416943205,3.884019868778603e-6,poorly_identified_at_bound
cis_emax_sensitive,4.999994295137574,0.0,5.0,0.9999988590275148,poorly_identified_at_bound
cis_emax_tolerant,0.29689033512638674,0.0,3.0,0.09896344504212891,interior
cis_f_tolerant0,0.6765256779400239,0.0,0.95,0.7121322925684462,interior
cis_log_contrast_density,0.0487692587839795,-0.04879016416943205,0.04879016416943205,0.9997857622964749,poorly_identified_at_bound
naive_t_onset,2.7958694662995973,0.0,7.0,0.39940992375708534,interior
cis_t_onset,6.901753823721871,0.0,7.0,0.9859648319602673,poorly_identified_at_bound
