start_index,status,bic,scaled_sse,raw_sse,params,message,timing_hypothesis
1,completed,-641.2788106286803,2.5621090699328066,2.182645456194109e7,"[4.941009230472443, 1.6630213091026216, 1.763732832614523, 0.8667758286156066, -0.048790161471716734, 4.999991851393635, 0.29625643770953736, 0.666767849062664, 0.04875881305562825, 2.7978708881760426, 4.9999938651549725, 6.76901784538469]",,independent_onset_gradual
2,completed,-624.6636354089949,2.8284550030197506,2.5075494606501117e7,"[4.831863171942316, 1.6657302739234874, 1.7421263261328201, 1.0418536065744817, -0.04879004982850484, 4.999999899883787, 0.4591654701860805, 0.7842865681925669, 0.035179713761089124, 2.889751459009425, 0.1510812855482208, 3.531517445340443]",,independent_onset_gradual
3,completed,-629.5780559630077,2.746914066499921,2.2603198411038782e7,"[4.907237436015868, 1.7997543881696119, 1.6693943048569366, 2.136500492559015, -0.047928497503321746, 4.999997969792312, 0.30127978408325995, 0.8403003396467829, 0.027195138912608025, 3.186096976029263, 1.8113944953287218, 5.417128168547734]",,independent_onset_gradual
1,completed,-609.900501359246,3.183897931429098,2.8721155849758774e7,"[4.9856540261161175, 1.7608030495918428, 1.7176682384616118, 2.047883270910474, -0.048270202740043136, 4.9999999994180016, 0.19395065421677604, 0.8319022544341532, 0.04866768215646952, 3.2742561401533834, 4.999927728054981]",,shared_onset_gradual
2,completed,-629.0577307794807,2.840769832591968,2.5322585553090908e7,"[4.845393191263347, 1.6636692058378542, 1.7462223930073926, 1.0682485884053399, -0.048789852740502224, 4.9986589844605165, 0.4761591076336507, 0.8582244572504709, 0.025884033864853218, 2.9482104871891837, 0.13293730498460896]",,shared_onset_gradual
3,completed,-612.5439362601782,3.1341922306293295,2.7937421360671718e7,"[4.936130640488436, 1.8080948156853325, 1.6578599974756958, 1.8959655132184114, -0.048790107415464926, 4.999974152401921, 0.20507907163454495, 0.8321479288669466, 0.04814673816273078, 3.2261112984300637, 1.9557691959705295]",,shared_onset_gradual
1,completed,-613.2415803321333,3.0274450631229697,2.6995273052122403e7,"[4.950243955720743, 1.8428628062652297, 1.6095948555864346, 1.1128939925770687, -0.04879013539435953, 4.953254197060545, 0.21624825889875032, 0.8317308608102815, 0.0482368664027613, 3.4214888742801484, 0.4999999895638335, 4.99999733926554]",,partial_onset_0_5day
2,completed,-622.4054185616436,2.8667311089300513,2.5259983191466555e7,"[4.904158563496047, 1.707550551342257, 1.7279544469411812, 1.3337013759141938, -0.04878988314210379, 4.999986782751868, 0.42199157721721375, 0.8093584212778469, 0.04629102163884856, 3.0678760003858363, -0.0017155154063308586, 0.14794213805065154]",,partial_onset_0_5day
3,completed,-607.4534941766693,3.1335669116746803,2.8083323783833355e7,"[4.9359213533773385, 1.7302382787938069, 1.7406314336439308, 2.109328707552702, -0.04875239534071874, 4.999985086312032, 0.202764677784984, 0.832685599981608, 0.046819051503403805, 3.2133546501723096, 0.005799943086484904, 2.0093826807027875]",,partial_onset_0_5day
1,completed,-599.8029732291278,3.381131933043139,3.2311791008323718e7,"[4.307180603922308, 1.485224649873905, 1.8102082763485619, 0.8896595354097733, -0.04878996324284782, 4.998058852461185, 0.13678871616592125, 0.9164352117006299, 0.044972710364210744, 2.7925855512682394, 4.935948373269818]",,cis_gradual_only
2,completed,-623.3661062687701,2.938660309861936,2.6417919435391363e7,"[4.764893600573362, 1.649634730881175, 1.7443570602101675, 1.1094629074145175, -0.04878610689944643, 0.2819431601797793, 0.2990756270083129, 0.8429226123542073, 0.04841198568122207, 2.944087588723623, 0.15289482179951336]",,cis_gradual_only
3,completed,-594.8703149105859,3.481877313675854,3.228789583983501e7,"[4.816413458291175, 1.670004609190302, 1.7673102005170924, 2.049412843090476, -0.04879016414925223, 4.999999381609119, 0.13019377134774754, 0.872226271393564, 0.04779010561369475, 3.1627631838307164, 2.12452399529974]",,cis_gradual_only
1,completed,-646.4850664045895,2.5608543739304235,2.1774560924551003e7,"[4.939278660379828, 1.6668654842342838, 1.7617684361786405, 0.8900142049054918, -0.048790135256530726, 4.999945348763704, 0.2967856171448173, 0.67658905146799, 0.04848845978166455, 2.8124451695277335, 6.902212231992903]",,cis_onset_only
2,completed,-617.8362121936076,3.036998939111319,2.786179685791209e7,"[4.912739809922008, 1.6862020236232775, 1.731280141050327, 0.9260127995554279, -0.0477411416548974, 4.999892080670106, 0.20475286760174677, 0.8896400855074502, 0.048594728675156226, 2.8176990149733383, 3.4160957498082487]",,cis_onset_only
3,completed,-630.3762813083777,2.8185612739047765,2.416851362002971e7,"[4.6839961071324305, 1.633821190698634, 1.7804923195409625, 1.9825506752854754, -0.0455340443270378, 4.999999997897396, 0.28179425565572436, 0.8239637352187561, 0.04825697927634244, 3.2048899483747495, 5.450733538530006]",,cis_onset_only
