cell_line,density,concentration_uM,ic_label,effect_level,first_count,peak_time,peak_count,last_time,last_count,last_to_peak,observed_behavior
A2780Naive,20k,1.47,IC75,0.75,470.381366,4.0,928.761304,14.0,36.60995366666666,0.03941804369862793,extinction_like
A2780Naive,20k,1.0,IC50,0.5,164.83707566666666,14.0,2445.406712666667,14.0,2445.406712666667,1.0,logistic_or_plateau
A2780Naive,20k,0.67,IC25,0.25,305.18962200000004,13.0,3537.7463733333334,14.0,3458.3808643333336,0.9775660828604793,logistic_or_plateau
A2780Naive,30k,1.47,IC75,0.75,683.0949846666667,3.0,1293.4153163333333,14.0,60.396604999999994,0.04669544595406264,extinction_like
A2780Naive,30k,1.0,IC50,0.5,277.1990353333333,14.0,2521.7536263333336,14.0,2521.7536263333336,1.0,logistic_or_plateau
A2780Naive,30k,0.67,IC25,0.25,507.5015816666667,13.0,3633.6489583333337,14.0,3423.783179,0.9422437935695379,logistic_or_plateau
A2780cis,20k,1.47,IC75,0.75,66.07534733333334,13.0,3229.3090276666667,14.0,3171.784760666667,0.9821868187568398,logistic_or_plateau
A2780cis,20k,1.0,IC50,0.5,82.57476866666666,14.0,4011.9759260000005,14.0,4011.9759260000005,1.0,logistic_or_plateau
A2780cis,20k,0.67,IC25,0.25,79.832716,13.0,3902.5750386666664,14.0,2987.771682,0.7655898099068421,logistic_or_plateau
A2780cis,30k,1.47,IC75,0.75,73.88472200000001,14.0,3433.938387333333,14.0,3433.938387333333,1.0,logistic_or_plateau
A2780cis,30k,1.0,IC50,0.5,117.62118066666666,14.0,4116.669907333334,14.0,4116.669907333334,1.0,logistic_or_plateau
A2780cis,30k,0.67,IC25,0.25,119.12291633333332,13.0,4146.366087666666,14.0,3326.884761,0.8023615596548005,logistic_or_plateau
