dose,time,observed,predicted,residual
0.67,1.0,323.359105,323.359105,0.0
0.67,2.0,475.15294191666663,513.4836105027734,-38.33066858610681
0.67,3.0,692.1472704166666,780.3035599722376,-88.15628955557099
0.67,4.0,867.1073398333332,1118.232656524152,-251.12531669081875
0.67,5.0,1084.514014333333,1494.6889148208738,-410.17490048754075
0.67,6.0,1253.0496720833332,1858.5736352336742,-605.5239631503409
0.67,7.0,1340.27551125,2165.120420803761,-824.8449095537612
0.67,8.0,1103.2673515,2394.838365257235,-1291.5710137572353
0.67,9.0,1399.2140335833335,2552.3276393171386,-1153.1136057338051
0.67,10.0,1106.6086419166666,2653.823546661172,-1547.2149047445052
0.67,11.0,1406.3151523333336,2716.6507322430784,-1310.3355799097449
0.67,12.0,1264.1567805833333,2754.576300138321,-1490.4195195549878
0.67,13.0,1560.8511380833334,2777.123634214979,-1216.2724961316458
0.67,14.0,1675.6824266666665,2790.407045435891,-1114.7246187692247
1.0,1.0,160.55801508333334,160.55801508333334,0.0
1.0,2.0,295.7887056666667,259.3301964057235,36.45850926094323
1.0,3.0,500.0870273333333,409.04329468774114,91.04373264559217
1.0,4.0,785.19097225,623.0425656177943,162.1484066322057
1.0,5.0,1095.613541833333,904.6192823182506,190.9942595150825
1.0,6.0,1597.1632330000002,1237.314907007833,359.84832599216725
1.0,7.0,2072.2191260833333,1583.886739628584,488.3323864547492
1.0,8.0,2011.5695216666666,1900.6221934155917,110.94732825107485
1.0,9.0,2364.2134450833337,2157.2883610218532,206.92508406148045
1.0,10.0,2344.3384645,2345.7591820299276,-1.420717529927515
1.0,11.0,2680.238831,2474.373409797992,205.8654212020083
1.0,12.0,2131.2850791666665,2557.811033807993,-426.52595464132673
1.0,13.0,2910.296171,2610.177662218514,300.11850878148607
1.0,14.0,3273.951543083333,2642.3636323001033,631.5879107832297
1.47,1.0,252.91170900000006,252.91170900000006,0.0
1.47,2.0,403.07922458333337,391.14960304140436,11.92962154192901
1.47,3.0,690.9295041666666,585.9027566538671,105.02674751279949
1.47,4.0,946.7979745833335,840.3540723313336,106.44390225199993
1.47,5.0,1394.4437114166667,1141.951467234357,252.4922441823096
1.47,6.0,1926.1887442500001,1460.7740883318675,465.41465591813267
1.47,7.0,2483.10526625,1759.5154360784416,723.5898301715586
1.47,8.0,2479.938589833333,2009.4263142946384,470.51227553869467
1.47,9.0,3106.490933583333,2199.401735576255,907.0891980070783
1.47,10.0,2734.5207175833334,2333.5690666624937,400.9516509208397
1.47,11.0,3482.6742765833333,2423.4735343904645,1059.2007421928688
1.47,12.0,2924.9099442499996,2481.6163491632274,443.29359508677226
1.47,13.0,3805.0841145,2518.3594904530223,1286.7246240469776
1.47,14.0,3299.205121583333,2541.241190849274,757.963930734059
