time,observed,pred_logistic_growth,pred_gompertz_growth
1.0,77.680324,77.680324,77.680324
2.0,125.908218,160.44355195383406,243.789246587076
3.0,204.058102,323.86180370126453,550.373867434832
4.0,447.31956,625.6794407610922,982.7542670400974
5.0,797.939583,1120.0176671575514,1484.9522492460296
6.0,1518.37963,1789.6954290076335,1992.2668253394265
7.0,2411.976505,2496.6990388510844,2455.959245812748
8.0,3240.972338,3071.3208912742634,2850.502527503817
9.0,3788.472685,3447.0530350128674,3169.47092152407
10.0,3567.205903,3659.053257197562,3418.0971227521754
11.0,4158.058681,3768.829738991713,3606.9130470780256
12.0,3486.886227,3823.151839976745,3747.6698653851786
13.0,4184.87662,3849.429144745557,3851.2212480011976
14.0,3828.251505,3862.000613076083,3926.6870023561846
16.0,3760.609028,3870.823037789635,4020.674572521535
18.0,3448.148727,3872.8074431794425,4069.174290043142
