time,observed,pred_logistic_growth,pred_gompertz_growth
1.0,280.676543,NaN,NaN
1.0,246.850309,NaN,NaN
1.0,388.320255,NaN,NaN
1.0,239.801852,NaN,NaN
1.0,213.907523,NaN,NaN
1.0,390.397106,NaN,NaN
1.0,211.714931,NaN,NaN
1.0,138.438889,NaN,NaN
1.0,67.719792,NaN,NaN
1.0,80.439853,NaN,NaN
1.0,57.655671,NaN,NaN
1.0,64.424074,NaN,NaN
1.0,81.07963,NaN,NaN
1.0,102.98206,NaN,NaN
1.0,60.657176,NaN,NaN
1.0,77.680324,NaN,NaN
2.0,415.710147,NaN,NaN
2.0,386.624151,NaN,NaN
2.0,724.238079,NaN,NaN
2.0,359.867824,NaN,NaN
2.0,163.024537,NaN,NaN
2.0,604.543866,NaN,NaN
2.0,317.706366,NaN,NaN
2.0,237.622222,NaN,NaN
2.0,107.027392,NaN,NaN
2.0,140.19456,NaN,NaN
2.0,90.171644,NaN,NaN
2.0,103.394907,NaN,NaN
2.0,127.515625,NaN,NaN
2.0,179.641667,NaN,NaN
2.0,115.033796,NaN,NaN
2.0,125.908218,NaN,NaN
3.0,908.838195,NaN,NaN
3.0,921.054707,NaN,NaN
3.0,1380.043403,NaN,NaN
3.0,892.530556,NaN,NaN
3.0,453.940625,NaN,NaN
3.0,1377.216898,NaN,NaN
3.0,831.003819,NaN,NaN
3.0,554.943403,NaN,NaN
3.0,202.739467,NaN,NaN
3.0,246.179012,NaN,NaN
3.0,173.095023,NaN,NaN
3.0,192.022569,NaN,NaN
3.0,243.10081,NaN,NaN
3.0,325.496759,NaN,NaN
3.0,208.982176,NaN,NaN
3.0,204.058102,NaN,NaN
4.0,1701.121682,NaN,NaN
4.0,1594.845139,NaN,NaN
4.0,2299.232292,NaN,NaN
4.0,1671.906366,NaN,NaN
4.0,1132.226389,NaN,NaN
4.0,2379.683565,NaN,NaN
4.0,1320.419676,NaN,NaN
4.0,1084.432176,NaN,NaN
4.0,377.444058,NaN,NaN
4.0,504.268634,NaN,NaN
4.0,295.073611,NaN,NaN
4.0,376.317708,NaN,NaN
4.0,460.940856,NaN,NaN
4.0,635.751968,NaN,NaN
4.0,429.734375,NaN,NaN
