time,observed,prediction,best_model,cell_line,density
1.0,280.6765433333333,280.6765433333333,logistic_growth,A2780Naive,20k
2.0,415.7101466666666,562.0412619396493,logistic_growth,A2780Naive,20k
3.0,908.8381946666667,1047.4909098343498,logistic_growth,A2780Naive,20k
4.0,1701.1216823333332,1743.802687669032,logistic_growth,A2780Naive,20k
5.0,2629.3940586666668,2517.4544210154977,logistic_growth,A2780Naive,20k
6.0,3264.7935765,3167.031988266741,logistic_growth,A2780Naive,20k
7.0,3641.570756333333,3595.9939275536713,logistic_growth,A2780Naive,20k
8.0,3601.847184,3836.2082472220422,logistic_growth,A2780Naive,20k
9.0,3866.1673996666664,3958.4546316958754,logistic_growth,A2780Naive,20k
10.0,3884.2516586666666,4017.642893904541,logistic_growth,A2780Naive,20k
11.0,4153.039699,4045.608496269611,logistic_growth,A2780Naive,20k
12.0,3981.5291666666667,4058.6692100225587,logistic_growth,A2780Naive,20k
13.0,4213.666204,4064.735816033764,logistic_growth,A2780Naive,20k
14.0,4195.749691333333,4067.5465845350964,logistic_growth,A2780Naive,20k
1.0,246.85030866666668,246.85030866666665,logistic_growth,A2780Naive,30k
2.0,386.6241513333334,502.25676391898264,logistic_growth,A2780Naive,30k
3.0,921.0547066666668,954.1324934197888,logistic_growth,A2780Naive,30k
4.0,1594.845139,1622.1722888728486,logistic_growth,A2780Naive,30k
5.0,2628.855208333333,2387.2451645076494,logistic_growth,A2780Naive,30k
6.0,3034.912075666667,3044.5002892583534,logistic_growth,A2780Naive,30k
7.0,3462.9069443333333,3483.5007796431323,logistic_growth,A2780Naive,30k
8.0,3405.0643130000003,3729.6686511148228,logistic_growth,A2780Naive,30k
9.0,3755.2344136666666,3854.343250480964,logistic_growth,A2780Naive,30k
10.0,3652.791281,3914.2349666722516,logistic_growth,A2780Naive,30k
11.0,4085.137268666667,3942.2747980642703,logistic_growth,A2780Naive,30k
12.0,4010.5481483333333,3955.2440200157084,logistic_growth,A2780Naive,30k
13.0,4137.956713,3961.208971525421,logistic_growth,A2780Naive,30k
14.0,4169.734799333333,3963.9453327393107,logistic_growth,A2780Naive,30k
1.0,67.71979166666667,67.71979166666667,theta_logistic_growth,A2780cis,20k
2.0,107.027392,108.30405489661358,theta_logistic_growth,A2780cis,20k
3.0,202.73946733333332,173.196711836188,theta_logistic_growth,A2780cis,20k
4.0,377.4440583333333,276.9082384200999,theta_logistic_growth,A2780cis,20k
5.0,752.2716819999999,442.43272726419457,theta_logistic_growth,A2780cis,20k
6.0,1296.4337189999999,705.5654762787196,theta_logistic_growth,A2780cis,20k
7.0,2096.342901,1119.0964956086686,theta_logistic_growth,A2780cis,20k
8.0,3102.8925926666666,1747.7666139046573,theta_logistic_growth,A2780cis,20k
9.0,3584.2155863333332,2615.4518056345464,theta_logistic_growth,A2780cis,20k
10.0,3430.9415896666665,3514.104600481342,theta_logistic_growth,A2780cis,20k
11.0,4001.2577933333328,3869.009198161988,theta_logistic_growth,A2780cis,20k
12.0,3726.2816356666667,3869.009198161988,theta_logistic_growth,A2780cis,20k
13.0,4170.573688,3869.009198161988,theta_logistic_growth,A2780cis,20k
14.0,3349.448611,3869.009198161988,theta_logistic_growth,A2780cis,20k
16.0,3744.941358,3869.009198161988,theta_logistic_growth,A2780cis,20k
18.0,4091.923804,3869.009198161988,theta_logistic_growth,A2780cis,20k
1.0,80.43985333333335,80.43985333333335,theta_logistic_growth,A2780cis,30k
2.0,140.19456033333336,130.56584931394983,theta_logistic_growth,A2780cis,30k
3.0,246.1790123333333,211.86069272372993,theta_logistic_growth,A2780cis,30k
4.0,504.2686343333333,343.4913458542645,theta_logistic_growth,A2780cis,30k
5.0,917.9230323333333,555.7304420303451,theta_logistic_growth,A2780cis,30k
6.0,1707.4850310000002,894.2406820175906,theta_logistic_growth,A2780cis,30k
7.0,2472.925848666667,1419.171805493288,theta_logistic_growth,A2780cis,30k
8.0,3185.559259,2176.0082925764764,theta_logistic_growth,A2780cis,30k
9.0,3761.654668333333,3079.031415431107,theta_logistic_growth,A2780cis,30k
10.0,3510.291435333333,3730.856270469043,theta_logistic_growth,A2780cis,30k
11.0,4178.483796333333,3818.3038450545614,theta_logistic_growth,A2780cis,30k
12.0,3520.712191666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
13.0,4140.540624666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
14.0,3732.035031,3818.3038450545614,theta_logistic_growth,A2780cis,30k
16.0,3716.145640666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
18.0,3651.252237666666,3818.3038450545614,theta_logistic_growth,A2780cis,30k
